time,Indiana,pts.away,score,pts.home,Dallas
1:27.0,M. Turner enters the game for I. Mahinmi,,108-103,,
1:15.0,P. George misses 2-pt shot from 12 ft,,108-103,,
1:15.0,Offensive rebound by M. Turner,,108-103,,
1:15.0,,,108-103,,Personal foul by D. Nowitzki
1:15.0,M. Turner makes free throw 1 of 2,1,109-103,,
1:15.0,M. Turner makes free throw 2 of 2,1,110-103,,
1:10.0,,,110-103,,J. Barea misses 2-pt shot from 1 ft (block by M. Ellis)
1:09.0,Defensive rebound by M. Turner,,110-103,,
0:55.0,Offensive foul by M. Ellis,,110-103,,
0:55.0,Turnover by M. Ellis (offensive foul),,110-103,,
0:55.0,,,110-103,,Dallas full timeout
0:55.0,I. Mahinmi enters the game for M. Turner,,110-103,,
0:51.0,Violation by M. Ellis (kicked ball),,110-103,,
0:46.0,,,110-103,,D. Williams misses 3-pt shot from 26 ft
0:45.0,Defensive rebound by M. Ellis,,110-103,,
0:29.0,M. Ellis misses 2-pt shot from 2 ft,,110-103,,
0:27.0,Offensive rebound by S. Hill,,110-103,,
0:27.0,S. Hill misses 2-pt shot from 2 ft,,110-103,,
0:26.0,,,110-103,,Defensive rebound by C. Parsons
0:20.0,,,110-105,2,J. Barea makes 2-pt shot from 1 ft
0:18.0,,,110-105,,Personal take foul by C. Parsons
0:18.0,G. Hill makes free throw 1 of 2,1,111-105,,
0:18.0,,,111-105,,D. Lee enters the game for J. Barea
0:18.0,G. Hill misses free throw 2 of 2,,111-105,,
0:18.0,,,111-105,,Defensive rebound by D. Williams
0:18.0,,,111-105,,Dallas full timeout
0:18.0,,,111-105,,J. Barea enters the game for D. Lee
0:13.0,,,111-105,,C. Parsons misses 2-pt shot from 21 ft
0:12.0,Defensive rebound by P. George,,111-105,,
0:12.0,,,111-105,,Personal foul by W. Matthews
0:12.0,P. George makes free throw 1 of 2,1,112-105,,
0:12.0,P. George misses free throw 2 of 2,,112-105,,
0:11.0,,,112-105,,Defensive rebound by D. Nowitzki
0:05.0,,,112-105,,W. Matthews misses 3-pt shot from 27 ft
0:04.0,Defensive rebound by P. George,,112-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
