time,Washington,pts.away,score,pts.home,San Antonio
4:06.0,Defensive rebound by M. Gortat,,85-104,,
4:03.0,Shooting foul by L. Aldridge (drawn by J. Wall),,85-104,,
4:03.0,J. Wall makes free throw 1 of 2,1,86-104,,
4:03.0,J. Wall makes free throw 2 of 2,1,87-104,,
3:51.0,,,87-104,,Turnover by M. Ginobili (traveling)
3:51.0,,,87-104,,K. Anderson enters the game for K. Leonard
3:51.0,,,87-104,,B. Marjanovic enters the game for D. West
3:51.0,,,87-104,,J. Simmons enters the game for M. Ginobili
3:30.0,K. Oubre misses 2-pt shot from 12 ft (block by K. Anderson),,87-104,,
3:30.0,Offensive rebound by Team,,87-104,,
3:30.0,Turnover by K. Humphries (bad pass),,87-104,,
3:14.0,,,87-104,,P. Mills misses 2-pt shot from 18 ft
3:13.0,Defensive rebound by K. Humphries,,87-104,,
3:04.0,K. Humphries misses 3-pt shot from 25 ft,,87-104,,
3:04.0,,,87-104,,Defensive rebound by Team
3:04.0,D. Blair enters the game for M. Gortat,,87-104,,
3:04.0,R. Sessions enters the game for J. Wall,,87-104,,
3:04.0,,,87-104,,R. Butler enters the game for P. Mills
2:46.0,,,87-104,,B. Marjanovic misses 2-pt shot from 7 ft
2:46.0,,,87-104,,Offensive rebound by L. Aldridge
2:43.0,,,87-106,2,L. Aldridge makes 2-pt shot from 3 ft
2:24.0,K. Oubre makes 3-pt shot from 24 ft (assist by G. Neal),3,90-106,,
2:01.0,,,90-109,3,J. Simmons makes 3-pt shot from 24 ft (assist by K. Anderson)
1:54.0,,,90-109,,Personal take foul by J. Simmons (drawn by R. Sessions)
1:54.0,Washington full timeout,,90-109,,
1:54.0,,,90-109,,M. Bonner enters the game for L. Aldridge
1:54.0,J. Dudley enters the game for K. Humphries,,90-109,,
1:54.0,G. Temple enters the game for G. Neal,,90-109,,
1:46.0,,,90-109,,Personal foul by M. Bonner (drawn by G. Temple)
1:46.0,G. Temple misses free throw 1 of 2,,90-109,,
1:46.0,Offensive rebound by Team,,90-109,,
1:46.0,G. Temple makes free throw 2 of 2,1,91-109,,
1:23.0,,,91-112,3,M. Bonner makes 3-pt shot from 24 ft (assist by J. Simmons)
1:15.0,G. Temple makes 2-pt shot from 13 ft,2,93-112,,
1:02.0,,,93-114,2,K. Anderson makes 2-pt shot from 11 ft
0:52.0,D. Blair makes 2-pt shot from 16 ft (assist by G. Temple),2,95-114,,
0:32.0,,,95-114,,Turnover by J. Simmons (step out of bounds)
0:23.0,K. Oubre misses 3-pt shot from 24 ft,,95-114,,
0:22.0,,,95-114,,Defensive rebound by M. Bonner
0:00.0,End of 4th quarter,,,,End of 4th quarter
