time,Charlotte,pts.away,score,pts.home,Chicago
2:52.0,K. Walker misses 2-pt shot from 13 ft,,94-91,,
2:51.0,,,94-91,,Defensive rebound by D. Rose
2:44.0,Personal foul by M. Williams (drawn by N. Mirotic),,94-91,,
2:44.0,Charlotte full timeout,,94-91,,
2:44.0,J. Lin enters the game for J. Lamb,,94-91,,
2:44.0,,,94-91,,N. Mirotic misses free throw 1 of 2
2:44.0,,,94-91,,Offensive rebound by Team
2:44.0,,,94-91,,N. Mirotic misses free throw 2 of 2
2:42.0,Defensive rebound by K. Walker,,94-91,,
2:25.0,N. Batum misses 2-pt shot from 19 ft,,94-91,,
2:24.0,,,94-91,,Defensive rebound by P. Gasol
2:09.0,,,94-94,3,D. McDermott makes 3-pt shot from 24 ft (assist by N. Mirotic)
1:48.0,N. Batum misses 3-pt shot from 24 ft,,94-94,,
1:47.0,,,94-94,,Defensive rebound by N. Mirotic
1:35.0,,,94-94,,P. Gasol misses 2-pt shot from 18 ft
1:34.0,Defensive rebound by N. Batum,,94-94,,
1:26.0,N. Batum misses 2-pt shot from 1 ft (block by P. Gasol),,94-94,,
1:24.0,,,94-94,,Defensive rebound by D. Rose
1:20.0,,,94-94,,D. Rose misses 2-pt shot from 1 ft
1:19.0,,,94-94,,Offensive rebound by J. Butler
1:16.0,,,94-94,,D. McDermott misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by N. Batum,,94-94,,
1:08.0,Charlotte full timeout,,94-94,,
1:01.0,Shooting foul by P. Gasol (drawn by C. Zeller),,94-94,,
1:01.0,C. Zeller makes free throw 1 of 2,1,95-94,,
1:01.0,C. Zeller makes free throw 2 of 2,1,96-94,,
0:47.0,,,96-94,,N. Mirotic misses 3-pt shot from 23 ft
0:45.0,Defensive rebound by M. Williams,,96-94,,
0:29.0,K. Walker makes 2-pt shot from 19 ft,2,98-94,,
0:29.0,,,98-94,,Chicago full timeout
0:25.0,,,98-94,,Turnover by J. Butler (bad pass; steal by M. Williams)
0:23.0,,,98-94,,Personal take foul by N. Mirotic (drawn by K. Walker)
0:23.0,K. Walker makes free throw 1 of 2,1,99-94,,
0:23.0,K. Walker misses free throw 2 of 2,,99-94,,
0:22.0,Offensive rebound by M. Williams,,99-94,,
0:18.0,,,99-94,,Personal take foul by P. Gasol (drawn by N. Batum)
0:18.0,N. Batum makes free throw 1 of 2,1,100-94,,
0:18.0,N. Batum makes free throw 2 of 2,1,101-94,,
0:18.0,,,101-94,,Chicago full timeout
0:14.0,,,101-96,2,P. Gasol makes 2-pt shot at rim (assist by N. Mirotic)
0:13.0,,,101-96,,Personal take foul by J. Butler (drawn by N. Batum)
0:13.0,N. Batum makes free throw 1 of 2,1,102-96,,
0:13.0,N. Batum misses free throw 2 of 2,,102-96,,
0:12.0,,,102-96,,Defensive rebound by D. McDermott
0:12.0,,,102-96,,Chicago full timeout
0:06.0,,,102-96,,J. Butler misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by J. Lin,,102-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
