time,Brooklyn,pts.away,score,pts.home,Miami
5:42.0,,,63-69,3,J. Richardson makes 3-pt shot from 26 ft (assist by D. Wade)
5:27.0,T. Young makes 2-pt shot from 10 ft (assist by S. Larkin),2,65-69,,
5:14.0,,,65-69,,H. Whiteside misses 2-pt shot from 17 ft
5:13.0,Defensive rebound by S. Kilpatrick,,65-69,,
4:56.0,S. Kilpatrick misses 3-pt shot from 24 ft,,65-69,,
4:55.0,Offensive rebound by T. Young,,65-69,,
4:50.0,B. Bogdanovic misses 3-pt shot from 24 ft,,65-69,,
4:49.0,,,65-69,,Defensive rebound by J. Richardson
4:43.0,,,65-71,2,J. Winslow makes 2-pt shot at rim (assist by D. Wade)
4:12.0,B. Lopez misses 2-pt shot from 19 ft,,65-71,,
4:11.0,,,65-71,,Defensive rebound by J. Richardson
3:58.0,,,65-73,2,H. Whiteside makes 2-pt shot from 7 ft
3:45.0,Turnover by B. Bogdanovic (lost ball; steal by D. Wade),,65-73,,
3:41.0,,,65-75,2,D. Wade makes 2-pt shot from 1 ft
3:40.0,Brooklyn full timeout,,65-75,,
3:31.0,S. Larkin misses 2-pt shot from 2 ft (block by H. Whiteside),,65-75,,
3:30.0,Offensive rebound by Team,,65-75,,
3:30.0,R. Hollis-Jefferson enters the game for B. Bogdanovic,,65-75,,
3:24.0,Turnover by S. Kilpatrick (lost ball; steal by L. Deng),,65-75,,
3:16.0,,,65-78,3,J. Winslow makes 3-pt shot from 23 ft (assist by D. Wade)
3:03.0,T. Young makes 2-pt shot from 2 ft,2,67-78,,
2:47.0,,,67-78,,Turnover by D. Wade (lost ball; steal by R. Hollis-Jefferson)
2:39.0,T. Young makes 2-pt shot from 5 ft,2,69-78,,
2:17.0,,,69-78,,J. Richardson misses 3-pt shot from 25 ft
2:16.0,Defensive rebound by Team,,69-78,,
2:16.0,,,69-78,,Loose ball foul by H. Whiteside
2:16.0,D. Sloan enters the game for T. Young,,69-78,,
2:16.0,C. McCullough enters the game for S. Larkin,,69-78,,
2:16.0,,,69-78,,J. Johnson enters the game for D. Wade
1:59.0,B. Lopez misses 2-pt shot from 1 ft,,69-78,,
1:59.0,Offensive rebound by S. Kilpatrick,,69-78,,
1:53.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,71-78,,
1:36.0,,,71-78,,L. Deng misses 2-pt shot from 2 ft
1:35.0,Defensive rebound by D. Sloan,,71-78,,
1:29.0,B. Lopez makes 2-pt shot from 2 ft,2,73-78,,
1:07.0,,,73-78,,J. Johnson misses 3-pt shot from 25 ft
1:05.0,,,73-78,,Offensive rebound by L. Deng
1:05.0,,,73-78,,L. Deng misses 2-pt shot from 1 ft
1:03.0,,,73-78,,Offensive rebound by J. Richardson
0:56.0,,,73-81,3,J. Richardson makes 3-pt shot from 23 ft (assist by L. Deng)
0:38.0,B. Lopez misses 2-pt shot from 6 ft,,73-81,,
0:37.0,,,73-81,,Defensive rebound by H. Whiteside
0:29.0,,,73-81,,Shooting foul by R. Hollis-Jefferson (drawn by J. Richardson)
0:29.0,,,73-81,,J. Richardson misses free throw 1 of 2
0:29.0,,,73-81,,Offensive rebound by Team
0:29.0,,,73-81,,J. McRoberts enters the game for L. Deng
0:29.0,H. Sims enters the game for B. Lopez,,73-81,,
0:29.0,,,73-82,1,J. Richardson makes free throw 2 of 2
0:06.0,H. Sims makes 2-pt shot from 2 ft (assist by D. Sloan),2,75-82,,
0:01.0,,,75-82,,J. Winslow misses 2-pt shot from 20 ft
0:00.0,Defensive rebound by C. McCullough,,75-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,C. McCullough misses 3-pt shot from 23 ft,,75-82,,
11:44.0,,,75-82,,Defensive rebound by J. Richardson
11:36.0,,,75-84,2,J. Richardson makes 2-pt shot from 1 ft
11:21.0,S. Kilpatrick misses 2-pt shot from 19 ft,,75-84,,
11:20.0,,,75-84,,Defensive rebound by J. McRoberts
11:10.0,Personal foul by R. Hollis-Jefferson,,75-84,,
11:10.0,M. Brown enters the game for S. Kilpatrick,,75-84,,
10:57.0,,,75-84,,J. Johnson misses 3-pt shot from 23 ft
10:56.0,Defensive rebound by H. Sims,,75-84,,
10:55.0,Turnover by H. Sims (lost ball),,75-84,,
10:49.0,,,75-86,2,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson)
10:36.0,Shooting foul by J. McRoberts (drawn by D. Sloan),,75-86,,
10:36.0,D. Sloan misses free throw 1 of 2,,75-86,,
10:36.0,Offensive rebound by Team,,75-86,,
10:36.0,D. Sloan misses free throw 2 of 2,,75-86,,
10:35.0,Offensive rebound by H. Sims,,75-86,,
10:23.0,C. McCullough misses 2-pt shot from 8 ft,,75-86,,
10:22.0,Offensive rebound by H. Sims,,75-86,,
10:19.0,H. Sims misses 2-pt shot from 2 ft,,75-86,,
10:18.0,Offensive rebound by C. McCullough,,75-86,,
10:17.0,C. McCullough misses 2-pt shot at rim,,75-86,,
10:16.0,,,75-86,,Defensive rebound by H. Whiteside
10:12.0,,,75-86,,Shooting foul by H. Sims (drawn by H. Whiteside)
10:12.0,,,75-86,,H. Whiteside misses free throw 1 of 2
10:12.0,,,75-86,,Offensive rebound by Team
10:12.0,,,75-87,1,H. Whiteside makes free throw 2 of 2
9:58.0,M. Brown misses 2-pt shot from 19 ft,,75-87,,
9:57.0,,,75-87,,Defensive rebound by J. Johnson
9:40.0,,,75-87,,Turnover by J. Johnson (traveling)
9:24.0,C. McCullough makes 2-pt shot from 18 ft (assist by D. Sloan),2,77-87,,
9:08.0,Personal foul by R. Hollis-Jefferson,,77-87,,
8:57.0,,,77-87,,J. Winslow misses 2-pt shot from 6 ft
8:56.0,Defensive rebound by H. Sims,,77-87,,
8:50.0,Turnover by R. Hollis-Jefferson (step out of bounds),,77-87,,
8:50.0,Official timeout,,77-87,,
8:36.0,,,77-89,2,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson)
8:20.0,Shooting foul by J. Johnson (drawn by R. Hollis-Jefferson),,77-89,,
8:20.0,R. Hollis-Jefferson makes free throw 1 of 2,1,78-89,,
8:20.0,R. Hollis-Jefferson makes free throw 2 of 2,1,79-89,,
8:02.0,,,79-89,,J. Johnson misses 3-pt shot from 25 ft
8:01.0,,,79-89,,Offensive rebound by H. Whiteside
7:58.0,,,79-91,2,H. Whiteside makes 2-pt shot from 1 ft
7:44.0,C. McCullough misses 2-pt shot from 18 ft,,79-91,,
7:43.0,,,79-91,,Defensive rebound by H. Whiteside
7:32.0,,,79-93,2,H. Whiteside makes 2-pt shot at rim (assist by J. McRoberts)
7:29.0,Brooklyn full timeout,,79-93,,
7:29.0,B. Lopez enters the game for C. McCullough,,79-93,,
7:29.0,T. Young enters the game for H. Sims,,79-93,,
7:08.0,B. Lopez misses 2-pt shot from 1 ft,,79-93,,
7:07.0,Offensive rebound by M. Brown,,79-93,,
7:04.0,Turnover by M. Brown (lost ball; steal by J. Richardson),,79-93,,
6:42.0,,,79-93,,J. Johnson misses 2-pt shot from 13 ft
6:41.0,,,79-93,,Offensive rebound by H. Whiteside
6:40.0,,,79-95,2,H. Whiteside makes 2-pt shot at rim
6:23.0,B. Lopez makes 2-pt shot from 9 ft (assist by T. Young),2,81-95,,
5:56.0,,,81-95,,J. McRoberts misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by R. Hollis-Jefferson,,81-95,,
5:48.0,D. Sloan makes 2-pt shot from 1 ft,2,83-95,,
5:48.0,,,83-95,,Miami full timeout
5:48.0,S. Larkin enters the game for D. Sloan,,83-95,,
5:48.0,B. Bogdanovic enters the game for M. Brown,,83-95,,
5:28.0,,,83-95,,J. Winslow misses 2-pt shot from 19 ft
5:27.0,Defensive rebound by R. Hollis-Jefferson,,83-95,,
5:27.0,,,83-95,,Personal foul by J. McRoberts
5:27.0,,,83-95,,D. Wade enters the game for J. Johnson
5:09.0,Turnover by B. Lopez (bad pass),,83-95,,
5:09.0,,,83-95,,L. Deng enters the game for J. McRoberts
4:58.0,,,83-95,,Offensive foul by H. Whiteside
4:58.0,,,83-95,,Turnover by H. Whiteside (offensive foul)
4:45.0,T. Young misses 2-pt shot from 2 ft,,83-95,,
4:44.0,,,83-95,,Defensive rebound by Team
4:25.0,,,83-97,2,D. Wade makes 2-pt shot from 14 ft
4:06.0,T. Young misses 2-pt shot from 4 ft,,83-97,,
4:05.0,,,83-97,,Defensive rebound by L. Deng
3:43.0,,,83-97,,D. Wade misses 2-pt shot from 15 ft
3:42.0,Defensive rebound by B. Lopez,,83-97,,
3:33.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by S. Larkin),3,86-97,,
3:09.0,,,86-97,,J. Winslow misses 2-pt shot from 4 ft
3:08.0,Defensive rebound by S. Larkin,,86-97,,
3:02.0,S. Larkin misses 2-pt shot from 2 ft (block by J. Richardson),,86-97,,
3:01.0,,,86-97,,Defensive rebound by J. Winslow
2:55.0,,,86-99,2,J. Winslow makes 2-pt shot at rim
2:55.0,Brooklyn full timeout,,86-99,,
2:55.0,S. Kilpatrick enters the game for R. Hollis-Jefferson,,86-99,,
2:55.0,,,86-99,,J. Johnson enters the game for J. Winslow
2:37.0,B. Lopez misses 2-pt shot from 7 ft,,86-99,,
2:36.0,Offensive rebound by B. Lopez,,86-99,,
2:32.0,B. Lopez makes 2-pt shot at rim,2,88-99,,
2:18.0,,,88-101,2,L. Deng makes 2-pt shot at rim (assist by D. Wade)
1:55.0,B. Lopez makes 2-pt shot from 10 ft,2,90-101,,
1:40.0,,,90-103,2,H. Whiteside makes 2-pt shot from 17 ft
1:26.0,Shooting foul by D. Wade (drawn by S. Kilpatrick),,90-103,,
1:26.0,S. Kilpatrick makes free throw 1 of 2,1,91-103,,
1:26.0,C. McCullough enters the game for B. Bogdanovic,,91-103,,
1:26.0,M. Brown enters the game for T. Young,,91-103,,
1:26.0,H. Sims enters the game for B. Lopez,,91-103,,
1:26.0,S. Kilpatrick makes free throw 2 of 2,1,92-103,,
1:16.0,,,92-105,2,D. Wade makes 2-pt shot from 6 ft
1:07.0,M. Brown makes 2-pt shot from 16 ft (assist by S. Larkin),2,94-105,,
0:55.0,,,94-108,3,L. Deng makes 3-pt shot from 23 ft (assist by J. Richardson)
0:40.0,M. Brown makes 3-pt shot from 24 ft (assist by S. Larkin),3,97-108,,
0:19.0,,,97-110,2,H. Whiteside makes 2-pt shot from 2 ft (assist by J. Richardson)
0:15.0,S. Kilpatrick makes 2-pt shot at rim (assist by S. Larkin),2,99-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
