time,Chicago,pts.away,score,pts.home,Orlando
6:31.0,E. Moore enters the game for A. Brooks,,76-95,,
6:31.0,,,76-96,1,V. Oladipo makes technical free throw
6:19.0,,,76-96,,V. Oladipo misses 3-pt shot from 23 ft
6:17.0,Defensive rebound by T. Snell,,76-96,,
6:08.0,Turnover by E. Moore (bad pass; steal by N. Vucevic),,76-96,,
6:01.0,,,76-98,2,E. Payton makes 2-pt shot from 1 ft
5:52.0,T. Snell makes 3-pt shot from 26 ft (assist by E. Moore),3,79-98,,
5:32.0,,,79-98,,E. Payton misses 2-pt shot from 10 ft
5:31.0,Defensive rebound by B. Portis,,79-98,,
5:16.0,D. McDermott misses 2-pt shot from 2 ft,,79-98,,
5:14.0,,,79-98,,Defensive rebound by A. Gordon
5:04.0,,,79-100,2,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Payton)
5:03.0,Chicago full timeout,,79-100,,
5:03.0,C. Felicio enters the game for B. Portis,,79-100,,
5:03.0,C. Bairstow enters the game for D. McDermott,,79-100,,
4:46.0,T. Snell misses 3-pt shot from 25 ft,,79-100,,
4:44.0,,,79-100,,Defensive rebound by M. Hezonja
4:27.0,,,79-100,,Turnover by E. Payton (bad pass; steal by J. Holiday)
4:19.0,C. Bairstow makes 2-pt shot from 5 ft (assist by J. Holiday),2,81-100,,
4:00.0,,,81-102,2,N. Vucevic makes 2-pt shot from 11 ft (assist by E. Payton)
3:51.0,Chicago full timeout,,81-102,,
3:51.0,D. McDermott enters the game for E. Moore,,81-102,,
3:51.0,,,81-102,,C. Watson enters the game for V. Oladipo
3:47.0,,,81-102,,Personal foul by M. Hezonja (drawn by J. Holiday)
3:38.0,J. Holiday misses 2-pt shot from 2 ft,,81-102,,
3:37.0,,,81-102,,Defensive rebound by N. Vucevic
3:15.0,,,81-102,,M. Hezonja misses 3-pt shot from 29 ft
3:14.0,Defensive rebound by C. Felicio,,81-102,,
3:01.0,C. Bairstow makes 2-pt shot from 10 ft,2,83-102,,
2:47.0,,,83-102,,E. Payton misses 2-pt shot from 2 ft
2:45.0,Defensive rebound by C. Felicio,,83-102,,
2:45.0,Turnover by C. Felicio (lost ball; steal by E. Payton),,83-102,,
2:45.0,,,83-102,,Turnover by E. Payton (traveling)
2:45.0,,,83-102,,D. Dedmon enters the game for M. Hezonja
2:45.0,,,83-102,,D. Marble enters the game for A. Gordon
2:45.0,,,83-102,,S. Napier enters the game for N. Vucevic
2:45.0,,,83-102,,A. Nicholson enters the game for E. Payton
2:34.0,J. Holiday misses 2-pt shot from 1 ft (block by D. Dedmon),,83-102,,
2:34.0,Offensive rebound by Team,,83-102,,
2:32.0,D. McDermott misses 2-pt shot from 17 ft,,83-102,,
2:30.0,,,83-102,,Defensive rebound by A. Nicholson
2:19.0,,,83-102,,A. Nicholson misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by C. Bairstow,,83-102,,
2:02.0,C. Bairstow misses 2-pt shot from 12 ft,,83-102,,
2:01.0,,,83-102,,Defensive rebound by A. Nicholson
1:51.0,,,83-102,,Turnover by S. Napier (lost ball; steal by J. Holiday)
1:45.0,D. McDermott makes 2-pt shot from 1 ft (assist by J. Holiday),2,85-102,,
1:25.0,,,85-102,,C. Watson misses 2-pt shot from 16 ft
1:23.0,Defensive rebound by J. Holiday,,85-102,,
1:14.0,C. Bairstow makes 2-pt shot from 17 ft (assist by C. Felicio),2,87-102,,
1:02.0,,,87-102,,D. Marble misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by C. Felicio,,87-102,,
0:53.0,J. Holiday misses 2-pt shot from 19 ft,,87-102,,
0:52.0,,,87-102,,Defensive rebound by D. Dedmon
0:40.0,,,87-102,,S. Napier misses 3-pt shot from 25 ft
0:39.0,Defensive rebound by C. Felicio,,87-102,,
0:31.0,T. Snell misses 2-pt shot from 17 ft,,87-102,,
0:30.0,,,87-102,,Defensive rebound by S. Napier
0:24.0,,,87-102,,C. Watson misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by C. Felicio,,87-102,,
0:11.0,C. Bairstow makes 2-pt shot from 20 ft (assist by T. Snell),2,89-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
