time,Dallas,pts.away,score,pts.home,New York
0:19.0,D. Nowitzki makes free throw 2 of 2,1,102-97,,
0:19.0,,,102-97,,New York full timeout
0:19.0,D. Powell enters the game for D. Nowitzki,,102-97,,
0:13.0,,,102-97,,C. Anthony misses 3-pt shot from 25 ft
0:12.0,,,102-97,,Offensive rebound by Team
0:09.0,,,102-97,,A. Afflalo misses 3-pt shot from 22 ft
0:08.0,Defensive rebound by D. Powell,,102-97,,
0:04.0,,,102-97,,Personal take foul by A. Afflalo (drawn by D. Williams)
0:04.0,D. Williams makes free throw 1 of 2,1,103-97,,
0:04.0,D. Williams makes free throw 2 of 2,1,104-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
