time,Philadelphia,pts.away,score,pts.home,Cleveland
2:31.0,,,90-104,,M. Williams enters the game for M. Dellavedova
2:21.0,N. Noel makes 2-pt shot from 2 ft (assist by H. Thompson),2,92-104,,
2:06.0,,,92-104,,K. Love misses 3-pt shot from 25 ft
2:06.0,Defensive rebound by J. Okafor,,92-104,,
1:52.0,I. Canaan makes 3-pt shot from 24 ft (assist by J. Okafor),3,95-104,,
1:43.0,Personal foul by I. Canaan (drawn by M. Williams),,95-104,,
1:29.0,,,95-106,2,T. Thompson makes 2-pt shot from 15 ft
1:19.0,N. Stauskas makes 2-pt shot at rim (assist by N. Noel),2,97-106,,
1:00.0,,,97-108,2,M. Williams makes 2-pt shot from 1 ft (assist by J. Cunningham)
1:00.0,Philadelphia full timeout,,97-108,,
0:51.0,N. Noel misses 2-pt shot from 3 ft,,97-108,,
0:51.0,,,97-108,,Defensive rebound by K. Love
0:51.0,R. Holmes enters the game for J. Okafor,,97-108,,
0:51.0,P. Pressey enters the game for N. Stauskas,,97-108,,
0:50.0,Jump ball: K. Love vs. N. Noel (H. Thompson gains possession),,,,Jump ball: K. Love vs. N. Noel (H. Thompson gains possession)
0:50.0,,,97-108,,Turnover by K. Love (lost ball; steal by N. Noel)
0:45.0,Shooting foul by R. Jefferson (drawn by I. Canaan),,97-108,,
0:45.0,I. Canaan makes free throw 1 of 2,1,98-108,,
0:45.0,C. Wood enters the game for N. Noel,,98-108,,
0:45.0,J. Sampson enters the game for H. Thompson,,98-108,,
0:45.0,,,98-108,,M. Dellavedova enters the game for K. Love
0:45.0,I. Canaan makes free throw 2 of 2,1,99-108,,
0:24.0,,,99-108,,M. Williams misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by J. Sampson,,99-108,,
0:16.0,I. Canaan makes 3-pt shot from 23 ft,3,102-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
