time,Indiana,pts.away,score,pts.home,Utah
5:35.0,C. Miles enters the game for M. Ellis,,96-96,,
5:25.0,Personal foul by C. Miles (drawn by E. Millsap),,96-96,,
5:08.0,,,96-96,,G. Hayward misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by L. Allen,,96-96,,
4:58.0,,,96-96,,Personal foul by E. Millsap (drawn by P. George)
4:49.0,P. George misses 2-pt shot from 17 ft,,96-96,,
4:48.0,,,96-96,,Defensive rebound by T. Lyles
4:38.0,,,96-96,,D. Favors misses 2-pt shot from 14 ft
4:38.0,Defensive rebound by P. George,,96-96,,
4:33.0,P. George makes 2-pt shot from 4 ft,2,98-96,,
4:33.0,Shooting foul by E. Millsap (drawn by P. George),,98-96,,
4:33.0,,,98-96,,T. Booker enters the game for T. Lyles
4:33.0,P. George misses free throw 1 of 1,,98-96,,
4:31.0,,,98-96,,Defensive rebound by T. Booker
4:13.0,,,98-96,,T. Booker misses 2-pt shot from 4 ft
4:13.0,,,98-96,,Offensive rebound by D. Favors
4:13.0,,,98-96,,D. Favors misses 2-pt shot from 2 ft
4:12.0,Defensive rebound by R. Stuckey,,98-96,,
4:11.0,,,98-96,,Personal foul by T. Burke (drawn by R. Stuckey)
4:11.0,R. Stuckey makes free throw 1 of 2,1,99-96,,
4:11.0,,,99-96,,R. Hood enters the game for E. Millsap
4:11.0,R. Stuckey makes free throw 2 of 2,1,100-96,,
4:01.0,,,100-96,,Offensive foul by G. Hayward
4:01.0,,,100-96,,Turnover by G. Hayward (offensive foul)
3:38.0,R. Stuckey makes 2-pt shot from 1 ft,2,102-96,,
3:25.0,,,102-99,3,G. Hayward makes 3-pt shot from 25 ft
3:06.0,P. George makes 2-pt shot from 15 ft,2,104-99,,
2:51.0,,,104-99,,Shooting foul by L. Allen (drawn by T. Booker)
2:51.0,Indiana full timeout,,104-99,,
2:51.0,,,104-100,1,T. Booker makes free throw 1 of 2
2:51.0,,,104-101,1,T. Booker makes free throw 2 of 2
2:28.0,R. Stuckey misses 3-pt shot from 24 ft,,104-101,,
2:27.0,,,104-101,,Defensive rebound by T. Burke
2:14.0,,,104-101,,T. Burke misses 2-pt shot from 11 ft
2:14.0,Defensive rebound by G. Hill,,104-101,,
1:55.0,P. George makes 2-pt shot from 10 ft,2,106-101,,
1:42.0,,,106-101,,G. Hayward misses 2-pt shot from 1 ft
1:42.0,,,106-101,,Offensive rebound by G. Hayward
1:40.0,,,106-101,,T. Booker misses 2-pt shot from 1 ft
1:40.0,,,106-101,,Offensive rebound by T. Booker
1:40.0,,,106-103,2,T. Booker makes 2-pt shot from 1 ft
1:18.0,R. Stuckey makes 2-pt shot from 12 ft,2,108-103,,
1:12.0,,,108-103,,Utah full timeout
1:12.0,I. Mahinmi enters the game for L. Allen,,108-103,,
1:12.0,,,108-103,,A. Burks enters the game for T. Booker
1:05.0,Personal block foul by C. Miles (drawn by D. Favors),,108-103,,
1:05.0,,,108-103,,D. Favors misses free throw 1 of 2
1:05.0,,,108-103,,Offensive rebound by Team
1:05.0,L. Allen enters the game for C. Miles,,108-103,,
1:05.0,,,108-104,1,D. Favors makes free throw 2 of 2
0:46.0,L. Allen misses 2-pt shot from 21 ft,,108-104,,
0:45.0,Offensive rebound by Team,,108-104,,
0:45.0,,,108-104,,Loose ball foul by R. Hood (drawn by I. Mahinmi)
0:45.0,,,108-104,,T. Booker enters the game for R. Hood
0:45.0,I. Mahinmi misses free throw 1 of 2,,108-104,,
0:45.0,Offensive rebound by Team,,108-104,,
0:45.0,I. Mahinmi misses free throw 2 of 2,,108-104,,
0:45.0,,,108-104,,Defensive rebound by T. Booker
0:32.0,,,108-104,,D. Favors misses 2-pt shot from 13 ft
0:31.0,,,108-104,,Offensive rebound by Team
0:31.0,Personal foul by I. Mahinmi (drawn by T. Booker),,108-104,,
0:31.0,J. Hill enters the game for I. Mahinmi,,108-104,,
0:31.0,,,108-105,1,T. Booker makes free throw 1 of 2
0:31.0,,,108-105,,E. Millsap enters the game for T. Burke
0:31.0,,,108-105,,T. Booker misses free throw 2 of 2
0:30.0,,,108-105,,Offensive rebound by G. Hayward
0:27.0,,,108-105,,Shooting foul by J. Hill (drawn by T. Booker)
0:27.0,,,108-106,1,T. Booker makes free throw 1 of 2
0:27.0,M. Ellis enters the game for G. Hill,,108-106,,
0:27.0,,,108-107,1,T. Booker makes free throw 2 of 2
0:27.0,Indiana full timeout,,108-107,,
0:27.0,C. Miles enters the game for R. Stuckey,,108-107,,
0:27.0,G. Hill enters the game for J. Hill,,108-107,,
0:19.0,P. George misses 3-pt shot from 24 ft,,108-107,,
0:18.0,Offensive rebound by Team,,108-107,,
0:18.0,Indiana full timeout,,108-107,,
0:18.0,C. Budinger enters the game for L. Allen,,108-107,,
0:16.0,,,108-107,,Personal foul by E. Millsap (drawn by P. George)
0:16.0,P. George makes free throw 1 of 2,1,109-107,,
0:16.0,,,109-107,,T. Burke enters the game for E. Millsap
0:16.0,L. Allen enters the game for C. Budinger,,109-107,,
0:16.0,J. Hill enters the game for C. Miles,,109-107,,
0:16.0,P. George makes free throw 2 of 2,1,110-107,,
0:11.0,,,110-109,2,D. Favors makes 2-pt shot from 2 ft (assist by A. Burks)
0:11.0,,,110-109,,Shooting foul by L. Allen (drawn by D. Favors)
0:11.0,,,110-109,,E. Millsap enters the game for T. Burke
0:11.0,,,110-110,1,D. Favors makes free throw 1 of 1
0:11.0,Indiana full timeout,,110-110,,
0:11.0,C. Miles enters the game for J. Hill,,110-110,,
0:01.0,P. George misses 3-pt shot from 24 ft,,110-110,,
0:00.0,,,110-110,,Defensive rebound by T. Booker
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:41.0,P. George makes 3-pt shot from 24 ft,3,113-110,,
4:24.0,,,113-110,,T. Burke misses 3-pt shot from 24 ft
4:23.0,Defensive rebound by L. Allen,,113-110,,
4:01.0,P. George misses 2-pt shot from 13 ft,,113-110,,
4:00.0,,,113-110,,Defensive rebound by G. Hayward
3:47.0,,,113-112,2,A. Burks makes 2-pt shot at rim (assist by G. Hayward)
3:27.0,Turnover by M. Ellis (bad pass; steal by D. Favors),,113-112,,
3:23.0,,,113-112,,Turnover by G. Hayward (lost ball; steal by G. Hill)
3:13.0,L. Allen makes 2-pt shot from 2 ft (assist by P. George),2,115-112,,
2:57.0,,,115-112,,Shooting foul by L. Allen (drawn by D. Favors)
2:57.0,J. Hill enters the game for L. Allen,,115-112,,
2:57.0,,,115-113,1,D. Favors makes free throw 1 of 2
2:57.0,,,115-114,1,D. Favors makes free throw 2 of 2
2:41.0,C. Miles misses 3-pt shot from 22 ft (block by T. Booker),,115-114,,
2:41.0,Offensive rebound by Team,,115-114,,
2:41.0,Indiana full timeout,,115-114,,
2:40.0,Turnover by M. Ellis (bad pass; steal by G. Hayward),,115-114,,
2:37.0,,,115-116,2,G. Hayward makes 2-pt shot at rim
2:19.0,G. Hill misses 2-pt shot from 5 ft,,115-116,,
2:17.0,Offensive rebound by J. Hill,,115-116,,
2:17.0,J. Hill misses 2-pt shot at rim,,115-116,,
2:15.0,Offensive rebound by J. Hill,,115-116,,
2:15.0,J. Hill makes 2-pt shot at rim,2,117-116,,
1:56.0,Personal foul by P. George (drawn by G. Hayward),,117-116,,
1:56.0,R. Stuckey enters the game for M. Ellis,,117-116,,
1:48.0,,,117-118,2,D. Favors makes 2-pt shot at rim (assist by T. Burke)
1:32.0,G. Hill misses 3-pt shot from 24 ft,,117-118,,
1:31.0,,,117-118,,Defensive rebound by T. Booker
1:13.0,,,117-118,,G. Hayward misses 2-pt shot from 10 ft
1:12.0,,,117-118,,Offensive rebound by T. Booker
1:08.0,,,117-118,,Turnover by T. Booker (lost ball; steal by P. George)
1:02.0,C. Miles makes 2-pt shot from 3 ft,2,119-118,,
0:50.0,,,119-120,2,T. Burke makes 2-pt shot from 18 ft
0:50.0,Turnover by P. George (lost ball),,119-120,,
0:17.0,,,119-122,2,D. Favors makes 2-pt shot from 3 ft (assist by T. Burke)
0:17.0,Indiana full timeout,,119-122,,
0:17.0,,,119-122,,E. Millsap enters the game for T. Burke
0:11.0,C. Miles misses 3-pt shot from 24 ft,,119-122,,
0:10.0,Offensive rebound by R. Stuckey,,119-122,,
0:06.0,Indiana full timeout,,119-122,,
0:02.0,G. Hill misses 3-pt shot from 26 ft,,119-122,,
0:01.0,Offensive rebound by J. Hill,,119-122,,
0:00.0,J. Hill misses 3-pt shot from 24 ft,,119-122,,
0:00.0,Offensive rebound by Team,,119-122,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
