time,Charlotte,pts.away,score,pts.home,Memphis
4:29.0,M. Williams makes 3-pt shot from 23 ft (assist by C. Zeller),3,108-86,,
4:12.0,,,108-86,,C. Lee misses 2-pt shot from 18 ft
4:10.0,Defensive rebound by M. Williams,,108-86,,
3:50.0,K. Walker makes 3-pt shot from 24 ft,3,111-86,,
3:36.0,,,111-86,,M. Conley misses 3-pt shot from 26 ft
3:36.0,Defensive rebound by N. Batum,,111-86,,
3:31.0,,,111-86,,Personal take foul by M. Conley (drawn by K. Walker)
3:31.0,Charlotte full timeout,,111-86,,
3:31.0,T. Daniels enters the game for M. Williams,,111-86,,
3:31.0,B. Roberts enters the game for C. Zeller,,111-86,,
3:31.0,F. Kaminsky enters the game for N. Batum,,111-86,,
3:31.0,T. Hansbrough enters the game for K. Walker,,111-86,,
3:31.0,A. Harrison enters the game for J. Lin,,111-86,,
3:31.0,,,111-86,,J. Green enters the game for M. Gasol
3:31.0,,,111-86,,R. Smith enters the game for M. Conley
3:19.0,A. Harrison makes 3-pt shot from 23 ft (assist by B. Roberts),3,114-86,,
2:58.0,,,114-86,,J. Green misses 2-pt shot from 12 ft
2:58.0,Defensive rebound by B. Roberts,,114-86,,
2:43.0,T. Daniels makes 3-pt shot from 23 ft (assist by B. Roberts),3,117-86,,
2:33.0,,,117-89,3,M. Barnes makes 3-pt shot from 25 ft (assist by R. Smith)
2:14.0,T. Daniels misses 2-pt shot from 21 ft,,117-89,,
2:13.0,,,117-89,,Defensive rebound by M. Barnes
2:02.0,,,117-89,,C. Lee misses 3-pt shot from 23 ft
2:01.0,Defensive rebound by T. Hansbrough,,117-89,,
1:47.0,T. Hansbrough makes 3-pt shot from 24 ft (assist by F. Kaminsky),3,120-89,,
1:35.0,,,120-92,3,M. Barnes makes 3-pt shot from 25 ft (assist by T. Allen)
1:21.0,Shooting foul by J. Green (drawn by T. Hansbrough),,120-92,,
1:21.0,T. Hansbrough misses free throw 1 of 2,,120-92,,
1:21.0,Offensive rebound by Team,,120-92,,
1:21.0,T. Hansbrough makes free throw 2 of 2,1,121-92,,
1:10.0,,,121-94,2,C. Lee makes 2-pt shot from 16 ft (assist by R. Smith)
1:03.0,Turnover by T. Daniels (bad pass; steal by R. Smith),,121-94,,
0:58.0,,,121-97,3,M. Barnes makes 3-pt shot from 22 ft (assist by R. Smith)
0:51.0,B. Roberts misses 2-pt shot from 2 ft,,121-97,,
0:49.0,,,121-97,,Defensive rebound by J. Green
0:40.0,,,121-97,,J. Green misses 2-pt shot from 21 ft
0:38.0,,,121-97,,Offensive rebound by M. Barnes
0:36.0,,,121-97,,M. Barnes misses 3-pt shot from 23 ft
0:34.0,Defensive rebound by T. Hansbrough,,121-97,,
0:28.0,F. Kaminsky makes 2-pt shot at rim (assist by T. Hansbrough),2,123-97,,
0:07.0,,,123-99,2,R. Smith makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
