time,Portland,pts.away,score,pts.home,Chicago
2:37.0,D. Lillard misses 2-pt shot from 21 ft,,98-92,,
2:36.0,,,98-92,,Defensive rebound by B. Portis
2:17.0,,,98-92,,P. Gasol misses 2-pt shot from 5 ft
2:16.0,,,98-92,,Offensive rebound by P. Gasol
2:12.0,,,98-92,,M. Dunleavy misses 2-pt shot from 2 ft (block by E. Davis)
2:11.0,Defensive rebound by D. Lillard,,98-92,,
1:50.0,D. Lillard misses 2-pt shot at rim,,98-92,,
1:49.0,,,98-92,,Defensive rebound by B. Portis
1:38.0,Personal foul by M. Plumlee (drawn by P. Gasol),,98-92,,
1:31.0,,,98-92,,E. Moore misses 2-pt shot from 3 ft (block by M. Plumlee)
1:30.0,Jump ball: E. Moore vs. M. Plumlee (G. Henderson gains possession),,,,Jump ball: E. Moore vs. M. Plumlee (G. Henderson gains possession)
1:30.0,Defensive rebound by Team,,98-92,,
1:10.0,Shooting foul by P. Gasol (drawn by M. Plumlee),,98-92,,
1:10.0,M. Plumlee makes free throw 1 of 2,1,99-92,,
1:10.0,M. Plumlee misses free throw 2 of 2,,99-92,,
1:09.0,,,99-92,,Defensive rebound by P. Gasol
1:09.0,,,99-92,,Chicago full timeout
1:09.0,,,99-92,,A. Brooks enters the game for B. Portis
1:09.0,C. McCollum enters the game for E. Davis,,99-92,,
1:03.0,,,99-92,,D. McDermott misses 3-pt shot from 25 ft
1:00.0,,,99-92,,Offensive rebound by P. Gasol
1:00.0,,,99-92,,P. Gasol misses 2-pt shot from 1 ft
1:00.0,Defensive rebound by D. Lillard,,99-92,,
0:43.0,D. Lillard misses 3-pt shot from 23 ft,,99-92,,
0:42.0,,,99-92,,Defensive rebound by P. Gasol
0:42.0,Personal foul by M. Plumlee (drawn by P. Gasol),,99-92,,
0:42.0,,,99-92,,P. Gasol misses free throw 1 of 2
0:42.0,,,99-92,,Offensive rebound by Team
0:42.0,E. Davis enters the game for G. Henderson,,99-92,,
0:42.0,,,99-93,1,P. Gasol makes free throw 2 of 2
0:30.0,,,99-93,,Personal take foul by D. McDermott (drawn by D. Lillard)
0:30.0,D. Lillard makes free throw 1 of 2,1,100-93,,
0:30.0,G. Henderson enters the game for E. Davis,,100-93,,
0:30.0,D. Lillard makes free throw 2 of 2,1,101-93,,
0:30.0,,,101-93,,Chicago full timeout
0:24.0,,,101-95,2,P. Gasol makes 2-pt shot from 1 ft (assist by D. McDermott)
0:22.0,Portland full timeout,,101-95,,
0:22.0,,,101-95,,T. Snell enters the game for A. Brooks
0:22.0,Portland full timeout,,101-95,,
0:22.0,,,101-95,,B. Portis enters the game for P. Gasol
0:18.0,Turnover by D. Lillard (bad pass; steal by E. Moore),,101-95,,
0:11.0,,,101-95,,T. Snell misses 3-pt shot from 25 ft
0:10.0,Defensive rebound by M. Plumlee,,101-95,,
0:10.0,,,101-95,,Personal take foul by M. Dunleavy (drawn by M. Plumlee)
0:10.0,M. Plumlee makes free throw 1 of 2,1,102-95,,
0:10.0,M. Plumlee makes free throw 2 of 2,1,103-95,,
0:03.0,,,103-95,,E. Moore misses 2-pt shot from 1 ft
0:02.0,,,103-95,,Offensive rebound by T. Snell
0:01.0,,,103-95,,T. Snell misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by M. Plumlee,,103-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
