time,Boston,pts.away,score,pts.home,Sacramento
6:43.0,,,98-81,2,R. Gay makes 2-pt shot from 2 ft (assist by D. Collison)
6:27.0,K. Olynyk makes 2-pt shot at rim (assist by E. Turner),2,100-81,,
6:12.0,Personal foul by J. Jerebko (drawn by D. Collison),,100-81,,
6:12.0,,,100-82,1,D. Collison makes free throw 1 of 2
6:12.0,,,100-82,,C. Butler enters the game for R. Gay
6:12.0,,,100-82,,K. Koufos enters the game for W. Cauley-Stein
6:12.0,J. Sullinger enters the game for J. Jerebko,,100-82,,
6:12.0,A. Johnson enters the game for K. Olynyk,,100-82,,
6:12.0,,,100-83,1,D. Collison makes free throw 2 of 2
5:55.0,Turnover by A. Bradley (bad pass; steal by C. Butler),,100-83,,
5:35.0,,,100-83,,M. Belinelli misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by J. Sullinger,,100-83,,
5:18.0,J. Crowder makes 3-pt shot from 27 ft (assist by A. Johnson),3,103-83,,
5:06.0,,,103-83,,Shooting foul by A. Bradley (drawn by S. Curry)
5:06.0,,,103-83,,Sacramento full timeout
5:06.0,I. Thomas enters the game for A. Bradley,,103-83,,
5:06.0,,,103-83,,B. McLemore enters the game for D. Collison
5:06.0,,,103-84,1,S. Curry makes free throw 1 of 2
5:06.0,,,103-84,,S. Curry misses free throw 2 of 2
5:05.0,Defensive rebound by A. Johnson,,103-84,,
4:49.0,E. Turner misses 2-pt shot from 9 ft,,103-84,,
4:48.0,,,103-84,,Defensive rebound by K. Koufos
4:32.0,,,103-84,,M. Belinelli misses 3-pt shot from 26 ft
4:32.0,Defensive rebound by J. Sullinger,,103-84,,
4:18.0,Shooting foul by C. Butler (drawn by J. Sullinger),,103-84,,
4:18.0,J. Sullinger makes free throw 1 of 2,1,104-84,,
4:18.0,,,104-84,,J. Anderson enters the game for M. Belinelli
4:18.0,,,104-84,,E. Moreland enters the game for K. Koufos
4:18.0,R. Hunter enters the game for E. Turner,,104-84,,
4:18.0,J. Sullinger makes free throw 2 of 2,1,105-84,,
4:07.0,Personal foul by R. Hunter (drawn by B. McLemore),,105-84,,
4:07.0,,,105-85,1,B. McLemore makes free throw 1 of 2
4:07.0,T. Zeller enters the game for J. Sullinger,,105-85,,
4:07.0,,,105-85,,W. Cauley-Stein enters the game for C. Butler
4:07.0,,,105-86,1,B. McLemore makes free throw 2 of 2
3:56.0,J. Crowder misses 3-pt shot from 25 ft,,105-86,,
3:55.0,,,105-86,,Defensive rebound by J. Anderson
3:46.0,Personal foul by R. Hunter (drawn by B. McLemore),,105-86,,
3:46.0,,,105-87,1,B. McLemore makes free throw 1 of 2
3:46.0,K. Olynyk enters the game for A. Johnson,,105-87,,
3:46.0,,,105-87,,B. McLemore misses free throw 2 of 2
3:44.0,,,105-87,,Offensive rebound by Team
3:43.0,Personal foul by K. Olynyk (drawn by W. Cauley-Stein),,105-87,,
3:43.0,,,105-87,,W. Cauley-Stein misses free throw 1 of 2
3:43.0,,,105-87,,Offensive rebound by Team
3:43.0,,,105-88,1,W. Cauley-Stein makes free throw 2 of 2
3:32.0,,,105-88,,Personal foul by S. Curry (drawn by I. Thomas)
3:22.0,J. Crowder misses 3-pt shot from 24 ft,,105-88,,
3:22.0,,,105-88,,Defensive rebound by W. Cauley-Stein
3:22.0,Personal foul by T. Zeller (drawn by W. Cauley-Stein),,105-88,,
3:22.0,,,105-89,1,W. Cauley-Stein makes free throw 1 of 2
3:22.0,,,105-90,1,W. Cauley-Stein makes free throw 2 of 2
3:01.0,K. Olynyk makes 2-pt shot from 7 ft (assist by J. Crowder),2,107-90,,
2:58.0,Personal foul by T. Zeller (drawn by S. Curry),,107-90,,
2:58.0,Boston full timeout,,107-90,,
2:58.0,J. Young enters the game for I. Thomas,,107-90,,
2:58.0,T. Rozier enters the game for J. Crowder,,107-90,,
2:58.0,,,107-91,1,S. Curry makes free throw 1 of 2
2:58.0,,,107-92,1,S. Curry makes free throw 2 of 2
2:48.0,T. Zeller makes 2-pt shot from 2 ft (assist by K. Olynyk),2,109-92,,
2:33.0,,,109-95,3,J. Anderson makes 3-pt shot from 24 ft (assist by B. McLemore)
2:17.0,T. Rozier misses 2-pt shot from 13 ft,,109-95,,
2:16.0,,,109-95,,Defensive rebound by E. Moreland
2:07.0,,,109-95,,S. Curry misses 2-pt shot from 18 ft
2:05.0,Defensive rebound by Team,,109-95,,
2:05.0,,,109-95,,Loose ball foul by E. Moreland (drawn by T. Zeller)
2:05.0,T. Zeller makes free throw 1 of 2,1,110-95,,
2:05.0,T. Zeller makes free throw 2 of 2,1,111-95,,
1:55.0,Personal foul by J. Young (drawn by J. Anderson),,111-95,,
1:55.0,,,111-96,1,J. Anderson makes free throw 1 of 2
1:55.0,,,111-97,1,J. Anderson makes free throw 2 of 2
1:44.0,R. Hunter misses 3-pt shot from 25 ft,,111-97,,
1:44.0,Offensive rebound by Team,,111-97,,
1:41.0,Turnover by T. Rozier (lost ball),,111-97,,
1:27.0,,,111-97,,B. McLemore misses 2-pt shot from 7 ft
1:26.0,Defensive rebound by R. Hunter,,111-97,,
1:11.0,R. Hunter misses 3-pt shot from 26 ft,,111-97,,
1:10.0,Offensive rebound by Team,,111-97,,
1:09.0,,,111-97,,Loose ball foul by E. Moreland (drawn by T. Zeller)
1:09.0,T. Zeller makes free throw 1 of 2,1,112-97,,
1:09.0,T. Zeller misses free throw 2 of 2,,112-97,,
1:07.0,,,112-97,,Defensive rebound by Team
0:55.0,,,112-97,,J. Anderson misses 2-pt shot from 21 ft
0:54.0,Defensive rebound by T. Zeller,,112-97,,
0:48.0,,,112-97,,Q. Acy enters the game for W. Cauley-Stein
0:34.0,T. Zeller misses 2-pt shot from 7 ft,,112-97,,
0:33.0,,,112-97,,Defensive rebound by E. Moreland
0:27.0,,,112-97,,Turnover by J. Anderson (bad pass)
0:04.0,T. Rozier makes 2-pt shot from 18 ft,2,114-97,,
0:01.0,,,114-97,,J. Anderson misses 3-pt shot from 28 ft
0:00.0,,,114-97,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
