time,LA Lakers,pts.away,score,pts.home,Chicago
2:35.0,,,112-118,,T. Gibson misses free throw 2 of 2
2:33.0,Defensive rebound by J. Randle,,112-118,,
2:18.0,Shooting foul by D. Rose (drawn by J. Clarkson),,112-118,,
2:18.0,J. Clarkson misses free throw 1 of 2,,112-118,,
2:18.0,Offensive rebound by Team,,112-118,,
2:18.0,J. Clarkson makes free throw 2 of 2,1,113-118,,
1:54.0,,,113-118,,D. Rose misses 2-pt shot from 9 ft
1:53.0,,,113-118,,Offensive rebound by D. Rose
1:39.0,,,113-120,2,P. Gasol makes 2-pt shot from 10 ft (assist by D. Rose)
1:27.0,K. Bryant misses 2-pt shot from 18 ft,,113-120,,
1:25.0,Offensive rebound by J. Randle,,113-120,,
1:23.0,J. Randle misses 2-pt shot from 2 ft (block by P. Gasol),,113-120,,
1:21.0,Jump ball: P. Gasol vs. J. Randle (D. Rose gains possession),,,,Jump ball: P. Gasol vs. J. Randle (D. Rose gains possession)
1:21.0,,,113-120,,Defensive rebound by Team
1:07.0,,,113-122,2,D. Rose makes 2-pt shot from 20 ft
0:56.0,J. Clarkson misses 2-pt shot from 1 ft,,113-122,,
0:55.0,Offensive rebound by J. Clarkson,,113-122,,
0:55.0,J. Randle misses 2-pt shot from 2 ft,,113-122,,
0:54.0,,,113-122,,Defensive rebound by T. Gibson
0:45.0,Personal take foul by J. Clarkson (drawn by D. Rose),,113-122,,
0:45.0,,,113-123,1,D. Rose makes free throw 1 of 2
0:45.0,N. Young enters the game for K. Bryant,,113-123,,
0:45.0,,,113-124,1,D. Rose makes free throw 2 of 2
0:45.0,LA Lakers full timeout,,113-124,,
0:40.0,J. Randle makes 2-pt shot from 2 ft,2,115-124,,
0:19.0,,,115-126,2,D. Rose makes 2-pt shot from 18 ft
0:12.0,D. Russell misses 2-pt shot from 1 ft,,115-126,,
0:11.0,,,115-126,,Defensive rebound by D. Rose
0:00.0,End of 4th quarter,,,,End of 4th quarter
