time,Sacramento,pts.away,score,pts.home,Golden State
7:10.0,,,66-73,,D. Green misses 2-pt shot from 1 ft
7:09.0,,,66-73,,Offensive rebound by D. Green
7:09.0,,,66-73,,D. Green misses 2-pt shot from 1 ft
7:08.0,,,66-73,,Offensive rebound by A. Bogut
7:08.0,,,66-73,,Shooting foul by Q. Acy (drawn by D. Green)
7:08.0,,,66-74,1,D. Green makes free throw 1 of 2
7:08.0,,,66-75,1,D. Green makes free throw 2 of 2
6:46.0,Q. Acy misses 2-pt shot from 3 ft,,66-75,,
6:45.0,,,66-75,,Defensive rebound by K. Thompson
6:35.0,,,66-77,2,A. Bogut makes 2-pt shot at rim (assist by A. Iguodala)
6:14.0,Turnover by R. Rondo (bad pass; steal by D. Green),,66-77,,
6:08.0,,,66-79,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
6:07.0,Sacramento full timeout,,66-79,,
5:55.0,R. Rondo misses 2-pt shot from 2 ft,,66-79,,
5:54.0,,,66-79,,Defensive rebound by D. Green
5:42.0,,,66-79,,D. Green misses 2-pt shot from 2 ft (block by Q. Acy)
5:41.0,Defensive rebound by R. Rondo,,66-79,,
5:41.0,,,66-79,,Personal foul by A. Bogut (drawn by R. Rondo)
5:21.0,O. Casspi makes 3-pt shot from 32 ft (assist by D. Collison),3,69-79,,
5:05.0,,,69-79,,K. Thompson misses 3-pt shot from 25 ft
5:05.0,Defensive rebound by Q. Acy,,69-79,,
4:52.0,R. Gay makes 2-pt shot from 11 ft,2,71-79,,
4:35.0,,,71-81,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
4:19.0,R. Rondo misses 2-pt shot from 1 ft,,71-81,,
4:19.0,,,71-81,,Defensive rebound by A. Bogut
4:10.0,,,71-81,,S. Curry misses 3-pt shot from 23 ft
4:10.0,,,71-81,,Offensive rebound by A. Iguodala
3:55.0,,,71-81,,Turnover by K. Thompson (traveling)
3:38.0,Q. Acy misses 2-pt shot from 16 ft,,71-81,,
3:37.0,Offensive rebound by R. Gay,,71-81,,
3:35.0,Turnover by R. Gay (lost ball; steal by A. Iguodala),,71-81,,
3:26.0,,,71-84,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
3:17.0,,,71-84,,Violation by D. Green (kicked ball)
3:17.0,J. Anderson enters the game for R. Gay,,71-84,,
3:17.0,,,71-84,,F. Ezeli enters the game for A. Bogut
3:11.0,D. Collison makes 2-pt shot from 17 ft,2,73-84,,
2:59.0,Personal foul by O. Casspi (drawn by S. Curry),,73-84,,
2:59.0,S. Curry enters the game for R. Rondo,,73-84,,
2:51.0,,,73-87,3,D. Green makes 3-pt shot from 27 ft (assist by S. Curry)
2:28.0,Q. Acy misses 2-pt shot at rim,,73-87,,
2:27.0,,,73-87,,Defensive rebound by K. Thompson
2:23.0,,,73-87,,S. Livingston enters the game for K. Thompson
2:17.0,,,73-87,,Turnover by S. Curry (bad pass; steal by S. Curry)
2:17.0,,,73-87,,Personal foul by S. Livingston (drawn by S. Curry)
1:59.0,J. Anderson misses 3-pt shot from 24 ft,,73-87,,
1:58.0,Offensive rebound by D. Collison,,73-87,,
1:55.0,D. Collison misses 2-pt shot from 17 ft,,73-87,,
1:54.0,,,73-87,,Defensive rebound by S. Livingston
1:48.0,,,73-87,,Turnover by A. Iguodala (bad pass; steal by Q. Acy)
1:44.0,O. Casspi makes 2-pt shot at rim (assist by Q. Acy),2,75-87,,
1:21.0,,,75-87,,F. Ezeli misses 2-pt shot from 10 ft
1:21.0,Defensive rebound by Q. Acy,,75-87,,
1:13.0,,,75-87,,Personal foul by A. Iguodala (drawn by O. Casspi)
1:13.0,O. Casspi misses free throw 1 of 2,,75-87,,
1:13.0,Offensive rebound by Team,,75-87,,
1:13.0,O. Casspi misses free throw 2 of 2,,75-87,,
1:13.0,Offensive rebound by S. Curry,,75-87,,
0:57.0,O. Casspi misses 3-pt shot from 26 ft,,75-87,,
0:56.0,,,75-87,,Defensive rebound by S. Curry
0:44.0,,,75-87,,D. Green misses 2-pt shot from 1 ft
0:44.0,,,75-87,,Offensive rebound by S. Livingston
0:30.0,,,75-87,,S. Livingston misses 2-pt shot from 13 ft
0:29.0,Defensive rebound by O. Casspi,,75-87,,
0:08.0,D. Collison misses 2-pt shot from 17 ft,,75-87,,
