time,New Orleans,pts.away,score,pts.home,Charlotte
2:24.0,,,109-111,,Charlotte full timeout
2:24.0,,,109-112,1,K. Walker makes free throw 1 of 2
2:24.0,,,109-113,1,K. Walker makes free throw 2 of 2
2:11.0,T. Douglas misses 3-pt shot from 25 ft,,109-113,,
2:09.0,Offensive rebound by D. Cunningham,,109-113,,
1:48.0,J. Holiday misses 2-pt shot from 1 ft,,109-113,,
1:47.0,,,109-113,,Defensive rebound by C. Lee
1:35.0,Personal foul by T. Douglas,,109-113,,
1:35.0,,,109-114,1,K. Walker makes free throw 1 of 2
1:35.0,,,109-115,1,K. Walker makes free throw 2 of 2
1:35.0,New Orleans full timeout,,109-115,,
1:21.0,T. Douglas misses 2-pt shot from 1 ft,,109-115,,
1:19.0,,,109-115,,Defensive rebound by C. Zeller
1:19.0,Personal foul by A. Davis,,109-115,,
1:19.0,,,109-116,1,C. Zeller makes free throw 1 of 2
1:19.0,,,109-117,1,C. Zeller makes free throw 2 of 2
1:19.0,New Orleans full timeout,,109-117,,
1:10.0,Shooting foul by N. Batum (drawn by J. Holiday),,109-117,,
1:10.0,J. Holiday makes free throw 1 of 2,1,110-117,,
1:10.0,A. Gee enters the game for R. Anderson,,110-117,,
1:10.0,J. Holiday makes free throw 2 of 2,1,111-117,,
0:49.0,,,111-117,,N. Batum misses 3-pt shot from 26 ft
0:47.0,,,111-117,,Offensive rebound by C. Zeller
0:26.0,,,111-120,3,K. Walker makes 3-pt shot from 24 ft
0:26.0,New Orleans full timeout,,111-120,,
0:26.0,R. Anderson enters the game for A. Gee,,111-120,,
0:21.0,J. Holiday makes 2-pt shot at rim,2,113-120,,
0:19.0,Personal take foul by J. Holiday,,113-120,,
0:19.0,,,113-121,1,K. Walker makes free throw 1 of 2
0:19.0,,,113-122,1,K. Walker makes free throw 2 of 2
0:11.0,J. Holiday misses 3-pt shot from 24 ft,,113-122,,
0:07.0,,,113-122,,Defensive rebound by N. Batum
0:00.0,End of 4th quarter,,,,End of 4th quarter
