time,Atlanta,pts.away,score,pts.home,Detroit
11:14.0,,,89-88,,Defensive rebound by A. Drummond
11:04.0,Personal foul by K. Korver,,89-88,,
11:04.0,Personal take foul by A. Horford,,89-88,,
11:04.0,,,89-88,,A. Drummond misses free throw 1 of 2
11:04.0,,,89-88,,Offensive rebound by Team
11:04.0,,,89-89,1,A. Drummond makes free throw 2 of 2
10:52.0,M. Scott misses 2-pt shot from 16 ft,,89-89,,
10:52.0,Offensive rebound by A. Horford,,89-89,,
10:44.0,D. Schroder misses 2-pt shot from 5 ft (block by A. Drummond),,89-89,,
10:42.0,,,89-89,,Defensive rebound by S. Johnson
10:30.0,,,89-91,2,S. Blake makes 2-pt shot from 18 ft
10:05.0,T. Sefolosha makes 3-pt shot from 23 ft (assist by M. Scott),3,92-91,,
9:52.0,,,92-91,,Turnover by S. Johnson (lost ball; steal by K. Korver)
9:45.0,,,92-91,,K. Caldwell-Pope enters the game for S. Johnson
9:36.0,K. Korver makes 3-pt shot from 23 ft (assist by D. Schroder),3,95-91,,
9:28.0,,,95-91,,Detroit full timeout
9:28.0,,,95-91,,R. Jackson enters the game for S. Blake
9:28.0,Personal take foul by M. Scott,,95-91,,
9:28.0,,,95-92,1,A. Drummond makes free throw 1 of 2
9:28.0,,,95-92,,A. Drummond misses free throw 2 of 2
9:27.0,Defensive rebound by A. Horford,,95-92,,
9:10.0,T. Sefolosha misses 3-pt shot from 26 ft,,95-92,,
9:10.0,,,95-92,,Defensive rebound by A. Drummond
8:54.0,,,95-92,,R. Jackson misses 3-pt shot from 23 ft
8:54.0,Defensive rebound by T. Sefolosha,,95-92,,
8:43.0,Turnover by D. Schroder (lost ball),,95-92,,
8:25.0,,,95-92,,A. Drummond misses 2-pt shot from 5 ft
8:24.0,Defensive rebound by A. Horford,,95-92,,
8:07.0,D. Schroder makes 3-pt shot from 26 ft (assist by A. Horford),3,98-92,,
7:53.0,,,98-92,,R. Jackson misses 2-pt shot from 8 ft
7:52.0,Defensive rebound by A. Horford,,98-92,,
7:51.0,,,98-92,,Personal foul by M. Morris
7:51.0,K. Bazemore enters the game for A. Horford,,98-92,,
7:51.0,P. Millsap enters the game for T. Sefolosha,,98-92,,
7:43.0,Turnover by D. Schroder (lost ball; steal by K. Caldwell-Pope),,98-92,,
7:40.0,,,98-92,,Shooting foul by K. Korver (drawn by K. Caldwell-Pope)
7:40.0,,,98-92,,K. Caldwell-Pope misses free throw 1 of 2
7:40.0,,,98-92,,Offensive rebound by Team
7:40.0,T. Sefolosha enters the game for K. Korver,,98-92,,
