time,Indiana,pts.away,score,pts.home,Washington
3:15.0,,,91-93,,Offensive rebound by Team
3:06.0,,,91-95,2,M. Morris makes 2-pt shot from 18 ft (assist by J. Wall)
2:50.0,P. George makes 3-pt shot from 27 ft (assist by G. Hill),3,94-95,,
2:29.0,,,94-95,,J. Wall misses 2-pt shot from 18 ft
2:28.0,Defensive rebound by P. George,,94-95,,
2:19.0,Turnover by P. George (bad pass; steal by M. Morris),,94-95,,
2:19.0,Personal foul by I. Mahinmi (drawn by M. Gortat),,94-95,,
2:19.0,,,94-96,1,M. Gortat makes free throw 1 of 2
2:19.0,J. Hill enters the game for I. Mahinmi,,94-96,,
2:19.0,,,94-97,1,M. Gortat makes free throw 2 of 2
2:03.0,P. George makes 2-pt shot from 9 ft,2,96-97,,
1:38.0,,,96-97,,J. Wall misses 3-pt shot from 27 ft
1:38.0,Defensive rebound by Team,,96-97,,
1:18.0,L. Allen misses 2-pt shot from 6 ft,,96-97,,
1:17.0,Offensive rebound by J. Hill,,96-97,,
1:15.0,Turnover by J. Hill (bad pass; steal by G. Temple),,96-97,,
1:12.0,,,96-97,,Turnover by G. Temple (lost ball; steal by M. Ellis)
1:00.0,P. George misses 2-pt shot from 21 ft,,96-97,,
1:00.0,Offensive rebound by J. Hill,,96-97,,
0:59.0,J. Hill makes 2-pt shot from 7 ft,2,98-97,,
0:59.0,,,98-97,,Washington full timeout
0:59.0,I. Mahinmi enters the game for J. Hill,,98-97,,
0:59.0,,,98-97,,R. Sessions enters the game for G. Temple
0:42.0,,,98-97,,Shooting foul by I. Mahinmi (drawn by J. Wall)
0:42.0,J. Hill enters the game for I. Mahinmi,,98-97,,
0:42.0,,,98-97,,J. Wall misses free throw 1 of 2
0:42.0,,,98-97,,Offensive rebound by Team
0:42.0,,,98-97,,G. Temple enters the game for R. Sessions
0:42.0,,,98-97,,N. Hilario enters the game for M. Gortat
0:42.0,,,98-98,1,J. Wall makes free throw 2 of 2
0:42.0,Indiana full timeout,,98-98,,
0:32.0,P. George misses 2-pt shot from 15 ft,,98-98,,
0:31.0,,,98-98,,Defensive rebound by M. Morris
0:22.0,,,98-98,,Washington full timeout
0:11.0,,,98-98,,Shooting foul by L. Allen (drawn by N. Hilario)
0:11.0,,,98-98,,N. Hilario misses free throw 1 of 2
0:11.0,,,98-98,,Offensive rebound by Team
0:11.0,,,98-99,1,N. Hilario makes free throw 2 of 2
0:11.0,Indiana full timeout,,98-99,,
0:03.0,Shooting foul by A. Anderson (drawn by P. George),,98-99,,
0:03.0,P. George makes free throw 1 of 2,1,99-99,,
0:03.0,P. George makes free throw 2 of 2,1,100-99,,
0:03.0,,,100-99,,Washington full timeout
0:03.0,,,100-99,,J. Dudley enters the game for G. Temple
0:03.0,S. Hill enters the game for L. Allen,,100-99,,
0:01.0,,,100-99,,J. Wall misses 2-pt shot from 16 ft
0:00.0,,,100-99,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
