time,Toronto,pts.away,score,pts.home,Golden State
4:14.0,,,98-103,2,D. Green makes 2-pt shot from 6 ft (assist by S. Curry)
4:13.0,Toronto full timeout,,98-103,,
3:59.0,D. DeRozan misses 2-pt shot from 6 ft,,98-103,,
3:58.0,,,98-103,,Defensive rebound by D. Green
3:52.0,,,98-103,,Turnover by D. Green (bad pass; steal by D. DeRozan)
3:42.0,Shooting foul by A. Iguodala (drawn by D. DeRozan),,98-103,,
3:42.0,D. DeRozan misses free throw 1 of 2,,98-103,,
3:42.0,Offensive rebound by Team,,98-103,,
3:42.0,D. DeRozan makes free throw 2 of 2,1,99-103,,
3:39.0,Personal take foul by C. Joseph (drawn by A. Bogut),,99-103,,
3:39.0,,,99-104,1,A. Bogut makes free throw 1 of 2
3:39.0,,,99-104,,A. Bogut misses free throw 2 of 2
3:37.0,Defensive rebound by J. Valanciunas,,99-104,,
3:17.0,D. Carroll misses 3-pt shot from 25 ft,,99-104,,
3:14.0,,,99-104,,Defensive rebound by S. Curry
3:12.0,,,99-104,,Turnover by S. Curry (turnover)
3:02.0,Shooting foul by K. Thompson (drawn by J. Valanciunas),,99-104,,
3:02.0,J. Valanciunas makes free throw 1 of 2,1,100-104,,
3:02.0,J. Valanciunas misses free throw 2 of 2,,100-104,,
3:01.0,,,100-104,,Defensive rebound by D. Green
2:54.0,Personal take foul by D. DeRozan (drawn by A. Bogut),,100-104,,
2:54.0,,,100-104,,Golden State full timeout
2:54.0,,,100-104,,A. Bogut misses free throw 1 of 2
2:54.0,,,100-104,,Offensive rebound by Team
2:54.0,,,100-105,1,A. Bogut makes free throw 2 of 2
2:38.0,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan),3,103-105,,
2:37.0,,,103-105,,Golden State full timeout
2:37.0,,,103-105,,H. Barnes enters the game for A. Bogut
2:37.0,L. Scola enters the game for J. Valanciunas,,103-105,,
2:21.0,,,103-105,,Turnover by A. Iguodala (bad pass; steal by K. Lowry)
2:04.0,L. Scola misses 3-pt shot from 23 ft,,103-105,,
2:03.0,,,103-105,,Defensive rebound by Team
2:03.0,Loose ball foul by C. Joseph (drawn by K. Thompson),,103-105,,
2:03.0,,,103-106,1,K. Thompson makes free throw 1 of 2
2:03.0,,,103-106,,K. Thompson misses free throw 2 of 2
2:01.0,Defensive rebound by D. DeRozan,,103-106,,
1:40.0,D. DeRozan misses 2-pt shot from 10 ft,,103-106,,
1:39.0,,,103-106,,Defensive rebound by D. Green
1:28.0,,,103-108,2,S. Curry makes 2-pt shot from 16 ft
1:28.0,Toronto full timeout,,103-108,,
1:28.0,Toronto full timeout,,103-108,,
1:19.0,Turnover by D. DeRozan (lost ball; steal by D. Green),,103-108,,
1:03.0,,,103-108,,H. Barnes misses 3-pt shot from 24 ft
1:02.0,Defensive rebound by C. Joseph,,103-108,,
1:01.0,,,103-108,,Personal foul by H. Barnes (drawn by C. Joseph)
1:01.0,C. Joseph makes free throw 1 of 2,1,104-108,,
1:01.0,C. Joseph misses free throw 2 of 2,,104-108,,
1:00.0,Offensive rebound by Team,,104-108,,
1:00.0,,,104-108,,Loose ball foul by H. Barnes (drawn by C. Joseph)
1:00.0,K. Lowry makes free throw 1 of 2,1,105-108,,
1:00.0,K. Lowry makes free throw 2 of 2,1,106-108,,
0:49.0,Personal foul by L. Scola (drawn by S. Curry),,106-108,,
0:49.0,,,106-108,,S. Curry misses free throw 1 of 2
0:49.0,,,106-108,,Offensive rebound by Team
0:49.0,,,106-109,1,S. Curry makes free throw 2 of 2
0:39.0,D. DeRozan makes 2-pt shot from 2 ft,2,108-109,,
0:26.0,,,108-109,,S. Curry misses 2-pt shot from 5 ft (block by K. Lowry)
0:25.0,Defensive rebound by Team,,108-109,,
0:15.0,Offensive foul by K. Lowry,,108-109,,
0:15.0,Turnover by K. Lowry (offensive foul),,108-109,,
0:13.0,Personal foul by L. Scola (drawn by S. Curry),,108-109,,
0:13.0,,,108-110,1,S. Curry makes free throw 1 of 2
0:13.0,,,108-111,1,S. Curry makes free throw 2 of 2
0:06.0,K. Lowry misses 2-pt shot from 4 ft (block by D. Green),,108-111,,
0:06.0,,,108-111,,Defensive rebound by D. Green
0:06.0,Personal foul by K. Lowry (drawn by D. Green),,108-111,,
0:06.0,,,108-112,1,D. Green makes free throw 1 of 2
0:06.0,,,108-113,1,D. Green makes free throw 2 of 2
0:02.0,C. Joseph makes 2-pt shot from 1 ft,2,110-113,,
0:01.0,Personal foul by K. Lowry (drawn by S. Curry),,110-113,,
0:01.0,J. Johnson enters the game for K. Lowry,,110-113,,
0:01.0,,,110-114,1,S. Curry makes free throw 1 of 2
0:01.0,,,110-115,1,S. Curry makes free throw 2 of 2
0:01.0,J. Johnson misses 3-pt shot from 37 ft,,110-115,,
0:00.0,Offensive rebound by Team,,110-115,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
