time,Chicago,pts.away,score,pts.home,Memphis
2:18.0,J. Butler makes 2-pt shot at rim (assist by D. Rose),2,87-101,,
1:59.0,,,87-101,,V. Carter misses 2-pt shot from 20 ft (block by P. Gasol)
1:58.0,Defensive rebound by N. Mirotic,,87-101,,
1:56.0,Turnover by D. Rose (bad pass),,87-101,,
1:56.0,,,87-101,,Memphis full timeout
1:45.0,,,87-104,3,V. Carter makes 3-pt shot from 22 ft (assist by J. Farmar)
1:28.0,P. Gasol misses 2-pt shot from 6 ft,,87-104,,
1:26.0,,,87-104,,Defensive rebound by V. Carter
1:02.0,,,87-104,,M. Barnes misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by J. Butler,,87-104,,
0:53.0,Turnover by J. Butler (bad pass),,87-104,,
0:35.0,,,87-106,2,J. Farmar makes 2-pt shot from 7 ft
0:24.0,P. Gasol misses 2-pt shot from 2 ft (block by V. Carter),,87-106,,
0:22.0,Offensive rebound by J. Butler,,87-106,,
0:22.0,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Butler),3,90-106,,
0:20.0,Personal take foul by P. Gasol,,90-106,,
0:20.0,,,90-107,1,J. Farmar makes free throw 1 of 2
0:20.0,,,90-107,,R. Hollins enters the game for Z. Randolph
0:20.0,,,90-107,,X. Munford enters the game for M. Barnes
0:20.0,,,90-107,,J. Martin enters the game for C. Andersen
0:20.0,,,90-107,,B. Cotton enters the game for V. Carter
0:20.0,J. Holiday enters the game for D. Rose,,90-107,,
0:20.0,,,90-108,1,J. Farmar makes free throw 2 of 2
0:06.0,P. Gasol makes 2-pt shot at rim (assist by N. Mirotic),2,92-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
