time,Washington,pts.away,score,pts.home,Houston
4:25.0,J. Dudley makes free throw 3 of 3,1,109-113,,
4:08.0,,,109-113,,T. Ariza misses 3-pt shot from 24 ft
4:08.0,Defensive rebound by G. Temple,,109-113,,
4:02.0,J. Wall misses 2-pt shot from 1 ft,,109-113,,
4:01.0,,,109-113,,Defensive rebound by T. Ariza
3:52.0,,,109-113,,Houston full timeout
3:52.0,,,109-113,,Technical foul by Team
3:52.0,B. Beal makes technical free throw,1,110-113,,
3:46.0,,,110-113,,Turnover by C. Capela (bad pass; steal by G. Temple)
3:42.0,G. Temple misses 2-pt shot from 1 ft,,110-113,,
3:40.0,,,110-113,,Defensive rebound by C. Capela
3:35.0,,,110-116,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
3:20.0,B. Beal misses 3-pt shot from 24 ft,,110-116,,
3:20.0,Offensive rebound by Team,,110-116,,
3:20.0,,,110-116,,Loose ball foul by C. Capela (drawn by M. Gortat)
3:20.0,M. Gortat makes free throw 1 of 2,1,111-116,,
3:20.0,M. Gortat makes free throw 2 of 2,1,112-116,,
3:06.0,Personal foul by G. Temple (drawn by J. Harden),,112-116,,
3:04.0,Personal take foul by B. Beal (drawn by C. Capela),,112-116,,
3:04.0,,,112-116,,C. Capela misses free throw 1 of 2
3:04.0,,,112-116,,Offensive rebound by Team
3:04.0,,,112-116,,C. Capela misses free throw 2 of 2
3:04.0,Defensive rebound by B. Beal,,112-116,,
2:45.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,114-116,,
2:41.0,Personal take foul by B. Beal (drawn by C. Capela),,114-116,,
2:41.0,,,114-117,1,C. Capela makes free throw 1 of 2
2:41.0,,,114-117,,C. Capela misses free throw 2 of 2
2:40.0,Defensive rebound by B. Beal,,114-117,,
2:27.0,J. Wall makes 3-pt shot from 25 ft,3,117-117,,
2:22.0,,,117-117,,Houston full timeout
2:02.0,,,117-117,,T. Ariza misses 3-pt shot from 24 ft
1:59.0,Defensive rebound by J. Dudley,,117-117,,
1:58.0,,,117-117,,Personal foul by P. Beverley (drawn by J. Dudley)
1:58.0,J. Dudley makes free throw 1 of 2,1,118-117,,
1:58.0,R. Sessions enters the game for M. Gortat,,118-117,,
1:58.0,,,118-117,,C. Brewer enters the game for C. Capela
1:58.0,,,118-117,,C. Capela enters the game for C. Brewer
1:58.0,,,118-117,,J. Terry enters the game for C. Capela
1:58.0,J. Dudley makes free throw 2 of 2,1,119-117,,
1:47.0,,,119-117,,J. Harden misses 2-pt shot from 1 ft (block by J. Wall)
1:46.0,,,119-117,,Offensive rebound by J. Terry
1:32.0,,,119-117,,J. Terry misses 3-pt shot from 22 ft
1:31.0,Defensive rebound by G. Temple,,119-117,,
1:22.0,R. Sessions misses 2-pt shot from 4 ft,,119-117,,
1:21.0,,,119-117,,Defensive rebound by T. Ariza
1:13.0,,,119-117,,J. Terry misses 3-pt shot from 24 ft
1:13.0,Defensive rebound by J. Wall,,119-117,,
1:13.0,,,119-117,,Personal foul by T. Lawson (drawn by J. Wall)
1:13.0,J. Wall makes free throw 1 of 2,1,120-117,,
1:13.0,J. Wall makes free throw 2 of 2,1,121-117,,
1:00.0,Shooting block foul by J. Dudley (drawn by J. Harden),,121-117,,
1:00.0,,,121-118,1,J. Harden makes free throw 1 of 2
1:00.0,,,121-119,1,J. Harden makes free throw 2 of 2
0:39.0,J. Wall misses 2-pt shot from 3 ft,,121-119,,
0:38.0,Offensive rebound by Team,,121-119,,
0:37.0,J. Dudley makes 2-pt shot from 1 ft (assist by G. Temple),2,123-119,,
0:32.0,,,123-121,2,J. Harden makes 2-pt shot from 4 ft
0:32.0,,,123-121,,Shooting foul by G. Temple (drawn by J. Harden)
0:32.0,G. Neal enters the game for G. Temple,,123-121,,
0:32.0,,,123-122,1,J. Harden makes free throw 1 of 1
0:10.0,J. Wall misses 2-pt shot from 2 ft,,123-122,,
0:09.0,,,123-122,,Defensive rebound by T. Ariza
0:09.0,,,123-122,,Houston full timeout
0:09.0,O. Porter enters the game for G. Neal,,123-122,,
0:09.0,,,123-122,,J. Smith enters the game for T. Lawson
0:05.0,,,123-122,,J. Harden misses 2-pt shot from 1 ft
0:04.0,,,123-122,,Offensive rebound by J. Smith
0:03.0,,,123-122,,J. Smith misses 2-pt shot from 4 ft
0:02.0,Defensive rebound by J. Wall,,123-122,,
0:00.0,J. Wall misses 3-pt shot from 73 ft,,123-122,,
0:00.0,Offensive rebound by Team,,123-122,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
