time,Atlanta,pts.away,score,pts.home,Houston
0:00.0,,,56-71,,Defensive rebound by T. Ariza
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,A. Horford makes 3-pt shot from 24 ft (assist by P. Millsap),3,59-71,,
11:20.0,,,59-73,2,P. Beverley makes 2-pt shot from 5 ft (assist by J. Harden)
11:03.0,P. Millsap misses 3-pt shot from 24 ft,,59-73,,
11:01.0,,,59-73,,Defensive rebound by J. Harden
10:54.0,,,59-73,,C. Capela misses 2-pt shot from 5 ft (block by P. Millsap)
10:52.0,Defensive rebound by K. Korver,,59-73,,
10:45.0,K. Korver misses 3-pt shot from 24 ft,,59-73,,
10:43.0,,,59-73,,Defensive rebound by C. Capela
10:33.0,,,59-73,,T. Ariza misses 2-pt shot from 14 ft (block by K. Korver)
10:32.0,Defensive rebound by A. Horford,,59-73,,
10:24.0,J. Teague misses 2-pt shot from 1 ft,,59-73,,
10:23.0,,,59-73,,Defensive rebound by C. Capela
10:13.0,,,59-73,,Turnover by J. Harden (lost ball)
9:53.0,K. Korver misses 3-pt shot from 24 ft,,59-73,,
9:52.0,,,59-73,,Defensive rebound by D. Howard
9:45.0,,,59-73,,C. Capela misses 2-pt shot from 1 ft (block by A. Horford)
9:45.0,,,59-73,,Offensive rebound by Team
9:33.0,,,59-75,2,C. Capela makes 2-pt shot from 4 ft (assist by J. Harden)
9:23.0,A. Horford makes 3-pt shot from 24 ft (assist by J. Teague),3,62-75,,
9:14.0,,,62-75,,Shooting foul by K. Korver (drawn by D. Howard)
9:14.0,,,62-75,,D. Howard misses free throw 1 of 2
9:14.0,,,62-75,,Offensive rebound by Team
9:14.0,,,62-76,1,D. Howard makes free throw 2 of 2
9:02.0,P. Millsap makes 2-pt shot at rim (assist by J. Teague),2,64-76,,
9:02.0,Shooting foul by D. Howard (drawn by P. Millsap),,64-76,,
9:02.0,P. Millsap makes free throw 1 of 1,1,65-76,,
8:49.0,,,65-76,,Turnover by C. Capela (bad pass; steal by J. Teague)
8:44.0,J. Teague makes 2-pt shot from 13 ft,2,67-76,,
8:28.0,,,67-78,2,D. Howard makes 2-pt shot at rim
8:03.0,P. Millsap misses 2-pt shot from 2 ft (block by T. Ariza),,67-78,,
8:02.0,Offensive rebound by P. Millsap,,67-78,,
8:01.0,P. Millsap makes 2-pt shot at rim,2,69-78,,
7:52.0,Loose ball foul by K. Bazemore (drawn by J. Harden),,69-78,,
7:43.0,,,69-78,,Turnover by C. Capela (bad pass; steal by A. Horford)
7:37.0,Turnover by K. Bazemore (bad pass; steal by C. Capela),,69-78,,
7:33.0,,,69-78,,J. Harden misses 2-pt shot at rim
7:31.0,Defensive rebound by P. Millsap,,69-78,,
7:15.0,K. Bazemore makes 3-pt shot from 25 ft (assist by P. Millsap),3,72-78,,
7:14.0,,,72-78,,Houston full timeout
7:14.0,T. Sefolosha enters the game for K. Korver,,72-78,,
7:14.0,,,72-78,,D. Motiejunas enters the game for C. Capela
6:58.0,,,72-78,,J. Harden misses 2-pt shot from 16 ft
6:57.0,,,72-78,,Offensive rebound by D. Motiejunas
6:52.0,,,72-78,,T. Ariza misses 2-pt shot at rim
6:51.0,,,72-78,,Offensive rebound by D. Howard
6:42.0,,,72-80,2,J. Harden makes 2-pt shot from 2 ft
6:22.0,J. Teague misses 2-pt shot from 6 ft,,72-80,,
6:20.0,Offensive rebound by A. Horford,,72-80,,
6:20.0,A. Horford makes 2-pt shot at rim,2,74-80,,
6:11.0,Violation by T. Sefolosha (kicked ball),,74-80,,
6:11.0,,,74-80,,T. Lawson enters the game for P. Beverley
6:06.0,,,74-80,,Turnover by D. Motiejunas (lost ball; steal by P. Millsap)
6:02.0,P. Millsap makes 2-pt shot at rim,2,76-80,,
5:54.0,,,76-80,,Turnover by J. Harden (bad pass; steal by J. Teague)
5:31.0,K. Bazemore misses 2-pt shot from 10 ft,,76-80,,
5:30.0,Offensive rebound by P. Millsap,,76-80,,
5:29.0,P. Millsap misses 2-pt shot at rim,,76-80,,
5:29.0,,,76-80,,Defensive rebound by D. Howard
5:24.0,,,76-80,,D. Motiejunas misses 2-pt shot from 2 ft
5:23.0,Defensive rebound by A. Horford,,76-80,,
5:18.0,J. Teague misses 3-pt shot from 25 ft,,76-80,,
5:17.0,,,76-80,,Defensive rebound by D. Howard
5:12.0,,,76-82,2,T. Ariza makes 2-pt shot at rim (assist by D. Motiejunas)
4:55.0,K. Bazemore makes 3-pt shot from 24 ft (assist by J. Teague),3,79-82,,
4:41.0,,,79-82,,Turnover by J. Harden (bad pass)
4:30.0,P. Millsap makes 3-pt shot from 24 ft (assist by K. Bazemore),3,82-82,,
4:11.0,,,82-82,,Shooting foul by P. Millsap (drawn by J. Harden)
4:11.0,,,82-83,1,J. Harden makes free throw 1 of 2
4:11.0,,,82-83,,C. Brewer enters the game for T. Ariza
4:11.0,,,82-83,,C. Capela enters the game for D. Howard
4:11.0,Atlanta full timeout,,82-83,,
4:11.0,,,82-83,,J. Harden misses free throw 2 of 2
4:11.0,Defensive rebound by P. Millsap,,82-83,,
3:55.0,K. Bazemore misses 3-pt shot from 23 ft,,82-83,,
3:54.0,,,82-83,,Defensive rebound by D. Motiejunas
3:42.0,,,82-83,,T. Lawson misses 2-pt shot from 17 ft
3:40.0,Defensive rebound by P. Millsap,,82-83,,
3:33.0,,,82-83,,Personal foul by D. Motiejunas (drawn by A. Horford)
3:32.0,M. Scott enters the game for A. Horford,,82-83,,
3:21.0,P. Millsap misses 2-pt shot from 7 ft,,82-83,,
3:20.0,Offensive rebound by P. Millsap,,82-83,,
3:10.0,M. Scott misses 3-pt shot from 24 ft,,82-83,,
3:08.0,Offensive rebound by P. Millsap,,82-83,,
3:07.0,P. Millsap misses 2-pt shot from 4 ft (block by D. Motiejunas),,82-83,,
3:05.0,,,82-83,,Defensive rebound by C. Capela
3:01.0,,,82-83,,Shooting foul by M. Scott (drawn by J. Harden)
3:01.0,,,82-84,1,J. Harden makes free throw 1 of 2
3:01.0,,,82-85,1,J. Harden makes free throw 2 of 2
2:45.0,M. Scott misses 3-pt shot from 24 ft,,82-85,,
2:44.0,,,82-85,,Defensive rebound by J. Harden
2:37.0,,,82-85,,Turnover by J. Harden (bad pass)
2:37.0,S. Mack enters the game for J. Teague,,82-85,,
2:23.0,,,82-85,,Personal foul by C. Brewer (drawn by K. Bazemore)
2:11.0,P. Millsap misses 2-pt shot from 2 ft,,82-85,,
2:11.0,Offensive rebound by T. Sefolosha,,82-85,,
2:11.0,Turnover by T. Sefolosha (offensive goaltending),,82-85,,
2:00.0,,,82-88,3,J. Harden makes 3-pt shot from 24 ft
1:52.0,Offensive charge foul by P. Millsap,,82-88,,
1:52.0,Turnover by P. Millsap (offensive foul),,82-88,,
1:42.0,,,82-88,,Shooting foul by P. Millsap (drawn by C. Capela)
1:42.0,,,82-89,1,C. Capela makes free throw 1 of 2
1:42.0,A. Horford enters the game for P. Millsap,,82-89,,
1:42.0,,,82-89,,C. Capela misses free throw 2 of 2
1:42.0,Defensive rebound by K. Bazemore,,82-89,,
1:28.0,Turnover by K. Bazemore (step out of bounds),,82-89,,
1:17.0,,,82-92,3,J. Harden makes 3-pt shot from 24 ft
0:58.0,K. Bazemore misses 3-pt shot from 24 ft,,82-92,,
0:57.0,,,82-92,,Defensive rebound by D. Motiejunas
0:43.0,,,82-92,,C. Brewer misses 3-pt shot from 24 ft
0:42.0,Defensive rebound by Team,,82-92,,
0:42.0,K. Korver enters the game for K. Bazemore,,82-92,,
0:42.0,,,82-92,,T. Ariza enters the game for T. Lawson
0:31.0,S. Mack misses 2-pt shot from 16 ft,,82-92,,
0:30.0,,,82-92,,Defensive rebound by D. Motiejunas
0:06.0,,,82-92,,J. Harden misses 3-pt shot from 23 ft
0:05.0,Defensive rebound by A. Horford,,82-92,,
0:00.0,S. Mack makes 2-pt shot from 1 ft (assist by A. Horford),2,84-92,,
0:00.0,Shooting foul by J. Harden (drawn by S. Mack),,84-92,,
0:00.0,E. Tavares enters the game for M. Scott,,84-92,,
0:00.0,S. Mack makes free throw 1 of 1,1,85-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
