time,Golden State,pts.away,score,pts.home,Sacramento
11:17.0,Defensive rebound by A. Bogut,,63-60,,
10:55.0,B. Rush misses 3-pt shot from 22 ft,,63-60,,
10:54.0,,,63-60,,Defensive rebound by D. Cousins
10:35.0,,,63-60,,D. Cousins misses 2-pt shot from 19 ft
10:35.0,Defensive rebound by K. Thompson,,63-60,,
10:30.0,B. Rush makes 2-pt shot from 1 ft (assist by K. Thompson),2,65-60,,
10:12.0,,,65-62,2,R. Gay makes 2-pt shot from 18 ft (assist by R. Rondo)
9:56.0,,,65-62,,Personal foul by Q. Acy (drawn by D. Green)
9:50.0,Turnover by K. Thompson (back court),,65-62,,
9:44.0,,,65-62,,Offensive foul by D. Cousins
9:44.0,,,65-62,,Turnover by D. Cousins (offensive foul)
9:44.0,,,65-62,,K. Koufos enters the game for D. Cousins
9:29.0,B. Rush makes 3-pt shot from 23 ft (assist by A. Bogut),3,68-62,,
9:29.0,,,68-62,,Sacramento full timeout
9:17.0,,,68-64,2,R. Rondo makes 2-pt shot from 8 ft
9:02.0,K. Thompson misses 2-pt shot from 7 ft,,68-64,,
9:02.0,Offensive rebound by A. Bogut,,68-64,,
9:02.0,A. Bogut makes 2-pt shot from 1 ft,2,70-64,,
8:40.0,,,70-64,,R. Rondo misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by B. Rush,,70-64,,
8:36.0,D. Green makes 2-pt shot from 1 ft (assist by B. Rush),2,72-64,,
8:23.0,Personal foul by S. Curry (drawn by B. McLemore),,72-64,,
8:09.0,,,72-64,,R. Rondo misses 3-pt shot from 24 ft (block by D. Green)
8:07.0,Defensive rebound by S. Curry,,72-64,,
8:07.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,74-64,,
8:06.0,,,74-64,,Sacramento full timeout
8:06.0,,,74-64,,M. Belinelli enters the game for B. McLemore
7:51.0,,,74-64,,R. Rondo misses 2-pt shot from 18 ft
7:50.0,Defensive rebound by A. Bogut,,74-64,,
7:39.0,Turnover by D. Green (bad pass; steal by K. Koufos),,74-64,,
7:33.0,,,74-64,,M. Belinelli misses 2-pt shot from 22 ft
7:32.0,Defensive rebound by A. Bogut,,74-64,,
7:25.0,B. Rush misses 3-pt shot from 24 ft,,74-64,,
7:25.0,,,74-64,,Defensive rebound by R. Gay
7:16.0,,,74-67,3,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Rondo)
7:01.0,S. Curry misses 2-pt shot from 6 ft,,74-67,,
7:00.0,,,74-67,,Defensive rebound by Q. Acy
6:58.0,Jump ball: Q. Acy vs. D. Green (K. Koufos gains possession),,,,Jump ball: Q. Acy vs. D. Green (K. Koufos gains possession)
6:48.0,Personal foul by B. Rush (drawn by M. Belinelli),,74-67,,
6:42.0,,,74-67,,Shooting foul by A. Bogut (drawn by Q. Acy)
6:42.0,,,74-68,1,Q. Acy makes free throw 1 of 2
6:42.0,,,74-69,1,Q. Acy makes free throw 2 of 2
6:30.0,A. Bogut misses 2-pt shot from 6 ft (block by K. Koufos),,74-69,,
6:28.0,Offensive rebound by A. Bogut,,74-69,,
6:27.0,K. Thompson makes 2-pt shot from 1 ft (assist by A. Bogut),2,76-69,,
6:02.0,,,76-69,,K. Koufos misses 2-pt shot from 9 ft
6:01.0,Defensive rebound by A. Bogut,,76-69,,
5:55.0,H. Barnes enters the game for A. Bogut,,76-69,,
5:55.0,,,76-69,,D. Collison enters the game for K. Koufos
5:53.0,K. Thompson makes 2-pt shot from 3 ft (assist by S. Curry),2,78-69,,
5:38.0,,,78-71,2,M. Belinelli makes 2-pt shot from 21 ft (assist by R. Rondo)
5:25.0,K. Thompson misses 2-pt shot from 5 ft,,78-71,,
5:24.0,,,78-71,,Defensive rebound by Q. Acy
5:17.0,,,78-71,,Shooting foul by D. Green (drawn by R. Gay)
5:17.0,,,78-72,1,R. Gay makes free throw 1 of 2
5:17.0,Golden State full timeout,,78-72,,
5:17.0,A. Iguodala enters the game for B. Rush,,78-72,,
5:17.0,,,78-73,1,R. Gay makes free throw 2 of 2
5:06.0,Turnover by A. Iguodala (bad pass),,78-73,,
4:47.0,,,78-73,,R. Gay misses 2-pt shot from 11 ft
4:47.0,Defensive rebound by S. Curry,,78-73,,
4:42.0,Offensive charge foul by S. Curry,,78-73,,
4:42.0,Turnover by S. Curry (offensive foul),,78-73,,
4:26.0,,,78-73,,M. Belinelli misses 2-pt shot from 19 ft
4:25.0,Defensive rebound by D. Green,,78-73,,
4:11.0,D. Green makes 3-pt shot from 25 ft (assist by K. Thompson),3,81-73,,
3:53.0,,,81-73,,Turnover by R. Rondo (bad pass; steal by D. Green)
3:40.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,83-73,,
3:18.0,,,83-76,3,D. Collison makes 3-pt shot from 24 ft (assist by R. Rondo)
3:05.0,S. Curry misses 3-pt shot from 24 ft,,83-76,,
3:05.0,Offensive rebound by Team,,83-76,,
3:05.0,,,83-76,,Loose ball foul by R. Rondo (drawn by D. Green)
3:05.0,F. Ezeli enters the game for D. Green,,83-76,,
3:05.0,,,83-76,,W. Cauley-Stein enters the game for Q. Acy
3:05.0,,,83-76,,B. McLemore enters the game for R. Rondo
2:55.0,K. Thompson makes 2-pt shot from 11 ft,2,85-76,,
2:49.0,,,85-78,2,D. Collison makes 2-pt shot from 1 ft
2:40.0,,,85-78,,Personal foul by D. Collison (drawn by F. Ezeli)
2:32.0,A. Iguodala makes 2-pt shot from 1 ft (assist by S. Curry),2,87-78,,
2:09.0,,,87-78,,W. Cauley-Stein misses 2-pt shot from 7 ft (block by K. Thompson)
2:08.0,Defensive rebound by F. Ezeli,,87-78,,
2:05.0,,,87-78,,Personal foul by B. McLemore (drawn by K. Thompson)
2:05.0,S. Livingston enters the game for K. Thompson,,87-78,,
2:05.0,,,87-78,,S. Curry enters the game for R. Gay
1:54.0,S. Curry makes 3-pt shot from 25 ft,3,90-78,,
1:32.0,,,90-80,2,D. Collison makes 2-pt shot from 6 ft (assist by S. Curry)
1:13.0,S. Livingston makes 2-pt shot from 11 ft (assist by A. Iguodala),2,92-80,,
1:01.0,Personal foul by F. Ezeli (drawn by W. Cauley-Stein),,92-80,,
1:01.0,,,92-80,,W. Cauley-Stein misses free throw 1 of 2
1:01.0,,,92-80,,Offensive rebound by Team
1:01.0,,,92-80,,W. Cauley-Stein misses free throw 2 of 2
1:00.0,,,92-80,,Offensive rebound by Team
0:50.0,,,92-80,,D. Collison misses 2-pt shot from 10 ft (block by S. Livingston)
0:49.0,Defensive rebound by Team,,92-80,,
0:30.0,F. Ezeli makes 2-pt shot from 9 ft (assist by S. Curry),2,94-80,,
0:14.0,,,94-82,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
0:04.0,Shooting foul by W. Cauley-Stein (drawn by S. Curry),,94-82,,
0:04.0,S. Curry makes free throw 1 of 2,1,95-82,,
0:04.0,D. Green enters the game for F. Ezeli,,95-82,,
0:04.0,S. Curry makes free throw 2 of 2,1,96-82,,
0:00.0,Flagrant foul type 1 by D. Green (drawn by W. Cauley-Stein),,96-82,,
0:00.0,,,96-83,1,W. Cauley-Stein makes flagrant free throw 1 of 2
0:00.0,,,96-84,1,W. Cauley-Stein makes flagrant free throw 2 of 2
0:00.0,F. Ezeli enters the game for S. Curry,,96-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,96-86,2,D. Cousins makes 2-pt shot from 3 ft
