time,Chicago,pts.away,score,pts.home,Sacramento
3:08.0,Offensive rebound by D. Rose,,99-90,,
3:06.0,Turnover by D. Rose (bad pass; steal by R. Rondo),,99-90,,
3:03.0,,,99-92,2,R. Rondo makes 2-pt shot at rim
2:38.0,D. Rose makes 2-pt shot from 9 ft,2,101-92,,
2:25.0,,,101-94,2,M. Belinelli makes 2-pt shot from 4 ft (assist by R. Rondo)
2:11.0,Turnover by D. Rose (bad pass; steal by D. Cousins),,101-94,,
2:07.0,,,101-96,2,D. Collison makes 2-pt shot from 2 ft (assist by R. Rondo)
1:45.0,T. Gibson makes 2-pt shot from 2 ft (assist by E. Moore),2,103-96,,
1:35.0,,,103-98,2,D. Cousins makes 2-pt shot at rim
1:32.0,,,103-98,,Personal foul by R. Rondo (drawn by D. Rose)
1:32.0,Official timeout,,103-98,,
1:32.0,D. Rose makes free throw 1 of 2,1,104-98,,
1:32.0,D. Rose makes free throw 2 of 2,1,105-98,,
1:23.0,,,105-101,3,M. Belinelli makes 3-pt shot from 23 ft (assist by R. Rondo)
1:23.0,,,105-101,,Shooting foul by E. Moore (drawn by M. Belinelli)
1:23.0,,,105-101,,M. Belinelli misses free throw 1 of 1
1:22.0,,,105-101,,Offensive rebound by Team
1:09.0,,,105-101,,D. Cousins misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by Team,,105-101,,
0:51.0,Turnover by D. Rose (lost ball; steal by R. Rondo),,105-101,,
0:46.0,,,105-101,,D. Collison misses 2-pt shot from 2 ft
0:45.0,,,105-101,,Offensive rebound by D. Cousins
0:45.0,,,105-101,,Shooting foul by T. Gibson (drawn by D. Cousins)
0:45.0,,,105-102,1,D. Cousins makes free throw 1 of 2
0:45.0,,,105-102,,D. Cousins misses free throw 2 of 2
0:45.0,Defensive rebound by P. Gasol,,105-102,,
0:28.0,E. Moore misses 2-pt shot from 5 ft (block by D. Cousins),,105-102,,
0:28.0,Offensive rebound by Team,,105-102,,
0:28.0,Chicago full timeout,,105-102,,
0:26.0,P. Gasol misses 2-pt shot from 17 ft,,105-102,,
0:25.0,,,105-102,,Defensive rebound by M. Belinelli
0:18.0,,,105-102,,Sacramento full timeout
0:18.0,T. Snell enters the game for P. Gasol,,105-102,,
0:15.0,,,105-102,,D. Cousins misses 2-pt shot from 6 ft
0:14.0,,,105-102,,Offensive rebound by D. Cousins
0:11.0,,,105-102,,D. Cousins misses 2-pt shot from 2 ft
0:11.0,Defensive rebound by E. Moore,,105-102,,
0:10.0,,,105-102,,Personal foul by M. Belinelli (drawn by E. Moore)
0:10.0,E. Moore misses free throw 1 of 2,,105-102,,
0:10.0,Offensive rebound by Team,,105-102,,
0:10.0,E. Moore misses free throw 2 of 2,,105-102,,
0:10.0,,,105-102,,Defensive rebound by D. Collison
0:09.0,,,105-102,,Sacramento full timeout
0:08.0,Personal foul by E. Moore (drawn by D. Cousins),,105-102,,
0:08.0,,,105-102,,D. Cousins misses free throw 1 of 2
0:08.0,,,105-102,,Offensive rebound by Team
0:08.0,P. Gasol enters the game for T. Snell,,105-102,,
0:08.0,,,105-102,,W. Cauley-Stein enters the game for R. Rondo
0:08.0,,,105-102,,K. Koufos enters the game for D. Collison
0:08.0,B. Portis enters the game for K. Hinrich,,105-102,,
0:08.0,,,105-102,,Turnover by D. Cousins (lane violation.)
0:08.0,K. Hinrich enters the game for T. Gibson,,105-102,,
0:08.0,D. McDermott enters the game for B. Portis,,105-102,,
0:08.0,,,105-102,,O. Casspi enters the game for D. Cousins
0:08.0,,,105-102,,D. Collison enters the game for M. Belinelli
0:08.0,,,105-102,,R. Rondo enters the game for K. Koufos
0:04.0,,,105-102,,Personal foul by R. Gay (drawn by P. Gasol)
0:04.0,,,105-102,,D. Cousins enters the game for R. Gay
0:04.0,P. Gasol makes free throw 1 of 2,1,106-102,,
0:04.0,T. Snell enters the game for D. McDermott,,106-102,,
0:04.0,P. Gasol makes free throw 2 of 2,1,107-102,,
0:04.0,,,107-102,,Sacramento full timeout
0:04.0,T. Gibson enters the game for P. Gasol,,107-102,,
0:04.0,,,107-102,,M. Belinelli enters the game for W. Cauley-Stein
0:01.0,,,107-102,,M. Belinelli misses 3-pt shot from 23 ft
0:01.0,Defensive rebound by K. Hinrich,,107-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
