time,Memphis,pts.away,score,pts.home,Detroit
0:51.0,,,89-92,,Detroit full timeout
0:51.0,,,89-92,,Detroit full timeout
0:41.0,,,89-92,,R. Jackson misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by M. Barnes,,89-92,,
0:29.0,Shooting foul by E. Ilyasova (drawn by M. Gasol),,89-92,,
0:29.0,M. Gasol misses free throw 1 of 2,,89-92,,
0:29.0,Offensive rebound by Team,,89-92,,
0:29.0,M. Gasol makes free throw 2 of 2,1,90-92,,
0:09.0,,,90-92,,M. Morris misses 2-pt shot from 15 ft
0:08.0,,,90-92,,Offensive rebound by E. Ilyasova
0:08.0,,,90-92,,E. Ilyasova misses 2-pt shot at rim
0:07.0,,,90-92,,Offensive rebound by A. Drummond
0:07.0,,,90-92,,A. Drummond misses 2-pt shot at rim
0:06.0,Defensive rebound by M. Barnes,,90-92,,
0:01.0,M. Barnes makes 3-pt shot from 30 ft,3,93-92,,
0:01.0,,,93-92,,Detroit full timeout
0:01.0,,,93-92,,S. Blake enters the game for E. Ilyasova
0:01.0,,,93-92,,M. Morris misses 3-pt shot from 24 ft
0:00.0,,,93-92,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
