time,Oklahoma City,pts.away,score,pts.home,Minnesota
6:21.0,Shooting foul by Z. LaVine (drawn by K. Durant),,42-46,,
6:21.0,K. Durant misses free throw 1 of 2,,42-46,,
6:21.0,Offensive rebound by Team,,42-46,,
6:21.0,,,42-46,,R. Rubio enters the game for Z. LaVine
6:21.0,K. Durant makes free throw 2 of 2,1,43-46,,
6:11.0,,,43-48,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
5:56.0,D. Waiters misses 3-pt shot from 24 ft,,43-48,,
5:54.0,,,43-48,,Defensive rebound by R. Rubio
5:50.0,Personal foul by D. Waiters (drawn by A. Wiggins),,43-48,,
5:50.0,,,43-48,,Z. LaVine enters the game for S. Muhammad
5:43.0,,,43-50,2,Z. LaVine makes 2-pt shot from 18 ft (assist by R. Rubio)
5:25.0,R. Westbrook misses 2-pt shot from 2 ft,,43-50,,
5:24.0,Offensive rebound by E. Kanter,,43-50,,
5:24.0,E. Kanter makes 2-pt shot from 1 ft,2,45-50,,
5:16.0,,,45-52,2,N. Bjelica makes 2-pt shot from 3 ft (assist by R. Rubio)
5:16.0,,,45-52,,Shooting foul by E. Kanter (drawn by N. Bjelica)
5:16.0,,,45-53,1,N. Bjelica makes free throw 1 of 1
5:05.0,,,45-53,,Violation by K. Towns (def goaltending)
5:05.0,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook),2,47-53,,
5:00.0,,,47-53,,Minnesota full timeout
4:54.0,,,47-55,2,A. Wiggins makes 2-pt shot at rim (assist by K. Towns)
4:34.0,R. Westbrook misses 3-pt shot from 23 ft,,47-55,,
4:33.0,Offensive rebound by R. Westbrook,,47-55,,
4:31.0,R. Westbrook makes 2-pt shot from 1 ft,2,49-55,,
4:15.0,,,49-57,2,K. Towns makes 2-pt shot from 5 ft (assist by A. Wiggins)
4:01.0,,,49-57,,Personal foul by K. Towns (drawn by E. Kanter)
4:01.0,N. Collison enters the game for E. Kanter,,49-57,,
3:58.0,K. Durant makes 2-pt shot at rim (assist by N. Collison),2,51-57,,
3:46.0,Personal foul by K. Singler (drawn by A. Wiggins),,51-57,,
3:46.0,,,51-58,1,A. Wiggins makes free throw 1 of 2
3:46.0,,,51-58,,A. Wiggins misses free throw 2 of 2
3:45.0,Defensive rebound by Team,,51-58,,
3:37.0,K. Durant misses 3-pt shot from 24 ft,,51-58,,
3:36.0,,,51-58,,Defensive rebound by Z. LaVine
3:22.0,,,51-58,,Turnover by K. Towns (bad pass)
3:11.0,K. Durant makes 2-pt shot from 16 ft (assist by R. Westbrook),2,53-58,,
2:56.0,,,53-58,,Turnover by N. Bjelica (3 sec)
2:56.0,,,53-58,,Technical foul by K. Towns
2:56.0,K. Durant makes technical free throw,1,54-58,,
2:45.0,,,54-58,,Def 3 sec tech foul by N. Bjelica
2:45.0,K. Durant makes technical free throw,1,55-58,,
2:33.0,K. Durant makes 2-pt shot from 17 ft,2,57-58,,
2:16.0,,,57-60,2,N. Bjelica makes 2-pt shot from 1 ft (assist by K. Towns)
2:02.0,D. Waiters misses 3-pt shot from 25 ft,,57-60,,
2:01.0,Offensive rebound by R. Westbrook,,57-60,,
1:53.0,R. Westbrook misses 2-pt shot from 18 ft,,57-60,,
1:51.0,Offensive rebound by N. Collison,,57-60,,
1:50.0,N. Collison makes 2-pt shot at rim,2,59-60,,
1:31.0,,,59-60,,K. Towns misses 2-pt shot from 1 ft
1:29.0,Defensive rebound by K. Singler,,59-60,,
1:23.0,R. Westbrook makes 3-pt shot from 25 ft (assist by D. Waiters),3,62-60,,
1:06.0,,,62-60,,Z. LaVine misses 3-pt shot from 23 ft
1:03.0,Defensive rebound by K. Singler,,62-60,,
0:56.0,K. Durant misses 2-pt shot from 18 ft,,62-60,,
0:55.0,,,62-60,,Defensive rebound by K. Towns
0:51.0,,,62-62,2,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio)
