time,Portland,pts.away,score,pts.home,Toronto
6:17.0,,,94-97,,Defensive rebound by J. Valanciunas
6:03.0,Personal foul by M. Harkless (drawn by J. Valanciunas),,94-97,,
6:00.0,Personal foul by G. Henderson (drawn by K. Lowry),,94-97,,
5:50.0,,,94-99,2,D. DeRozan makes 2-pt shot at rim
5:30.0,D. Lillard makes 3-pt shot from 27 ft,3,97-99,,
5:06.0,,,97-99,,P. Patterson misses 3-pt shot from 24 ft
5:05.0,,,97-99,,Offensive rebound by J. Valanciunas
5:01.0,,,97-102,3,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas)
4:41.0,Shooting foul by J. Valanciunas (drawn by D. Lillard),,97-102,,
4:41.0,D. Lillard misses free throw 1 of 2,,97-102,,
4:41.0,Offensive rebound by Team,,97-102,,
4:41.0,D. Lillard makes free throw 2 of 2,1,98-102,,
4:27.0,,,98-102,,K. Lowry misses 2-pt shot from 4 ft (block by M. Plumlee)
4:25.0,,,98-102,,Offensive rebound by K. Lowry
4:22.0,,,98-102,,K. Lowry misses 2-pt shot at rim
4:20.0,,,98-102,,Offensive rebound by J. Valanciunas
4:20.0,,,98-104,2,J. Valanciunas makes 2-pt shot from 1 ft
4:12.0,D. Lillard makes 2-pt shot from 21 ft,2,100-104,,
3:50.0,,,100-104,,D. DeRozan misses 2-pt shot from 16 ft
3:50.0,Defensive rebound by G. Henderson,,100-104,,
3:41.0,D. Lillard misses 2-pt shot from 12 ft,,100-104,,
3:41.0,Offensive rebound by M. Harkless,,100-104,,
3:36.0,G. Henderson misses 2-pt shot from 17 ft,,100-104,,
3:35.0,,,100-104,,Defensive rebound by K. Lowry
3:31.0,,,100-104,,Shooting foul by C. McCollum (drawn by K. Lowry)
3:31.0,,,100-104,,K. Lowry misses free throw 1 of 2
3:31.0,,,100-104,,Offensive rebound by Team
3:31.0,,,100-105,1,K. Lowry makes free throw 2 of 2
3:18.0,D. Lillard makes 2-pt shot from 18 ft,2,102-105,,
3:18.0,Shooting foul by C. Joseph (drawn by D. Lillard),,102-105,,
3:18.0,D. Lillard makes free throw 1 of 1,1,103-105,,
3:06.0,,,103-105,,Shooting foul by M. Plumlee (drawn by K. Lowry)
3:06.0,,,103-105,,K. Lowry misses free throw 1 of 2
3:06.0,,,103-105,,Offensive rebound by Team
3:06.0,,,103-106,1,K. Lowry makes free throw 2 of 2
2:50.0,D. Lillard misses 2-pt shot from 11 ft,,103-106,,
2:50.0,,,103-106,,Defensive rebound by J. Valanciunas
2:31.0,,,103-108,2,D. DeRozan makes 2-pt shot from 6 ft
2:31.0,Portland full timeout,,103-108,,
2:08.0,G. Henderson makes 2-pt shot from 15 ft,2,105-108,,
1:47.0,,,105-111,3,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan)
1:30.0,C. McCollum misses 2-pt shot from 14 ft,,105-111,,
1:28.0,,,105-111,,Defensive rebound by Team
1:28.0,E. Davis enters the game for M. Plumlee,,105-111,,
1:10.0,,,105-111,,D. DeRozan misses 2-pt shot from 15 ft
1:09.0,Defensive rebound by D. Lillard,,105-111,,
0:59.0,D. Lillard misses 3-pt shot from 27 ft,,105-111,,
0:58.0,,,105-111,,Defensive rebound by P. Patterson
0:55.0,,,105-111,,Turnover by P. Patterson (lost ball; steal by G. Henderson)
0:47.0,D. Lillard makes 2-pt shot from 1 ft,2,107-111,,
0:28.0,,,107-113,2,K. Lowry makes 2-pt shot from 4 ft
0:27.0,Portland full timeout,,107-113,,
0:27.0,M. Leonard enters the game for E. Davis,,107-113,,
0:27.0,A. Crabbe enters the game for M. Harkless,,107-113,,
0:24.0,D. Lillard misses 3-pt shot from 28 ft,,107-113,,
0:23.0,Offensive rebound by D. Lillard,,107-113,,
0:20.0,D. Lillard makes 3-pt shot from 25 ft,3,110-113,,
0:19.0,Personal block foul by G. Henderson (drawn by K. Lowry),,110-113,,
0:19.0,,,110-113,,K. Lowry misses free throw 1 of 2
0:19.0,,,110-113,,Offensive rebound by Team
0:19.0,E. Davis enters the game for A. Crabbe,,110-113,,
0:19.0,M. Plumlee enters the game for M. Leonard,,110-113,,
0:19.0,,,110-114,1,K. Lowry makes free throw 2 of 2
0:19.0,Portland full timeout,,110-114,,
0:19.0,,,110-114,,B. Biyombo enters the game for J. Valanciunas
0:19.0,A. Crabbe enters the game for M. Plumlee,,110-114,,
0:19.0,M. Leonard enters the game for E. Davis,,110-114,,
0:14.0,D. Lillard misses 2-pt shot from 6 ft,,110-114,,
0:14.0,Offensive rebound by M. Leonard,,110-114,,
0:09.0,D. Lillard misses 3-pt shot from 24 ft,,110-114,,
0:09.0,Offensive rebound by A. Crabbe,,110-114,,
0:08.0,A. Crabbe makes 2-pt shot from 1 ft,2,112-114,,
0:08.0,,,112-114,,Toronto full timeout
0:08.0,,,112-114,,J. Valanciunas enters the game for B. Biyombo
0:08.0,,,112-114,,L. Scola enters the game for P. Patterson
0:08.0,E. Davis enters the game for M. Leonard,,112-114,,
0:07.0,Personal foul by E. Davis (drawn by D. DeRozan),,112-114,,
0:07.0,,,112-115,1,D. DeRozan makes free throw 1 of 2
0:07.0,M. Plumlee enters the game for A. Crabbe,,112-115,,
0:07.0,,,112-115,,B. Biyombo enters the game for J. Valanciunas
0:07.0,,,112-115,,P. Patterson enters the game for L. Scola
0:07.0,,,112-116,1,D. DeRozan makes free throw 2 of 2
0:07.0,Portland full timeout,,112-116,,
0:07.0,A. Crabbe enters the game for M. Plumlee,,112-116,,
0:07.0,M. Leonard enters the game for E. Davis,,112-116,,
0:02.0,D. Lillard makes 3-pt shot from 25 ft (assist by C. McCollum),3,115-116,,
0:02.0,,,115-116,,Toronto full timeout
0:02.0,,,115-116,,L. Scola enters the game for B. Biyombo
0:02.0,,,115-116,,J. Valanciunas enters the game for P. Patterson
0:01.0,Personal foul by G. Henderson (drawn by D. DeRozan),,115-116,,
0:01.0,,,115-117,1,D. DeRozan makes free throw 1 of 2
0:01.0,,,115-117,,D. DeRozan misses free throw 2 of 2
0:01.0,Defensive rebound by M. Leonard,,115-117,,
0:00.0,M. Leonard misses 3-pt shot from 80 ft,,115-117,,
0:00.0,Offensive rebound by Team,,115-117,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
