time,New Orleans,pts.away,score,pts.home,Washington
6:24.0,,,75-94,,J. Wall misses 3-pt shot from 24 ft
6:23.0,Defensive rebound by A. Davis,,75-94,,
6:13.0,J. Holiday misses 2-pt shot from 1 ft,,75-94,,
6:12.0,,,75-94,,Defensive rebound by J. Wall
6:05.0,Personal foul by J. Holiday (drawn by J. Wall),,75-94,,
5:56.0,,,75-94,,Turnover by J. Wall (lost ball)
5:56.0,,,75-94,,Washington full timeout
5:43.0,A. Davis misses 2-pt shot from 5 ft,,75-94,,
5:42.0,,,75-94,,Defensive rebound by M. Gortat
5:36.0,,,75-94,,G. Temple misses 2-pt shot from 18 ft
5:34.0,Defensive rebound by T. Douglas,,75-94,,
5:24.0,D. Cunningham misses 2-pt shot from 19 ft,,75-94,,
5:23.0,Offensive rebound by K. Perkins,,75-94,,
5:16.0,J. Holiday misses 3-pt shot from 26 ft,,75-94,,
5:15.0,Offensive rebound by D. Cunningham,,75-94,,
5:14.0,D. Cunningham makes 2-pt shot from 1 ft,2,77-94,,
4:55.0,,,77-96,2,M. Gortat makes 2-pt shot from 3 ft (assist by R. Sessions)
4:43.0,T. Douglas misses 2-pt shot from 15 ft,,77-96,,
4:42.0,,,77-96,,Defensive rebound by R. Sessions
4:22.0,,,77-96,,M. Gortat misses 2-pt shot from 12 ft
4:21.0,Defensive rebound by K. Perkins,,77-96,,
4:09.0,J. Holiday makes 2-pt shot from 13 ft,2,79-96,,
4:09.0,Shooting foul by M. Gortat (drawn by J. Holiday),,79-96,,
4:09.0,J. Holiday makes free throw 1 of 1,1,80-96,,
4:00.0,Personal foul by T. Douglas (drawn by R. Sessions),,80-96,,
4:00.0,,,80-96,,J. Dudley enters the game for M. Morris
3:50.0,,,80-98,2,J. Wall makes 2-pt shot from 15 ft
3:39.0,T. Douglas misses 2-pt shot from 8 ft (block by J. Wall),,80-98,,
3:37.0,,,80-98,,Defensive rebound by J. Wall
3:30.0,,,80-98,,J. Dudley misses 3-pt shot from 27 ft
3:29.0,Defensive rebound by A. Davis,,80-98,,
3:21.0,J. Holiday misses 2-pt shot at rim (block by M. Gortat),,80-98,,
3:19.0,,,80-98,,Defensive rebound by G. Temple
3:12.0,,,80-101,3,J. Wall makes 3-pt shot from 29 ft (assist by J. Dudley)
3:05.0,,,80-101,,Personal take foul by J. Wall (drawn by J. Holiday)
3:05.0,J. Holiday makes free throw 1 of 2,1,81-101,,
3:05.0,,,81-101,,K. Oubre enters the game for J. Wall
3:05.0,A. Ajinca enters the game for A. Davis,,81-101,,
3:05.0,L. Babbitt enters the game for K. Perkins,,81-101,,
3:05.0,A. Gee enters the game for D. Cunningham,,81-101,,
3:05.0,J. Holiday makes free throw 2 of 2,1,82-101,,
2:50.0,,,82-103,2,K. Oubre makes 2-pt shot from 1 ft (assist by J. Dudley)
2:32.0,J. Holiday misses 2-pt shot from 8 ft,,82-103,,
2:31.0,,,82-103,,Defensive rebound by M. Gortat
2:23.0,Personal foul by A. Gee (drawn by G. Temple),,82-103,,
2:23.0,New Orleans full timeout,,82-103,,
2:23.0,,,82-103,,D. Gooden enters the game for J. Dudley
2:23.0,,,82-103,,M. Morris enters the game for M. Gortat
2:23.0,B. Dejean-Jones enters the game for J. Holiday,,82-103,,
2:23.0,,,82-104,1,G. Temple makes free throw 1 of 2
2:23.0,,,82-105,1,G. Temple makes free throw 2 of 2
2:14.0,,,82-105,,Personal foul by D. Gooden (drawn by A. Ajinca)
2:14.0,A. Ajinca makes free throw 1 of 2,1,83-105,,
2:14.0,,,83-105,,J. Eddie enters the game for G. Temple
2:14.0,A. Ajinca makes free throw 2 of 2,1,84-105,,
2:00.0,,,84-107,2,K. Oubre makes 2-pt shot from 1 ft
1:46.0,L. Babbitt makes 3-pt shot from 27 ft (assist by A. Ajinca),3,87-107,,
1:27.0,,,87-109,2,K. Oubre makes 2-pt shot from 3 ft
1:10.0,,,87-109,,Personal foul by J. Eddie (drawn by A. Gee)
1:10.0,A. Gee makes free throw 1 of 2,1,88-109,,
1:10.0,A. Gee misses free throw 2 of 2,,88-109,,
1:09.0,,,88-109,,Defensive rebound by D. Gooden
0:56.0,,,88-109,,Turnover by K. Oubre (bad pass; steal by T. Douglas)
0:53.0,,,88-109,,Personal foul by M. Morris (drawn by T. Douglas)
0:53.0,T. Douglas makes free throw 1 of 2,1,89-109,,
0:53.0,T. Douglas misses free throw 2 of 2,,89-109,,
0:51.0,,,89-109,,Defensive rebound by D. Gooden
0:36.0,,,89-109,,J. Eddie misses 2-pt shot from 20 ft
0:35.0,Defensive rebound by L. Babbitt,,89-109,,
0:30.0,A. Gee misses 2-pt shot from 1 ft (block by M. Morris),,89-109,,
0:26.0,,,89-109,,Defensive rebound by M. Morris
0:17.0,,,89-109,,D. Gooden misses 3-pt shot from 26 ft
0:15.0,Defensive rebound by A. Ajinca,,89-109,,
0:04.0,Turnover by A. Ajinca (offensive goaltending),,89-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
