time,Cleveland,pts.away,score,pts.home,Houston
11:09.0,M. Dellavedova misses 2-pt shot from 7 ft (block by D. Howard),,68-53,,
11:08.0,Offensive rebound by M. Dellavedova,,68-53,,
11:06.0,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova),2,70-53,,
10:54.0,,,70-53,,Turnover by P. Beverley (bad pass)
10:42.0,K. Irving makes 2-pt shot from 19 ft,2,72-53,,
10:30.0,,,72-55,2,J. Terry makes 2-pt shot from 7 ft
10:17.0,K. Irving makes 2-pt shot from 9 ft,2,74-55,,
10:04.0,Personal foul by K. Irving (drawn by C. Brewer),,74-55,,
9:51.0,,,74-55,,C. Brewer misses 2-pt shot from 21 ft
9:50.0,Defensive rebound by K. Irving,,74-55,,
9:48.0,,,74-55,,Personal foul by J. Harden (drawn by K. Irving)
9:34.0,Shooting foul by J. Harden (drawn by T. Thompson),,74-55,,
9:34.0,T. Thompson makes free throw 1 of 2,1,75-55,,
9:34.0,T. Thompson makes free throw 2 of 2,1,76-55,,
9:25.0,Personal foul by T. Thompson (drawn by D. Howard),,76-55,,
9:17.0,,,76-55,,J. Terry misses 2-pt shot from 4 ft
9:16.0,Defensive rebound by M. Dellavedova,,76-55,,
9:12.0,,,76-55,,Personal foul by J. Harden (drawn by R. Jefferson)
9:12.0,,,76-55,,Houston full timeout
9:12.0,,,76-55,,T. Jones enters the game for D. Howard
9:12.0,,,76-55,,M. Harrell enters the game for C. Brewer
9:00.0,K. Irving misses 2-pt shot from 2 ft,,76-55,,
8:59.0,,,76-55,,Defensive rebound by T. Jones
8:53.0,,,76-58,3,P. Beverley makes 3-pt shot from 25 ft (assist by J. Harden)
8:33.0,M. Dellavedova misses 3-pt shot from 25 ft,,76-58,,
8:33.0,,,76-58,,Defensive rebound by Team
8:21.0,,,76-58,,Shooting foul by T. Thompson (drawn by T. Jones)
8:21.0,,,76-58,,T. Jones misses free throw 1 of 2
8:21.0,,,76-58,,Offensive rebound by Team
8:21.0,L. James enters the game for M. Dellavedova,,76-58,,
8:21.0,,,76-58,,T. Ariza enters the game for J. Terry
8:21.0,,,76-59,1,T. Jones makes free throw 2 of 2
8:06.0,R. Jefferson misses 3-pt shot from 24 ft,,76-59,,
8:05.0,,,76-59,,Defensive rebound by J. Harden
7:59.0,,,76-61,2,J. Harden makes 2-pt shot at rim
7:59.0,Cleveland full timeout,,76-61,,
7:59.0,K. Love enters the game for R. Jefferson,,76-61,,
7:44.0,,,76-61,,Personal foul by J. Harden (drawn by T. Thompson)
7:30.0,K. Irving misses 2-pt shot from 20 ft,,76-61,,
7:29.0,,,76-61,,Defensive rebound by J. Harden
7:16.0,,,76-61,,T. Ariza misses 2-pt shot from 11 ft
7:15.0,Defensive rebound by K. Love,,76-61,,
7:01.0,K. Irving makes 2-pt shot from 8 ft,2,78-61,,
6:47.0,,,78-61,,T. Jones misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by L. James,,78-61,,
