time,Charlotte,pts.away,score,pts.home,Minnesota
2:11.0,,,101-91,,Defensive rebound by T. Prince
1:59.0,,,101-91,,K. Martin misses 2-pt shot from 21 ft
1:57.0,Defensive rebound by Team,,101-91,,
1:57.0,,,101-91,,T. Jones enters the game for T. Prince
1:36.0,N. Batum makes 2-pt shot from 1 ft,2,103-91,,
1:31.0,,,103-93,2,Z. LaVine makes 2-pt shot from 1 ft
1:08.0,C. Zeller misses 2-pt shot from 1 ft (block by K. Towns),,103-93,,
1:07.0,,,103-93,,Defensive rebound by K. Martin
1:04.0,,,103-93,,Turnover by K. Martin (bad pass; steal by C. Zeller)
0:52.0,Shooting foul by Z. LaVine (drawn by C. Zeller),,103-93,,
0:52.0,C. Zeller misses free throw 1 of 2,,103-93,,
0:52.0,Offensive rebound by Team,,103-93,,
0:52.0,,,103-93,,D. Rudez enters the game for Z. LaVine
0:52.0,,,103-93,,A. Payne enters the game for K. Towns
0:52.0,C. Zeller makes free throw 2 of 2,1,104-93,,
0:33.0,,,104-93,,K. Martin misses 2-pt shot from 20 ft
0:32.0,Defensive rebound by N. Batum,,104-93,,
0:17.0,Turnover by N. Batum (bad pass; steal by T. Jones),,104-93,,
0:12.0,Violation by N. Batum (def goaltending),,104-93,,
0:12.0,,,104-95,2,N. Bjelica makes 2-pt shot from 1 ft (assist by T. Jones)
0:00.0,End of 4th quarter,,,,End of 4th quarter
