time,Sacramento,pts.away,score,pts.home,Miami
4:21.0,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Rondo),3,94-102,,
3:59.0,,,94-105,3,C. Bosh makes 3-pt shot from 24 ft (assist by G. Green)
3:40.0,Shooting foul by G. Green (drawn by M. Belinelli),,94-105,,
3:40.0,M. Belinelli makes free throw 1 of 3,1,95-105,,
3:40.0,M. Belinelli makes free throw 2 of 3,1,96-105,,
3:40.0,K. Koufos enters the game for W. Cauley-Stein,,96-105,,
3:40.0,,,96-105,,L. Deng enters the game for G. Green
3:40.0,M. Belinelli makes free throw 3 of 3,1,97-105,,
3:26.0,,,97-107,2,C. Bosh makes 2-pt shot from 1 ft (assist by D. Wade)
3:26.0,,,97-107,,Shooting foul by O. Casspi (drawn by C. Bosh)
3:26.0,,,97-108,1,C. Bosh makes free throw 1 of 1
3:18.0,R. Rondo misses 2-pt shot from 7 ft,,97-108,,
3:17.0,,,97-108,,Defensive rebound by T. Johnson
3:04.0,,,97-108,,D. Wade misses 2-pt shot from 1 ft
3:03.0,Defensive rebound by R. Rondo,,97-108,,
2:57.0,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Rondo),3,100-108,,
2:56.0,,,100-108,,Miami full timeout
2:56.0,W. Cauley-Stein enters the game for K. Koufos,,100-108,,
2:56.0,,,100-108,,G. Dragic enters the game for J. McRoberts
2:35.0,,,100-108,,D. Wade misses 2-pt shot from 19 ft
2:34.0,Defensive rebound by O. Casspi,,100-108,,
2:16.0,M. Belinelli misses 3-pt shot from 24 ft,,100-108,,
2:15.0,,,100-108,,Defensive rebound by D. Wade
2:04.0,,,100-108,,Shooting foul by W. Cauley-Stein (drawn by D. Wade)
2:04.0,K. Koufos enters the game for W. Cauley-Stein,,100-108,,
2:04.0,,,100-108,,D. Wade misses free throw 1 of 2
2:04.0,,,100-108,,Offensive rebound by Team
2:04.0,,,100-109,1,D. Wade makes free throw 2 of 2
1:54.0,R. Rondo misses 2-pt shot from 13 ft,,100-109,,
1:53.0,Offensive rebound by K. Koufos,,100-109,,
1:52.0,K. Koufos makes 2-pt shot from 4 ft,2,102-109,,
1:29.0,,,102-109,,T. Johnson misses 3-pt shot from 24 ft
1:28.0,Defensive rebound by K. Koufos,,102-109,,
1:20.0,R. Rondo makes 2-pt shot from 2 ft,2,104-109,,
1:20.0,,,104-109,,Miami full timeout
1:07.0,Personal foul by M. Belinelli (drawn by L. Deng),,104-109,,
1:07.0,,,104-110,1,L. Deng makes free throw 1 of 2
1:07.0,,,104-111,1,L. Deng makes free throw 2 of 2
0:59.0,M. Belinelli misses 3-pt shot from 25 ft,,104-111,,
0:58.0,,,104-111,,Defensive rebound by L. Deng
0:53.0,Personal foul by R. Rondo (drawn by L. Deng),,104-111,,
0:53.0,,,104-111,,L. Deng misses free throw 1 of 2
0:53.0,,,104-111,,Offensive rebound by Team
0:53.0,,,104-112,1,L. Deng makes free throw 2 of 2
0:43.0,O. Casspi makes 2-pt shot from 6 ft,2,106-112,,
0:17.0,,,106-112,,D. Wade misses 3-pt shot from 25 ft
0:16.0,,,106-112,,Offensive rebound by L. Deng
0:13.0,Personal foul by O. Casspi (drawn by L. Deng),,106-112,,
0:13.0,,,106-113,1,L. Deng makes free throw 1 of 2
0:13.0,,,106-114,1,L. Deng makes free throw 2 of 2
0:08.0,R. Rondo makes 3-pt shot from 24 ft,3,109-114,,
0:07.0,Personal foul by R. Rondo (drawn by D. Wade),,109-114,,
0:07.0,,,109-115,1,D. Wade makes free throw 1 of 2
0:07.0,,,109-116,1,D. Wade makes free throw 2 of 2
0:05.0,R. Rondo misses 3-pt shot from 25 ft,,109-116,,
0:04.0,Offensive rebound by K. Koufos,,109-116,,
0:02.0,K. Koufos misses 2-pt shot from 7 ft,,109-116,,
0:01.0,,,109-116,,Defensive rebound by C. Bosh
0:00.0,End of 4th quarter,,,,End of 4th quarter
