time,Memphis,pts.away,score,pts.home,Utah
1:34.0,C. Lee enters the game for J. Green,,79-85,,
1:34.0,,,79-85,,G. Hayward misses free throw 2 of 2
1:33.0,Defensive rebound by Z. Randolph,,79-85,,
1:15.0,C. Lee misses 2-pt shot from 18 ft,,79-85,,
1:13.0,,,79-85,,Defensive rebound by R. Gobert
0:57.0,,,79-85,,Offensive charge foul by A. Burks
0:57.0,,,79-85,,Turnover by A. Burks (offensive foul)
0:57.0,Memphis full timeout,,79-85,,
0:49.0,M. Gasol misses 2-pt shot from 4 ft,,79-85,,
0:48.0,Offensive rebound by M. Gasol,,79-85,,
0:43.0,M. Conley misses 2-pt shot from 19 ft,,79-85,,
0:42.0,,,79-85,,Defensive rebound by A. Burks
0:42.0,Personal foul by M. Gasol (drawn by A. Burks),,79-85,,
0:42.0,,,79-86,1,A. Burks makes free throw 1 of 2
0:42.0,,,79-87,1,A. Burks makes free throw 2 of 2
0:25.0,M. Conley misses 3-pt shot from 24 ft,,79-87,,
0:24.0,,,79-87,,Defensive rebound by D. Favors
0:22.0,,,79-87,,Turnover by D. Favors (lost ball)
0:16.0,M. Gasol misses 2-pt shot from 3 ft,,79-87,,
0:15.0,,,79-87,,Defensive rebound by D. Favors
0:06.0,Personal foul by C. Lee (drawn by A. Burks),,79-87,,
0:06.0,,,79-88,1,A. Burks makes free throw 1 of 2
0:06.0,,,79-89,1,A. Burks makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
