time,Oklahoma City,pts.away,score,pts.home,Boston
7:56.0,C. Payne misses 3-pt shot from 23 ft,,116-91,,
7:53.0,Offensive rebound by Team,,116-91,,
7:51.0,D. Waiters misses 2-pt shot from 18 ft,,116-91,,
7:50.0,,,116-91,,Defensive rebound by R. Hunter
7:43.0,,,116-91,,Shooting foul by K. Singler (drawn by T. Zeller)
7:43.0,,,116-92,1,T. Zeller makes free throw 1 of 2
7:43.0,,,116-93,1,T. Zeller makes free throw 2 of 2
7:24.0,D. Waiters misses 2-pt shot from 1 ft,,116-93,,
7:23.0,,,116-93,,Defensive rebound by J. Mickey
7:15.0,,,116-96,3,T. Rozier makes 3-pt shot from 25 ft (assist by J. Young)
7:14.0,Oklahoma City full timeout,,116-96,,
6:54.0,C. Payne misses 2-pt shot from 13 ft,,116-96,,
6:53.0,Offensive rebound by Team,,116-96,,
6:53.0,A. Morrow enters the game for D. Waiters,,116-96,,
6:38.0,,,116-96,,Personal foul by T. Zeller
6:31.0,K. Singler misses 3-pt shot from 24 ft,,116-96,,
6:30.0,Offensive rebound by Team,,116-96,,
6:29.0,Turnover by C. Payne (bad pass),,116-96,,
6:08.0,,,116-98,2,T. Zeller makes 2-pt shot from 2 ft (assist by R. Hunter)
5:50.0,E. Kanter misses 2-pt shot from 2 ft (block by J. Mickey),,116-98,,
5:49.0,Offensive rebound by E. Kanter,,116-98,,
5:48.0,E. Kanter makes 2-pt shot from 1 ft,2,118-98,,
5:39.0,,,118-100,2,T. Zeller makes 2-pt shot from 4 ft (assist by T. Rozier)
5:29.0,,,118-100,,Personal foul by T. Zeller
5:19.0,C. Payne makes 2-pt shot from 6 ft,2,120-100,,
5:06.0,,,120-100,,T. Rozier misses 2-pt shot from 2 ft
5:05.0,,,120-100,,Offensive rebound by J. Mickey
5:04.0,,,120-102,2,J. Mickey makes 2-pt shot at rim
4:48.0,Turnover by E. Kanter (lost ball; steal by R. Hunter),,120-102,,
4:42.0,,,120-102,,J. Young misses 3-pt shot from 24 ft
4:41.0,,,120-102,,Offensive rebound by T. Rozier
4:37.0,,,120-105,3,R. Hunter makes 3-pt shot from 25 ft (assist by T. Rozier)
4:13.0,K. Singler makes 2-pt shot from 3 ft,2,122-105,,
4:06.0,Personal foul by K. Singler,,122-105,,
4:06.0,,,122-106,1,T. Zeller makes free throw 1 of 2
4:06.0,N. Collison enters the game for K. Singler,,122-106,,
4:06.0,,,122-107,1,T. Zeller makes free throw 2 of 2
3:46.0,R. Foye makes 2-pt shot from 2 ft,2,124-107,,
3:40.0,,,124-107,,R. Hunter misses 3-pt shot from 25 ft
3:38.0,,,124-107,,Offensive rebound by T. Zeller
3:30.0,,,124-107,,T. Zeller misses 2-pt shot from 2 ft
3:29.0,Defensive rebound by N. Collison,,124-107,,
3:11.0,A. Morrow misses 3-pt shot from 26 ft (block by T. Zeller),,124-107,,
3:10.0,Offensive rebound by N. Collison,,124-107,,
3:08.0,E. Kanter misses 2-pt shot from 2 ft (block by T. Zeller),,124-107,,
3:07.0,Offensive rebound by N. Collison,,124-107,,
3:00.0,Offensive foul by E. Kanter,,124-107,,
3:00.0,Turnover by E. Kanter (offensive foul),,124-107,,
3:00.0,,,124-107,,K. Olynyk enters the game for T. Zeller
2:51.0,,,124-107,,K. Olynyk misses 2-pt shot from 9 ft
2:50.0,Defensive rebound by C. Payne,,124-107,,
2:28.0,A. Morrow makes 2-pt shot from 2 ft (assist by N. Collison),2,126-107,,
2:18.0,,,126-107,,Shooting foul by C. Payne (drawn by T. Rozier)
2:18.0,,,126-107,,Boston full timeout
2:18.0,,,126-108,1,T. Rozier makes free throw 1 of 2
2:18.0,,,126-109,1,T. Rozier makes free throw 2 of 2
2:01.0,Turnover by C. Payne (traveling),,126-109,,
2:01.0,N. Mohammed enters the game for E. Kanter,,126-109,,
1:49.0,,,126-109,,J. Young misses 3-pt shot from 23 ft
1:48.0,Defensive rebound by C. Payne,,126-109,,
1:32.0,N. Mohammed makes 2-pt shot from 1 ft (assist by N. Collison),2,128-109,,
1:19.0,,,128-109,,J. Mickey misses 2-pt shot from 3 ft
1:19.0,Defensive rebound by R. Foye,,128-109,,
1:07.0,A. Morrow makes 2-pt shot from 1 ft,2,130-109,,
0:49.0,,,130-109,,J. Young misses 3-pt shot from 23 ft
0:47.0,Defensive rebound by C. Payne,,130-109,,
0:27.0,C. Payne misses 2-pt shot from 18 ft,,130-109,,
0:26.0,,,130-109,,Defensive rebound by K. Olynyk
0:08.0,,,130-109,,T. Rozier misses 2-pt shot from 2 ft
0:07.0,Defensive rebound by N. Mohammed,,130-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
