time,Cleveland,pts.away,score,pts.home,San Antonio
0:10.0,,,93-99,1,L. Aldridge makes free throw 2 of 2
0:10.0,Cleveland full timeout,,93-99,,
0:10.0,,,93-99,,T. Duncan enters the game for L. Aldridge
0:06.0,K. Irving misses 3-pt shot from 24 ft (block by M. Ginobili),,93-99,,
0:06.0,Offensive rebound by Team,,93-99,,
0:04.0,J. Smith misses 3-pt shot from 27 ft,,93-99,,
0:03.0,Offensive rebound by T. Thompson,,93-99,,
0:00.0,T. Thompson misses 2-pt shot from 1 ft,,93-99,,
0:00.0,Offensive rebound by L. James,,93-99,,
0:00.0,L. James makes 2-pt shot from 1 ft,2,95-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
