time,Washington,pts.away,score,pts.home,Phoenix
4:10.0,,,96-90,2,D. Booker makes 2-pt shot from 8 ft
3:52.0,M. Morris misses 2-pt shot from 15 ft,,96-90,,
3:52.0,Offensive rebound by Team,,96-90,,
3:52.0,,,96-90,,Loose ball foul by T. Chandler
3:41.0,O. Porter misses 2-pt shot from 3 ft (block by T. Chandler),,96-90,,
3:39.0,Offensive rebound by O. Porter,,96-90,,
3:32.0,M. Gortat misses 2-pt shot from 8 ft,,96-90,,
3:27.0,,,96-90,,Defensive rebound by M. Teletovic
3:16.0,,,96-90,,M. Teletovic misses 2-pt shot from 21 ft
3:14.0,Defensive rebound by O. Porter,,96-90,,
3:10.0,Shooting foul by D. Booker (drawn by M. Gortat),,96-90,,
3:10.0,M. Gortat makes free throw 1 of 2,1,97-90,,
3:10.0,M. Gortat makes free throw 2 of 2,1,98-90,,
2:56.0,,,98-90,,D. Booker misses 2-pt shot from 7 ft
2:53.0,Defensive rebound by M. Gortat,,98-90,,
2:47.0,J. Wall misses 2-pt shot from 18 ft,,98-90,,
2:45.0,Offensive rebound by O. Porter,,98-90,,
2:34.0,,,98-90,,Violation by T. Chandler (kicked ball)
2:34.0,Washington full timeout,,98-90,,
2:34.0,B. Beal enters the game for R. Sessions,,98-90,,
2:24.0,J. Wall makes 2-pt shot from 17 ft,2,100-90,,
2:09.0,,,100-90,,D. Booker misses 2-pt shot from 7 ft
2:07.0,,,100-90,,Offensive rebound by M. Teletovic
2:04.0,,,100-92,2,M. Teletovic makes 2-pt shot from 3 ft
1:43.0,J. Wall misses 3-pt shot from 26 ft,,100-92,,
1:41.0,,,100-92,,Defensive rebound by M. Teletovic
1:32.0,,,100-92,,Turnover by D. Booker (back court)
1:13.0,J. Wall misses 3-pt shot from 24 ft,,100-92,,
1:11.0,Offensive rebound by M. Gortat,,100-92,,
0:54.0,Turnover by B. Beal (bad pass),,100-92,,
0:49.0,,,100-92,,R. Price misses 3-pt shot from 24 ft
0:47.0,,,100-92,,Offensive rebound by P. Tucker
0:42.0,,,100-92,,M. Teletovic misses 2-pt shot from 1 ft
0:40.0,Defensive rebound by M. Morris,,100-92,,
0:33.0,,,100-92,,Personal take foul by R. Price
0:29.0,,,100-92,,Personal take foul by R. Price
0:29.0,B. Beal makes free throw 1 of 2,1,101-92,,
0:29.0,B. Beal makes free throw 2 of 2,1,102-92,,
0:29.0,,,102-92,,Phoenix full timeout
0:25.0,,,102-92,,D. Booker misses 3-pt shot from 25 ft
0:23.0,,,102-92,,Offensive rebound by P. Tucker
0:23.0,,,102-94,2,P. Tucker makes 2-pt shot from 2 ft
0:21.0,,,102-94,,Personal take foul by M. Teletovic
0:21.0,B. Beal makes free throw 1 of 2,1,103-94,,
0:21.0,B. Beal makes free throw 2 of 2,1,104-94,,
0:21.0,,,104-94,,Phoenix full timeout
0:16.0,,,104-96,2,P. Tucker makes 2-pt shot from 1 ft (assist by M. Teletovic)
0:11.0,,,104-96,,Personal take foul by R. Price
0:11.0,O. Porter makes free throw 1 of 2,1,105-96,,
0:11.0,O. Porter makes free throw 2 of 2,1,106-96,,
0:11.0,,,106-96,,Phoenix full timeout
0:10.0,,,106-96,,M. Teletovic misses 3-pt shot from 22 ft (block by M. Gortat)
0:09.0,,,106-96,,Offensive rebound by Team
0:07.0,,,106-99,3,M. Teletovic makes 3-pt shot from 26 ft (assist by P. Tucker)
0:00.0,End of 4th quarter,,,,End of 4th quarter
