time,LA Clippers,pts.away,score,pts.home,Denver
4:42.0,,,40-38,,Turnover by D. Gallinari (bad pass; steal by C. Paul)
4:36.0,W. Johnson makes 2-pt shot from 1 ft (assist by C. Paul),2,42-38,,
4:24.0,,,42-38,,E. Mudiay misses 2-pt shot from 17 ft
4:23.0,Defensive rebound by J. Redick,,42-38,,
4:23.0,Shooting foul by G. Harris (drawn by J. Redick),,42-38,,
4:23.0,J. Redick makes free throw 1 of 2,1,43-38,,
4:23.0,J. Redick makes free throw 2 of 2,1,44-38,,
4:02.0,,,44-38,,D. Gallinari misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by B. Griffin,,44-38,,
3:39.0,B. Griffin misses 2-pt shot from 2 ft,,44-38,,
3:38.0,,,44-38,,Defensive rebound by D. Gallinari
3:23.0,,,44-38,,E. Mudiay misses 2-pt shot from 22 ft
3:23.0,Defensive rebound by W. Johnson,,44-38,,
3:14.0,C. Paul misses 2-pt shot from 16 ft,,44-38,,
3:14.0,,,44-38,,Defensive rebound by D. Gallinari
3:04.0,,,44-38,,D. Gallinari misses 2-pt shot from 14 ft
3:03.0,,,44-38,,Offensive rebound by D. Arthur
2:57.0,,,44-38,,G. Harris misses 3-pt shot from 25 ft
2:56.0,Defensive rebound by W. Johnson,,44-38,,
2:51.0,LA Clippers full timeout,,44-38,,
2:41.0,Shooting foul by E. Mudiay (drawn by B. Griffin),,44-38,,
2:41.0,B. Griffin misses free throw 1 of 2,,44-38,,
2:41.0,Offensive rebound by Team,,44-38,,
2:41.0,B. Griffin makes free throw 2 of 2,1,45-38,,
2:24.0,,,45-40,2,E. Mudiay makes 2-pt shot from 10 ft (assist by G. Harris)
2:13.0,C. Paul makes 2-pt shot from 14 ft,2,47-40,,
1:58.0,,,47-43,3,E. Mudiay makes 3-pt shot from 26 ft
1:48.0,J. Redick misses 2-pt shot from 21 ft,,47-43,,
1:48.0,,,47-43,,Defensive rebound by D. Gallinari
1:42.0,,,47-45,2,N. Jokic makes 2-pt shot from 1 ft (assist by E. Mudiay)
1:31.0,Offensive foul by B. Griffin,,47-45,,
1:31.0,Turnover by B. Griffin (offensive foul),,47-45,,
1:21.0,,,47-45,,Turnover by E. Mudiay (lost ball; steal by C. Paul)
1:08.0,W. Johnson misses 3-pt shot from 24 ft,,47-45,,
