time,Charlotte,pts.away,score,pts.home,Sacramento
4:45.0,,,100-96,,D. Collison enters the game for M. Belinelli
4:45.0,,,100-97,1,D. Cousins makes free throw 2 of 2
4:37.0,Shooting foul by D. Collison (drawn by K. Walker),,100-97,,
4:37.0,K. Walker makes free throw 1 of 2,1,101-97,,
4:37.0,K. Walker makes free throw 2 of 2,1,102-97,,
4:17.0,,,102-99,2,O. Casspi makes 2-pt shot at rim (assist by R. Rondo)
4:00.0,T. Daniels makes 3-pt shot from 26 ft (assist by K. Walker),3,105-99,,
3:39.0,,,105-99,,R. Gay misses 2-pt shot from 4 ft (block by M. Williams)
3:39.0,Defensive rebound by Team,,105-99,,
3:39.0,,,105-99,,W. Cauley-Stein enters the game for O. Casspi
3:28.0,K. Walker makes 2-pt shot from 18 ft,2,107-99,,
3:25.0,,,107-99,,Sacramento full timeout
3:18.0,Personal foul by M. Williams (drawn by D. Cousins),,107-99,,
3:11.0,,,107-99,,R. Gay misses 2-pt shot from 17 ft
3:07.0,,,107-99,,Offensive rebound by R. Rondo
3:07.0,,,107-101,2,R. Rondo makes 2-pt shot at rim
2:52.0,K. Walker misses 3-pt shot from 25 ft,,107-101,,
2:50.0,,,107-101,,Defensive rebound by D. Collison
2:33.0,,,107-101,,D. Collison misses 3-pt shot from 25 ft
2:30.0,,,107-101,,Offensive rebound by R. Rondo
2:24.0,,,107-103,2,D. Cousins makes 2-pt shot from 5 ft (assist by R. Rondo)
2:24.0,,,107-103,,Shooting foul by M. Williams (drawn by D. Cousins)
2:24.0,,,107-104,1,D. Cousins makes free throw 1 of 1
2:02.0,M. Williams misses 2-pt shot from 19 ft,,107-104,,
2:01.0,Offensive rebound by S. Hawes,,107-104,,
1:56.0,T. Daniels makes 3-pt shot from 24 ft,3,110-104,,
1:47.0,,,110-107,3,D. Cousins makes 3-pt shot from 26 ft (assist by R. Rondo)
1:36.0,Turnover by J. Lin (lost ball; steal by D. Collison),,110-107,,
1:31.0,Violation by S. Hawes (def goaltending),,110-107,,
1:31.0,,,110-109,2,D. Collison makes 2-pt shot from 1 ft
1:21.0,,,110-109,,Loose ball foul by D. Collison (drawn by K. Walker)
1:21.0,K. Walker makes free throw 1 of 2,1,111-109,,
1:21.0,,,111-109,,O. Casspi enters the game for W. Cauley-Stein
1:21.0,K. Walker makes free throw 2 of 2,1,112-109,,
1:08.0,,,112-109,,Turnover by D. Cousins (lost ball; steal by S. Hawes)
1:04.0,,,112-109,,Personal foul by D. Cousins (drawn by K. Walker)
1:04.0,K. Walker makes free throw 1 of 2,1,113-109,,
1:04.0,K. Walker makes free throw 2 of 2,1,114-109,,
1:04.0,,,114-109,,Sacramento full timeout
0:55.0,,,114-111,2,D. Cousins makes 2-pt shot at rim
0:34.0,K. Walker misses 2-pt shot from 19 ft,,114-111,,
0:32.0,,,114-111,,Defensive rebound by R. Rondo
0:27.0,,,114-113,2,R. Gay makes 2-pt shot from 2 ft (assist by R. Rondo)
0:27.0,Charlotte full timeout,,114-113,,
0:27.0,,,114-113,,W. Cauley-Stein enters the game for O. Casspi
0:08.0,Turnover by K. Walker (lost ball),,114-113,,
0:08.0,,,114-113,,Sacramento full timeout
0:08.0,,,114-113,,O. Casspi enters the game for W. Cauley-Stein
0:08.0,P. Hairston enters the game for T. Daniels,,114-113,,
0:05.0,,,114-113,,Shooting foul by S. Hawes (drawn by D. Cousins)
0:05.0,T. Hansbrough enters the game for S. Hawes,,114-113,,
0:05.0,,,114-113,,W. Cauley-Stein enters the game for O. Casspi
0:05.0,,,114-114,1,D. Cousins makes free throw 1 of 2
0:05.0,,,114-114,,J. Anderson enters the game for D. Collison
0:05.0,,,114-115,1,D. Cousins makes free throw 2 of 2
0:05.0,Charlotte full timeout,,114-115,,
0:05.0,T. Daniels enters the game for P. Hairston,,114-115,,
0:05.0,F. Kaminsky enters the game for T. Hansbrough,,114-115,,
0:01.0,,,114-115,,Personal foul by W. Cauley-Stein (drawn by K. Walker)
0:01.0,K. Walker makes free throw 1 of 2,1,115-115,,
0:01.0,P. Hairston enters the game for T. Daniels,,115-115,,
0:01.0,,,115-115,,D. Collison enters the game for J. Anderson
0:01.0,K. Walker misses free throw 2 of 2,,115-115,,
0:00.0,Offensive rebound by Team,,115-115,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:48.0,,,115-115,,Personal foul by D. Cousins (drawn by J. Lin)
4:39.0,J. Lin makes 2-pt shot from 19 ft,2,117-115,,
4:22.0,,,117-117,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
4:22.0,,,117-117,,Shooting foul by M. Williams (drawn by D. Cousins)
4:22.0,F. Kaminsky enters the game for M. Williams,,117-117,,
4:22.0,,,117-118,1,D. Cousins makes free throw 1 of 1
4:01.0,K. Walker misses 3-pt shot from 25 ft,,117-118,,
4:00.0,,,117-118,,Defensive rebound by W. Cauley-Stein
3:41.0,,,117-118,,D. Collison misses 3-pt shot from 23 ft
3:41.0,,,117-118,,Offensive rebound by Team
3:41.0,Loose ball foul by J. Lin (drawn by D. Cousins),,117-118,,
3:17.0,,,117-118,,D. Cousins misses 2-pt shot from 17 ft
3:16.0,,,117-118,,Offensive rebound by D. Collison
3:16.0,,,117-118,,Turnover by Team (shot clock)
2:59.0,F. Kaminsky misses 3-pt shot from 24 ft,,117-118,,
2:58.0,Offensive rebound by T. Hansbrough,,117-118,,
2:53.0,T. Daniels makes 3-pt shot from 23 ft (assist by F. Kaminsky),3,120-118,,
2:36.0,Personal foul by T. Hansbrough (drawn by D. Cousins),,120-118,,
2:36.0,P. Hairston enters the game for T. Hansbrough,,120-118,,
2:36.0,,,120-118,,O. Casspi enters the game for W. Cauley-Stein
2:23.0,,,120-118,,O. Casspi misses 3-pt shot from 25 ft
2:22.0,Defensive rebound by Team,,120-118,,
1:58.0,K. Walker makes 2-pt shot from 21 ft,2,122-118,,
1:48.0,,,122-120,2,D. Cousins makes 2-pt shot from 2 ft
1:29.0,F. Kaminsky misses 3-pt shot from 25 ft,,122-120,,
1:28.0,Offensive rebound by J. Lin,,122-120,,
1:17.0,K. Walker misses 2-pt shot from 3 ft,,122-120,,
1:15.0,Offensive rebound by F. Kaminsky,,122-120,,
1:00.0,K. Walker misses 2-pt shot from 18 ft,,122-120,,
0:59.0,,,122-120,,Defensive rebound by D. Collison
0:38.0,,,122-122,2,D. Cousins makes 2-pt shot from 6 ft (assist by R. Rondo)
0:38.0,Charlotte full timeout,,122-122,,
0:38.0,,,122-122,,J. Anderson enters the game for D. Cousins
0:38.0,,,122-122,,W. Cauley-Stein enters the game for O. Casspi
0:33.0,Shooting foul by W. Cauley-Stein (drawn by K. Walker),,122-122,,
0:33.0,K. Walker makes free throw 1 of 2,1,123-122,,
0:33.0,,,123-122,,D. Cousins enters the game for J. Anderson
0:33.0,K. Walker makes free throw 2 of 2,1,124-122,,
0:33.0,,,124-122,,Sacramento full timeout
0:33.0,,,124-122,,O. Casspi enters the game for W. Cauley-Stein
0:26.0,,,124-122,,Shooting foul by F. Kaminsky (drawn by D. Cousins)
0:26.0,,,124-123,1,D. Cousins makes free throw 1 of 2
0:26.0,,,124-123,,W. Cauley-Stein enters the game for O. Casspi
0:26.0,,,124-123,,J. Anderson enters the game for D. Collison
0:26.0,,,124-124,1,D. Cousins makes free throw 2 of 2
0:26.0,Charlotte full timeout,,124-124,,
0:02.0,K. Walker misses 2-pt shot from 4 ft (block by W. Cauley-Stein),,124-124,,
0:02.0,Offensive rebound by Team,,124-124,,
0:02.0,Turnover by Team (shot clock),,124-124,,
0:02.0,,,124-124,,Sacramento full timeout
0:02.0,,,124-124,,D. Collison enters the game for W. Cauley-Stein
0:02.0,,,124-124,,O. Casspi enters the game for J. Anderson
0:01.0,,,124-124,,Turnover by D. Collison (bad pass; steal by F. Kaminsky)
0:01.0,Charlotte full timeout,,124-124,,
0:01.0,,,124-124,,W. Cauley-Stein enters the game for O. Casspi
0:01.0,,,124-124,,J. Anderson enters the game for D. Collison
0:00.0,K. Walker misses 3-pt shot from 26 ft,,124-124,,
0:00.0,Offensive rebound by Team,,124-124,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
5:00.0,Start of 2nd overtime,,,,Start of 2nd overtime
5:00.0,Jump ball: W. Cauley-Stein vs. F. Kaminsky (D. Cousins gains possession),,,,Jump ball: W. Cauley-Stein vs. F. Kaminsky (D. Cousins gains possession)
4:45.0,,,124-124,,Shooting foul by P. Hairston (drawn by R. Gay)
4:45.0,,,124-124,,R. Gay misses free throw 1 of 2
4:45.0,,,124-124,,Offensive rebound by Team
4:45.0,,,124-125,1,R. Gay makes free throw 2 of 2
4:23.0,P. Hairston misses 3-pt shot from 23 ft,,124-125,,
4:23.0,,,124-125,,Defensive rebound by R. Rondo
4:17.0,,,124-125,,Shooting foul by K. Walker (drawn by R. Gay)
4:17.0,,,124-125,,Sacramento full timeout
4:17.0,,,124-125,,R. Gay misses free throw 1 of 3
4:17.0,,,124-125,,Offensive rebound by Team
4:17.0,,,124-126,1,R. Gay makes free throw 2 of 3
4:17.0,,,124-126,,R. Gay misses free throw 3 of 3
4:16.0,Defensive rebound by K. Walker,,124-126,,
3:55.0,T. Daniels misses 3-pt shot from 24 ft,,124-126,,
3:55.0,,,124-126,,Defensive rebound by W. Cauley-Stein
3:30.0,,,124-126,,R. Rondo misses 3-pt shot from 24 ft
3:30.0,,,124-126,,Offensive rebound by D. Cousins
3:30.0,,,124-126,,Offensive foul by D. Cousins
3:30.0,,,124-126,,Turnover by D. Cousins (offensive foul)
3:30.0,,,124-126,,O. Casspi enters the game for D. Cousins
3:30.0,,,124-126,,M. Belinelli enters the game for R. Gay
3:10.0,Turnover by K. Walker (lost ball; steal by D. Collison),,124-126,,
3:08.0,,,124-126,,Turnover by D. Collison (lost ball; steal by K. Walker)
2:54.0,K. Walker misses 2-pt shot from 20 ft,,124-126,,
2:53.0,,,124-126,,Defensive rebound by R. Rondo
2:38.0,,,124-126,,Offensive foul by W. Cauley-Stein
2:38.0,,,124-126,,Turnover by W. Cauley-Stein (offensive foul)
2:26.0,J. Lin misses 3-pt shot from 25 ft,,124-126,,
2:26.0,Offensive rebound by F. Kaminsky,,124-126,,
2:24.0,F. Kaminsky misses 2-pt shot from 4 ft,,124-126,,
2:24.0,,,124-126,,Defensive rebound by Team
2:04.0,,,124-126,,W. Cauley-Stein misses 2-pt shot from 3 ft
2:03.0,,,124-126,,Offensive rebound by Team
2:03.0,Loose ball foul by J. Lin (drawn by W. Cauley-Stein),,124-126,,
1:51.0,,,124-126,,D. Collison misses 3-pt shot from 25 ft
1:49.0,,,124-126,,Offensive rebound by W. Cauley-Stein
1:26.0,,,124-126,,M. Belinelli misses 2-pt shot from 20 ft
1:24.0,Defensive rebound by Team,,124-126,,
1:24.0,,,124-126,,Loose ball foul by W. Cauley-Stein (drawn by P. Hairston)
1:24.0,Charlotte full timeout,,124-126,,
1:24.0,,,124-126,,J. Anderson enters the game for M. Belinelli
1:15.0,T. Daniels makes 2-pt shot from 4 ft (assist by F. Kaminsky),2,126-126,,
1:07.0,,,126-126,,Sacramento full timeout
1:07.0,,,126-126,,M. Belinelli enters the game for J. Anderson
0:49.0,,,126-126,,O. Casspi misses 3-pt shot from 24 ft
0:47.0,Defensive rebound by K. Walker,,126-126,,
0:45.0,Charlotte full timeout,,126-126,,
0:45.0,,,126-126,,J. Anderson enters the game for M. Belinelli
0:35.0,F. Kaminsky misses 2-pt shot from 5 ft (block by O. Casspi),,126-126,,
0:33.0,,,126-126,,Defensive rebound by O. Casspi
0:12.0,,,126-128,2,W. Cauley-Stein makes 2-pt shot at rim (assist by O. Casspi)
0:12.0,Charlotte full timeout,,126-128,,
0:09.0,T. Daniels makes 3-pt shot from 27 ft (assist by J. Lin),3,129-128,,
0:09.0,,,129-128,,Sacramento full timeout
0:09.0,,,129-128,,M. Belinelli enters the game for J. Anderson
0:00.0,,,129-128,,D. Collison misses 2-pt shot from 13 ft
0:00.0,Defensive rebound by P. Hairston,,129-128,,
0:00.0,End of 2nd overtime,,,,End of 2nd overtime
