time,Boston,pts.away,score,pts.home,Toronto
1:33.0,,,85-103,1,J. Thompson makes free throw 2 of 2
1:24.0,J. Young misses 3-pt shot from 25 ft,,85-103,,
1:23.0,,,85-103,,Defensive rebound by J. Thompson
1:07.0,,,85-105,2,N. Powell makes 2-pt shot from 17 ft
0:55.0,J. Mickey misses 2-pt shot from 1 ft,,85-105,,
0:54.0,Offensive rebound by T. Rozier,,85-105,,
0:49.0,T. Rozier makes 3-pt shot from 25 ft (assist by R. Hunter),3,88-105,,
0:29.0,,,88-105,,J. Thompson misses 3-pt shot from 26 ft
0:29.0,Defensive rebound by Team,,88-105,,
0:06.0,J. Young makes 3-pt shot from 23 ft (assist by T. Rozier),3,91-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
