time,LA Lakers,pts.away,score,pts.home,Brooklyn
10:22.0,J. Randle misses free throw 1 of 2,,56-50,,
10:22.0,Offensive rebound by Team,,56-50,,
10:22.0,J. Randle makes free throw 2 of 2,1,57-50,,
10:12.0,,,57-52,2,J. Jack makes 2-pt shot from 18 ft
10:04.0,D. Russell misses 3-pt shot from 24 ft,,57-52,,
10:02.0,Offensive rebound by J. Clarkson,,57-52,,
9:51.0,J. Clarkson misses 3-pt shot from 24 ft,,57-52,,
9:49.0,,,57-52,,Defensive rebound by R. Hollis-Jefferson
9:32.0,,,57-54,2,T. Young makes 2-pt shot at rim (assist by J. Jack)
9:15.0,D. Russell makes 2-pt shot from 1 ft (assist by R. Hibbert),2,59-54,,
8:47.0,,,59-54,,T. Young misses 2-pt shot from 6 ft
8:45.0,Defensive rebound by R. Hibbert,,59-54,,
8:40.0,J. Clarkson makes 2-pt shot from 2 ft,2,61-54,,
8:34.0,,,61-54,,Brooklyn full timeout
8:23.0,,,61-54,,T. Young misses 2-pt shot from 20 ft
8:21.0,Defensive rebound by J. Randle,,61-54,,
8:12.0,Turnover by J. Clarkson (discontinued dribble),,61-54,,
8:00.0,,,61-56,2,B. Lopez makes 2-pt shot from 6 ft (assist by J. Jack)
7:45.0,K. Bryant misses 2-pt shot from 17 ft,,61-56,,
7:44.0,,,61-56,,Defensive rebound by R. Hollis-Jefferson
7:32.0,,,61-56,,J. Jack misses 2-pt shot from 1 ft
7:31.0,,,61-56,,Offensive rebound by T. Young
7:30.0,,,61-58,2,T. Young makes 2-pt shot from 2 ft
7:19.0,D. Russell makes 2-pt shot from 19 ft,2,63-58,,
7:01.0,,,63-58,,J. Jack misses 3-pt shot from 23 ft
7:00.0,,,63-58,,Offensive rebound by J. Jack
6:56.0,,,63-58,,J. Johnson misses 3-pt shot from 24 ft
6:55.0,,,63-58,,Offensive rebound by R. Hollis-Jefferson
6:50.0,,,63-58,,J. Jack misses 3-pt shot from 24 ft
6:49.0,Defensive rebound by D. Russell,,63-58,,
6:37.0,J. Randle misses 2-pt shot from 11 ft,,63-58,,
6:36.0,,,63-58,,Defensive rebound by B. Lopez
6:31.0,,,63-60,2,T. Young makes 2-pt shot from 1 ft (assist by J. Jack)
6:08.0,J. Clarkson misses 2-pt shot from 1 ft,,63-60,,
6:07.0,,,63-60,,Defensive rebound by T. Young
5:53.0,,,63-62,2,B. Lopez makes 2-pt shot from 1 ft (assist by J. Jack)
5:36.0,J. Clarkson makes 2-pt shot from 1 ft,2,65-62,,
5:36.0,Shooting foul by J. Jack (drawn by J. Clarkson),,65-62,,
5:36.0,L. Williams enters the game for D. Russell,,65-62,,
5:36.0,J. Clarkson makes free throw 1 of 1,1,66-62,,
5:27.0,,,66-64,2,J. Jack makes 2-pt shot from 17 ft
5:13.0,J. Clarkson misses 3-pt shot from 26 ft,,66-64,,
5:12.0,,,66-64,,Defensive rebound by R. Hollis-Jefferson
5:05.0,,,66-66,2,T. Young makes 2-pt shot from 2 ft (assist by J. Jack)
4:59.0,LA Lakers full timeout,,66-66,,
4:59.0,M. World Peace enters the game for K. Bryant,,66-66,,
4:47.0,M. World Peace makes 3-pt shot from 22 ft (assist by J. Clarkson),3,69-66,,
4:20.0,,,69-66,,B. Lopez misses 2-pt shot from 16 ft
4:19.0,,,69-66,,Offensive rebound by T. Young
4:13.0,,,69-66,,J. Johnson misses 2-pt shot from 8 ft
4:12.0,,,69-66,,Offensive rebound by R. Hollis-Jefferson
4:07.0,,,69-66,,J. Jack misses 2-pt shot from 11 ft
4:05.0,Defensive rebound by R. Hibbert,,69-66,,
4:05.0,,,69-66,,Technical foul by J. Jack
4:05.0,L. Williams makes technical free throw,1,70-66,,
3:54.0,,,70-66,,Personal foul by R. Hollis-Jefferson
3:49.0,,,70-66,,Personal foul by T. Young (drawn by J. Clarkson)
3:49.0,,,70-66,,B. Bogdanovic enters the game for R. Hollis-Jefferson
3:49.0,,,70-66,,A. Bargnani enters the game for B. Lopez
3:36.0,Turnover by J. Randle (traveling),,70-66,,
3:25.0,,,70-68,2,T. Young makes 2-pt shot from 6 ft (assist by J. Jack)
3:13.0,L. Williams misses 3-pt shot from 22 ft,,70-68,,
3:11.0,,,70-68,,Defensive rebound by J. Jack
2:58.0,,,70-70,2,J. Johnson makes 2-pt shot from 17 ft
2:43.0,J. Clarkson makes 2-pt shot from 1 ft (assist by L. Williams),2,72-70,,
2:43.0,Shooting foul by A. Bargnani (drawn by J. Clarkson),,72-70,,
2:43.0,L. Nance enters the game for J. Randle,,72-70,,
2:43.0,J. Clarkson makes free throw 1 of 1,1,73-70,,
2:20.0,,,73-70,,T. Young misses 3-pt shot from 24 ft
2:19.0,Defensive rebound by R. Hibbert,,73-70,,
2:12.0,R. Hibbert makes 2-pt shot at rim (assist by J. Clarkson),2,75-70,,
2:02.0,Personal foul by J. Clarkson (drawn by J. Jack),,75-70,,
2:02.0,T. Black enters the game for R. Hibbert,,75-70,,
2:02.0,N. Young enters the game for J. Clarkson,,75-70,,
2:02.0,,,75-70,,T. Robinson enters the game for T. Young
1:50.0,,,75-70,,T. Robinson misses 2-pt shot from 6 ft
1:49.0,Defensive rebound by L. Nance,,75-70,,
1:31.0,M. World Peace misses 3-pt shot from 23 ft,,75-70,,
1:30.0,,,75-70,,Defensive rebound by J. Jack
1:22.0,,,75-72,2,T. Robinson makes 2-pt shot from 2 ft (assist by J. Jack)
1:06.0,N. Young misses 2-pt shot from 18 ft,,75-72,,
1:04.0,,,75-72,,Defensive rebound by T. Robinson
0:54.0,,,75-72,,J. Jack misses 2-pt shot from 9 ft
0:53.0,Defensive rebound by T. Black,,75-72,,
0:41.0,L. Williams makes 2-pt shot from 9 ft,2,77-72,,
