time,Milwaukee,pts.away,score,pts.home,New Orleans
3:07.0,Turnover by M. Carter-Williams (bad pass; steal by J. Holiday),,90-107,,
3:02.0,,,90-107,,A. Davis misses 2-pt shot at rim
3:00.0,Defensive rebound by R. Vaughn,,90-107,,
2:56.0,G. Monroe makes 2-pt shot at rim (assist by K. Middleton),2,92-107,,
2:46.0,Personal take foul by M. Carter-Williams (drawn by J. Holiday),,92-107,,
2:46.0,Official timeout,,92-107,,
2:46.0,M. Plumlee enters the game for J. Parker,,92-107,,
2:46.0,J. O'Bryant enters the game for G. Monroe,,92-107,,
2:46.0,T. Ennis enters the game for K. Middleton,,92-107,,
2:46.0,C. Copeland enters the game for M. Carter-Williams,,92-107,,
2:25.0,,,92-107,,J. Holiday misses 3-pt shot from 23 ft
2:24.0,Defensive rebound by M. Plumlee,,92-107,,
2:15.0,C. Copeland misses 3-pt shot from 24 ft,,92-107,,
2:15.0,,,92-107,,Defensive rebound by J. Holiday
2:04.0,,,92-110,3,A. Davis makes 3-pt shot from 26 ft (assist by J. Holiday)
1:43.0,C. Copeland makes 3-pt shot from 25 ft (assist by T. Ennis),3,95-110,,
1:33.0,,,95-110,,Turnover by J. Holiday (bad pass)
1:33.0,,,95-110,,L. Babbitt enters the game for A. Gee
1:33.0,,,95-110,,N. Cole enters the game for A. Davis
1:33.0,,,95-110,,B. Dejean-Jones enters the game for R. Anderson
1:33.0,,,95-110,,A. Ajinca enters the game for J. Holiday
1:18.0,J. O'Bryant misses 2-pt shot from 3 ft,,95-110,,
1:17.0,,,95-110,,Defensive rebound by A. Ajinca
0:57.0,,,95-113,3,B. Dejean-Jones makes 3-pt shot from 26 ft (assist by T. Douglas)
0:50.0,T. Ennis makes 2-pt shot from 5 ft,2,97-113,,
0:35.0,,,97-116,3,T. Douglas makes 3-pt shot from 25 ft (assist by A. Ajinca)
0:19.0,J. O'Bryant makes 2-pt shot from 7 ft,2,99-116,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
