time,Charlotte,pts.away,score,pts.home,Denver
2:19.0,Offensive rebound by C. Zeller,,85-95,,
2:08.0,K. Walker makes 2-pt shot from 1 ft,2,87-95,,
1:57.0,,,87-95,,Turnover by D. Arthur (offensive foul)
1:57.0,,,87-95,,Offensive foul by D. Arthur
1:47.0,Shooting foul by G. Harris (drawn by C. Zeller),,87-95,,
1:47.0,C. Zeller makes free throw 1 of 2,1,88-95,,
1:47.0,C. Zeller makes free throw 2 of 2,1,89-95,,
1:22.0,,,89-95,,D. Gallinari misses 3-pt shot from 26 ft
1:21.0,Defensive rebound by J. Lamb,,89-95,,
1:12.0,K. Walker misses 2-pt shot from 14 ft,,89-95,,
1:11.0,,,89-95,,Defensive rebound by D. Gallinari
0:53.0,,,89-95,,G. Harris misses 3-pt shot from 23 ft
0:51.0,Defensive rebound by K. Walker,,89-95,,
0:46.0,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker),3,92-95,,
0:46.0,,,92-95,,Denver full timeout
0:19.0,,,92-95,,D. Gallinari misses 2-pt shot from 20 ft
0:18.0,Defensive rebound by M. Williams,,92-95,,
0:12.0,Charlotte full timeout,,92-95,,
0:04.0,K. Walker misses 3-pt shot from 24 ft,,92-95,,
0:03.0,Offensive rebound by M. Williams,,92-95,,
0:01.0,N. Batum misses 3-pt shot from 28 ft,,92-95,,
0:00.0,Offensive rebound by Team,,92-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
