time,Orlando,pts.away,score,pts.home,Denver
2:50.0,,,74-72,1,K. Faried makes free throw 2 of 2
2:38.0,E. Fournier makes 3-pt shot from 24 ft (assist by E. Payton),3,77-72,,
2:18.0,,,77-72,,J. Nelson misses 3-pt shot from 25 ft
2:17.0,Defensive rebound by E. Fournier,,77-72,,
2:14.0,,,77-72,,R. Foye enters the game for J. Hickson
2:04.0,,,77-72,,Personal foul by K. Faried (drawn by N. Vucevic)
1:55.0,N. Vucevic misses 2-pt shot from 9 ft,,77-72,,
1:54.0,,,77-72,,Defensive rebound by J. Nelson
1:48.0,,,77-72,,K. Faried misses 2-pt shot at rim
1:47.0,Defensive rebound by N. Vucevic,,77-72,,
1:44.0,E. Payton makes 2-pt shot from 11 ft,2,79-72,,
1:44.0,Shooting foul by J. Nelson (drawn by E. Payton),,79-72,,
1:44.0,E. Payton makes free throw 1 of 1,1,80-72,,
1:44.0,,,80-72,,Denver full timeout
1:39.0,,,80-74,2,R. Foye makes 2-pt shot from 1 ft (assist by J. Nelson)
1:26.0,E. Payton misses 2-pt shot from 2 ft (block by D. Gallinari),,80-74,,
1:25.0,Offensive rebound by N. Vucevic,,80-74,,
1:24.0,N. Vucevic makes 2-pt shot at rim,2,82-74,,
1:18.0,,,82-74,,Shooting foul by E. Fournier (drawn by K. Faried)
1:18.0,,,82-74,,K. Faried misses free throw 1 of 2
1:18.0,,,82-74,,Offensive rebound by Team
1:18.0,,,82-74,,K. Faried misses free throw 2 of 2
1:16.0,Defensive rebound by N. Vucevic,,82-74,,
0:56.0,Turnover by N. Vucevic (bad pass; steal by W. Barton),,82-74,,
0:50.0,,,82-74,,W. Barton misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by E. Payton,,82-74,,
0:38.0,,,82-74,,Violation by K. Faried (def goaltending)
0:38.0,E. Payton makes 2-pt shot from 3 ft,2,84-74,,
0:38.0,Shooting foul by K. Faried (drawn by E. Payton),,84-74,,
0:38.0,E. Payton makes free throw 1 of 1,1,85-74,,
0:23.0,,,85-74,,D. Gallinari misses 2-pt shot from 1 ft (block by N. Vucevic)
0:21.0,,,85-74,,Offensive rebound by D. Gallinari
0:16.0,,,85-74,,D. Gallinari misses 2-pt shot from 2 ft
0:15.0,Defensive rebound by E. Payton,,85-74,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
