time,Milwaukee,pts.away,score,pts.home,LA Clippers
3:24.0,,,83-93,1,J. Redick makes free throw 2 of 3
3:24.0,,,83-94,1,J. Redick makes free throw 3 of 3
3:13.0,O. Mayo misses 3-pt shot from 24 ft,,83-94,,
3:13.0,,,83-94,,Defensive rebound by B. Griffin
2:51.0,,,83-94,,A. Rivers misses 2-pt shot from 4 ft
2:50.0,,,83-94,,Offensive rebound by L. Mbah a Moute
2:32.0,,,83-97,3,C. Paul makes 3-pt shot from 25 ft
2:32.0,Milwaukee full timeout,,83-97,,
2:13.0,J. Parker makes 2-pt shot at rim (assist by O. Mayo),2,85-97,,
1:44.0,,,85-100,3,C. Paul makes 3-pt shot from 27 ft
1:23.0,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by M. Carter-Williams),3,88-100,,
1:00.0,,,88-100,,C. Paul misses 3-pt shot from 26 ft
1:00.0,Defensive rebound by O. Mayo,,88-100,,
0:52.0,J. Parker makes 2-pt shot from 1 ft (assist by O. Mayo),2,90-100,,
0:37.0,,,90-103,3,J. Redick makes 3-pt shot from 28 ft (assist by B. Griffin)
0:25.0,M. Carter-Williams misses 2-pt shot from 14 ft,,90-103,,
0:24.0,,,90-103,,Defensive rebound by C. Paul
0:00.0,,,90-103,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
