time,Boston,pts.away,score,pts.home,Memphis
5:04.0,D. Lee misses 2-pt shot from 2 ft,,83-80,,
5:04.0,,,83-80,,Defensive rebound by Team
5:04.0,J. Sullinger enters the game for D. Lee,,83-80,,
5:04.0,A. Johnson enters the game for K. Olynyk,,83-80,,
4:46.0,,,83-82,2,M. Gasol makes 2-pt shot from 12 ft (assist by J. Green)
4:27.0,Shooting foul by J. Green (drawn by I. Thomas),,83-82,,
4:27.0,I. Thomas makes free throw 1 of 2,1,84-82,,
4:27.0,,,84-82,,M. Barnes enters the game for T. Allen
4:27.0,,,84-82,,Z. Randolph enters the game for V. Carter
4:27.0,,,84-82,,M. Chalmers enters the game for J. Green
4:27.0,I. Thomas makes free throw 2 of 2,1,85-82,,
4:13.0,,,85-84,2,M. Gasol makes 2-pt shot at rim (assist by M. Chalmers)
4:02.0,Offensive foul by J. Crowder,,85-84,,
4:02.0,Turnover by J. Crowder (offensive foul),,85-84,,
3:49.0,,,85-84,,Shooting foul by A. Johnson (drawn by M. Gasol)
3:49.0,,,85-86,2,M. Gasol makes 2-pt shot from 5 ft (assist by M. Barnes)
3:49.0,,,85-87,1,M. Gasol makes free throw 1 of 1
3:36.0,I. Thomas makes 2-pt shot from 2 ft,2,87-87,,
3:18.0,,,87-87,,M. Gasol misses 2-pt shot from 5 ft
3:16.0,Defensive rebound by A. Johnson,,87-87,,
3:14.0,Turnover by A. Johnson (bad pass; steal by Z. Randolph),,87-87,,
3:09.0,,,87-87,,J. Green misses 3-pt shot from 25 ft
3:09.0,,,87-87,,Offensive rebound by Z. Randolph
3:08.0,,,87-87,,Shooting foul by J. Sullinger (drawn by Z. Randolph)
3:08.0,,,87-88,1,Z. Randolph makes free throw 1 of 2
3:08.0,,,87-89,1,Z. Randolph makes free throw 2 of 2
2:50.0,J. Sullinger misses 2-pt shot from 6 ft,,87-89,,
2:50.0,Offensive rebound by Team,,87-89,,
2:50.0,,,87-89,,Loose ball foul by M. Gasol (drawn by A. Johnson)
2:50.0,,,87-89,,Memphis full timeout
2:50.0,A. Johnson makes free throw 1 of 2,1,88-89,,
2:50.0,A. Johnson misses free throw 2 of 2,,88-89,,
2:49.0,,,88-89,,Defensive rebound by J. Green
2:29.0,,,88-89,,Turnover by M. Chalmers (bad pass; steal by J. Crowder)
2:25.0,I. Thomas makes 2-pt shot from 2 ft (assist by J. Crowder),2,90-89,,
2:04.0,,,90-89,,Turnover by Z. Randolph (bad pass; steal by J. Crowder)
1:59.0,,,90-89,,Personal foul by Z. Randolph (drawn by J. Sullinger)
1:59.0,J. Sullinger misses free throw 1 of 2,,90-89,,
1:59.0,Offensive rebound by Team,,90-89,,
1:59.0,J. Sullinger makes free throw 2 of 2,1,91-89,,
1:45.0,,,91-89,,J. Green misses 2-pt shot at rim
1:45.0,,,91-89,,Offensive rebound by J. Green
1:45.0,,,91-89,,J. Green misses 2-pt shot at rim
1:45.0,,,91-89,,Offensive rebound by Z. Randolph
1:45.0,,,91-89,,Shooting foul by J. Crowder (drawn by Z. Randolph)
1:45.0,,,91-90,1,Z. Randolph makes free throw 1 of 2
1:45.0,,,91-90,,T. Allen enters the game for J. Green
1:45.0,,,91-91,1,Z. Randolph makes free throw 2 of 2
1:31.0,J. Crowder misses 2-pt shot from 17 ft,,91-91,,
1:30.0,,,91-91,,Defensive rebound by T. Allen
1:17.0,,,91-91,,Turnover by M. Barnes (lost ball; steal by A. Bradley)
1:14.0,Shooting foul by M. Gasol (drawn by A. Bradley),,91-91,,
1:14.0,A. Bradley makes free throw 1 of 2,1,92-91,,
1:14.0,A. Bradley misses free throw 2 of 2,,92-91,,
1:12.0,,,92-91,,Defensive rebound by Z. Randolph
0:53.0,,,92-91,,M. Chalmers misses 3-pt shot from 23 ft
0:52.0,,,92-91,,Offensive rebound by M. Barnes
0:51.0,,,92-93,2,M. Barnes makes 2-pt shot from 2 ft
0:51.0,Boston full timeout,,92-93,,
0:51.0,,,92-93,,J. Green enters the game for Z. Randolph
0:51.0,M. Smart enters the game for A. Johnson,,92-93,,
0:40.0,M. Smart misses 2-pt shot from 3 ft (block by M. Barnes),,92-93,,
0:39.0,,,92-93,,Defensive rebound by M. Chalmers
0:34.0,Personal foul by M. Smart (drawn by M. Chalmers),,92-93,,
0:34.0,,,92-94,1,M. Chalmers makes free throw 1 of 2
0:34.0,A. Johnson enters the game for M. Smart,,92-94,,
0:34.0,,,92-95,1,M. Chalmers makes free throw 2 of 2
0:34.0,Boston full timeout,,92-95,,
0:34.0,E. Turner enters the game for A. Johnson,,92-95,,
0:31.0,I. Thomas misses 2-pt shot from 22 ft,,92-95,,
0:31.0,,,92-95,,Defensive rebound by T. Allen
0:28.0,Personal take foul by J. Crowder (drawn by T. Allen),,92-95,,
0:28.0,,,92-96,1,T. Allen makes free throw 1 of 2
0:28.0,,,92-97,1,T. Allen makes free throw 2 of 2
0:24.0,I. Thomas makes 2-pt shot from 1 ft,2,94-97,,
0:23.0,,,94-97,,Memphis full timeout
0:23.0,M. Smart enters the game for E. Turner,,94-97,,
0:23.0,,,94-97,,Memphis full timeout
0:23.0,A. Johnson enters the game for J. Sullinger,,94-97,,
0:23.0,,,94-97,,Z. Randolph enters the game for T. Allen
0:18.0,Personal take foul by A. Johnson (drawn by M. Barnes),,94-97,,
0:18.0,,,94-98,1,M. Barnes makes free throw 1 of 2
0:18.0,,,94-98,,T. Allen enters the game for Z. Randolph
0:18.0,J. Sullinger enters the game for A. Johnson,,94-98,,
0:18.0,,,94-99,1,M. Barnes makes free throw 2 of 2
0:15.0,Shooting foul by M. Chalmers (drawn by I. Thomas),,94-99,,
0:15.0,I. Thomas makes free throw 1 of 2,1,95-99,,
0:15.0,,,95-99,,Z. Randolph enters the game for T. Allen
0:15.0,E. Turner enters the game for J. Sullinger,,95-99,,
0:15.0,I. Thomas makes free throw 2 of 2,1,96-99,,
0:10.0,Personal foul by A. Bradley (drawn by M. Chalmers),,96-99,,
0:10.0,,,96-100,1,M. Chalmers makes free throw 1 of 2
0:10.0,,,96-100,,T. Allen enters the game for Z. Randolph
0:10.0,J. Sullinger enters the game for E. Turner,,96-100,,
0:10.0,,,96-101,1,M. Chalmers makes free throw 2 of 2
0:05.0,Shooting foul by M. Gasol (drawn by I. Thomas),,96-101,,
0:05.0,I. Thomas makes free throw 1 of 2,1,97-101,,
0:05.0,E. Turner enters the game for J. Sullinger,,97-101,,
0:05.0,,,97-101,,Z. Randolph enters the game for T. Allen
0:05.0,I. Thomas makes free throw 2 of 2,1,98-101,,
0:04.0,,,98-101,,Turnover by J. Green (bad pass; steal by I. Thomas)
0:00.0,A. Bradley misses 3-pt shot from 26 ft,,98-101,,
0:00.0,Offensive rebound by M. Smart,,98-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
