time,New York,pts.away,score,pts.home,Miami
4:06.0,,,67-84,,G. Dragic misses 2-pt shot from 7 ft
4:05.0,Defensive rebound by Team,,67-84,,
4:05.0,,,67-84,,Loose ball foul by H. Whiteside (drawn by R. Lopez)
4:05.0,R. Lopez misses free throw 1 of 2,,67-84,,
4:05.0,Offensive rebound by Team,,67-84,,
4:05.0,R. Lopez makes free throw 2 of 2,1,68-84,,
3:47.0,,,68-84,,L. Deng misses 2-pt shot from 17 ft
3:46.0,Defensive rebound by C. Anthony,,68-84,,
3:37.0,K. Porzingis makes 2-pt shot from 15 ft,2,70-84,,
3:37.0,Shooting foul by J. Winslow (drawn by K. Porzingis),,70-84,,
3:37.0,L. Galloway enters the game for R. Lopez,,70-84,,
3:37.0,,,70-84,,C. Bosh enters the game for J. Winslow
3:37.0,K. Porzingis makes free throw 1 of 1,1,71-84,,
3:29.0,Personal take foul by L. Galloway (drawn by H. Whiteside),,71-84,,
3:29.0,,,71-84,,H. Whiteside misses free throw 1 of 2
3:29.0,,,71-84,,Offensive rebound by Team
3:29.0,,,71-84,,H. Whiteside misses free throw 2 of 2
3:28.0,Defensive rebound by L. Galloway,,71-84,,
3:19.0,A. Afflalo misses 3-pt shot from 26 ft,,71-84,,
3:18.0,,,71-84,,Defensive rebound by G. Dragic
3:10.0,,,71-86,2,G. Dragic makes 2-pt shot from 2 ft (assist by D. Wade)
2:54.0,A. Afflalo misses 2-pt shot from 1 ft (block by H. Whiteside),,71-86,,
2:52.0,Offensive rebound by A. Afflalo,,71-86,,
2:48.0,K. Porzingis makes 3-pt shot from 24 ft (assist by A. Afflalo),3,74-86,,
2:46.0,Personal take foul by L. Galloway (drawn by H. Whiteside),,74-86,,
2:46.0,New York full timeout,,74-86,,
2:46.0,,,74-86,,J. Winslow enters the game for L. Deng
2:46.0,,,74-87,1,H. Whiteside makes free throw 1 of 2
2:46.0,,,74-88,1,H. Whiteside makes free throw 2 of 2
2:38.0,K. Porzingis misses 2-pt shot from 8 ft (block by H. Whiteside),,74-88,,
2:37.0,Offensive rebound by Team,,74-88,,
2:33.0,K. Porzingis misses 3-pt shot from 25 ft,,74-88,,
2:32.0,Offensive rebound by L. Galloway,,74-88,,
2:27.0,L. Galloway misses 3-pt shot from 24 ft,,74-88,,
2:26.0,,,74-88,,Defensive rebound by H. Whiteside
2:24.0,Personal take foul by J. Calderon (drawn by H. Whiteside),,74-88,,
2:24.0,,,74-89,1,H. Whiteside makes free throw 1 of 2
2:24.0,L. Amundson enters the game for C. Anthony,,74-89,,
2:24.0,,,74-90,1,H. Whiteside makes free throw 2 of 2
2:14.0,L. Amundson misses 2-pt shot from 14 ft,,74-90,,
2:13.0,,,74-90,,Defensive rebound by H. Whiteside
2:02.0,,,74-90,,D. Wade misses 2-pt shot from 7 ft
2:01.0,Defensive rebound by Team,,74-90,,
1:51.0,L. Galloway makes 2-pt shot from 17 ft (assist by J. Calderon),2,76-90,,
1:35.0,Shooting block foul by K. Porzingis (drawn by C. Bosh),,76-90,,
1:35.0,,,76-91,1,C. Bosh makes free throw 1 of 2
1:35.0,,,76-92,1,C. Bosh makes free throw 2 of 2
1:28.0,L. Galloway misses 2-pt shot from 18 ft,,76-92,,
1:27.0,Offensive rebound by Team,,76-92,,
1:21.0,Turnover by K. Porzingis (bad pass; steal by G. Dragic),,76-92,,
1:05.0,,,76-92,,Turnover by D. Wade (bad pass; steal by K. Porzingis)
1:00.0,L. Galloway misses 3-pt shot from 24 ft,,76-92,,
0:59.0,,,76-92,,Defensive rebound by J. Winslow
0:36.0,,,76-95,3,G. Dragic makes 3-pt shot from 24 ft
0:21.0,A. Afflalo makes 2-pt shot from 1 ft (assist by L. Galloway),2,78-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
