time,Denver,pts.away,score,pts.home,Miami
1:01.0,,,110-118,2,J. Johnson makes 2-pt shot from 15 ft
1:01.0,Denver full timeout,,110-118,,
0:52.0,N. Jokic makes 3-pt shot from 24 ft (assist by E. Mudiay),3,113-118,,
0:41.0,,,113-120,2,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson)
0:30.0,D. Augustin misses 3-pt shot from 23 ft,,113-120,,
0:29.0,Offensive rebound by D. Augustin,,113-120,,
0:24.0,E. Mudiay makes 3-pt shot from 25 ft (assist by N. Jokic),3,116-120,,
0:23.0,Personal foul by E. Mudiay,,116-120,,
0:23.0,,,116-121,1,D. Wade makes free throw 1 of 2
0:23.0,,,116-121,,L. Deng enters the game for H. Whiteside
0:23.0,,,116-122,1,D. Wade makes free throw 2 of 2
0:16.0,E. Mudiay makes 3-pt shot from 25 ft,3,119-122,,
0:15.0,Personal foul by D. Augustin,,119-122,,
0:15.0,,,119-122,,D. Wade misses free throw 1 of 2
0:15.0,,,119-122,,Offensive rebound by Team
0:15.0,,,119-123,1,D. Wade makes free throw 2 of 2
0:08.0,E. Mudiay misses 2-pt shot from 2 ft,,119-123,,
0:07.0,,,119-123,,Defensive rebound by D. Wade
0:07.0,Personal foul by E. Mudiay,,119-123,,
0:07.0,,,119-124,1,D. Wade makes free throw 1 of 2
0:07.0,,,119-124,,D. Wade misses free throw 2 of 2
0:06.0,,,119-124,,Offensive rebound by L. Deng
0:00.0,End of 4th quarter,,,,End of 4th quarter
