time,Indiana,pts.away,score,pts.home,Minnesota
2:52.0,,,39-38,,R. Rubio misses 2-pt shot from 19 ft
2:51.0,Defensive rebound by I. Mahinmi,,39-38,,
2:33.0,M. Ellis misses 3-pt shot from 25 ft,,39-38,,
2:30.0,Offensive rebound by M. Ellis,,39-38,,
2:26.0,C. Miles misses 3-pt shot from 25 ft,,39-38,,
2:25.0,,,39-38,,Defensive rebound by K. Towns
2:19.0,,,39-38,,G. Dieng misses 2-pt shot from 1 ft
2:17.0,,,39-38,,Offensive rebound by A. Wiggins
2:17.0,,,39-40,2,A. Wiggins makes 2-pt shot from 2 ft
2:02.0,M. Ellis makes 2-pt shot from 11 ft,2,41-40,,
1:47.0,,,41-40,,Turnover by K. Towns (bad pass; steal by C. Miles)
1:42.0,C. Miles makes 2-pt shot from 2 ft,2,43-40,,
1:42.0,,,43-40,,Minnesota full timeout
1:30.0,,,43-40,,Turnover by G. Dieng (traveling)
1:12.0,C. Miles misses 3-pt shot from 24 ft,,43-40,,
1:11.0,,,43-40,,Defensive rebound by R. Rubio
0:53.0,,,43-42,2,T. Prince makes 2-pt shot from 20 ft (assist by G. Dieng)
0:42.0,C. Miles misses 3-pt shot from 26 ft,,43-42,,
0:41.0,,,43-42,,Defensive rebound by R. Rubio
0:33.0,,,43-44,2,R. Rubio makes 2-pt shot from 19 ft
0:27.0,,,43-44,,Personal foul by K. Towns (drawn by G. Hill)
0:27.0,,,43-44,,Z. LaVine enters the game for G. Dieng
0:27.0,J. Hill enters the game for I. Mahinmi,,43-44,,
0:17.0,P. George misses 2-pt shot from 20 ft,,43-44,,
0:15.0,Offensive rebound by G. Hill,,43-44,,
0:01.0,G. Hill misses 2-pt shot from 20 ft,,43-44,,
0:00.0,Offensive rebound by Team,,43-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,P. George misses 3-pt shot from 24 ft,,43-44,,
11:40.0,,,43-44,,Defensive rebound by K. Garnett
11:27.0,,,43-44,,Turnover by A. Wiggins (bad pass; steal by G. Hill)
11:26.0,,,43-44,,Personal foul by T. Prince (drawn by G. Hill)
11:12.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by G. Hill),2,45-44,,
10:53.0,,,45-46,2,K. Towns makes 2-pt shot at rim
10:53.0,,,45-46,,Shooting foul by I. Mahinmi (drawn by K. Towns)
10:53.0,,,45-46,,K. Towns misses free throw 1 of 1
10:53.0,Defensive rebound by P. George,,45-46,,
10:33.0,Shooting foul by A. Wiggins (drawn by M. Ellis),,45-46,,
10:33.0,M. Ellis makes free throw 1 of 2,1,46-46,,
10:33.0,M. Ellis makes free throw 2 of 2,1,47-46,,
10:22.0,,,47-48,2,K. Garnett makes 2-pt shot at rim (assist by K. Towns)
10:17.0,Turnover by P. George (bad pass; steal by R. Rubio),,47-48,,
10:14.0,,,47-48,,Shooting foul by G. Hill (drawn by K. Towns)
10:14.0,,,47-49,1,K. Towns makes free throw 1 of 2
10:14.0,,,47-50,1,K. Towns makes free throw 2 of 2
9:52.0,C. Miles misses 3-pt shot from 25 ft,,47-50,,
9:51.0,,,47-50,,Defensive rebound by R. Rubio
9:34.0,,,47-50,,Offensive charge foul by T. Prince
9:34.0,,,47-50,,Turnover by T. Prince (offensive foul)
9:20.0,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis),2,49-50,,
9:17.0,,,49-50,,Minnesota full timeout
8:59.0,,,49-50,,K. Garnett misses 2-pt shot from 12 ft
8:58.0,Defensive rebound by G. Hill,,49-50,,
8:54.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Ellis),2,51-50,,
8:54.0,Shooting foul by K. Garnett (drawn by I. Mahinmi),,51-50,,
8:54.0,I. Mahinmi makes free throw 1 of 1,1,52-50,,
8:41.0,,,52-50,,A. Wiggins misses 2-pt shot from 17 ft
8:40.0,Defensive rebound by I. Mahinmi,,52-50,,
8:33.0,P. George misses 2-pt shot from 14 ft,,52-50,,
8:32.0,,,52-50,,Defensive rebound by T. Prince
8:23.0,,,52-50,,T. Prince misses 2-pt shot from 19 ft
8:22.0,Defensive rebound by M. Ellis,,52-50,,
8:18.0,Turnover by M. Ellis (lost ball; steal by K. Towns),,52-50,,
8:16.0,,,52-52,2,A. Wiggins makes 2-pt shot at rim (assist by K. Towns)
7:57.0,P. George misses 2-pt shot from 21 ft,,52-52,,
7:56.0,,,52-52,,Defensive rebound by K. Garnett
7:45.0,,,52-52,,Turnover by R. Rubio (bad pass; steal by I. Mahinmi)
7:40.0,Turnover by M. Ellis (bad pass; steal by K. Garnett),,52-52,,
7:23.0,,,52-54,2,K. Towns makes 2-pt shot from 1 ft (assist by K. Garnett)
7:11.0,M. Ellis makes 2-pt shot from 17 ft,2,54-54,,
