time,Golden State,pts.away,score,pts.home,Indiana
3:07.0,S. Curry misses 3-pt shot from 26 ft,,125-114,,
3:05.0,Offensive rebound by D. Green,,125-114,,
3:05.0,D. Green makes 2-pt shot from 1 ft,2,127-114,,
2:56.0,,,127-114,,Turnover by M. Ellis (bad pass; steal by A. Iguodala)
2:45.0,D. Green misses 2-pt shot at rim,,127-114,,
2:45.0,,,127-114,,Defensive rebound by C. Budinger
2:37.0,,,127-114,,Indiana full timeout
2:24.0,,,127-116,2,S. Hill makes 2-pt shot at rim (assist by M. Ellis)
2:06.0,K. Thompson misses 3-pt shot from 25 ft,,127-116,,
2:05.0,,,127-116,,Defensive rebound by C. Miles
1:57.0,,,127-116,,M. Ellis misses 2-pt shot from 1 ft
1:57.0,Defensive rebound by D. Green,,127-116,,
1:43.0,S. Curry misses 2-pt shot from 4 ft,,127-116,,
1:43.0,,,127-116,,Defensive rebound by C. Budinger
1:37.0,,,127-118,2,S. Hill makes 2-pt shot from 1 ft
1:19.0,K. Thompson misses 2-pt shot from 19 ft,,127-118,,
1:18.0,Offensive rebound by Team,,127-118,,
1:15.0,Turnover by K. Thompson (bad pass; steal by S. Hill),,127-118,,
1:00.0,,,127-118,,P. George misses 3-pt shot from 26 ft
0:59.0,,,127-118,,Offensive rebound by S. Hill
0:59.0,Personal foul by D. Green (drawn by S. Hill),,127-118,,
0:55.0,,,127-118,,C. Budinger misses 2-pt shot at rim
0:55.0,,,127-118,,Offensive rebound by C. Budinger
0:55.0,,,127-120,2,C. Budinger makes 2-pt shot at rim
0:55.0,,,127-120,,Shooting foul by S. Livingston (drawn by C. Budinger)
0:55.0,B. Rush enters the game for K. Thompson,,127-120,,
0:55.0,,,127-120,,C. Budinger misses free throw 1 of 1
0:53.0,,,127-120,,Offensive rebound by S. Hill
0:48.0,,,127-120,,C. Miles misses 3-pt shot from 29 ft
0:47.0,Defensive rebound by S. Curry,,127-120,,
0:47.0,,,127-120,,Personal foul by S. Hill (drawn by S. Curry)
0:36.0,S. Curry makes 2-pt shot from 3 ft,2,129-120,,
0:28.0,,,129-120,,S. Hill misses 2-pt shot from 1 ft
0:27.0,,,129-120,,Offensive rebound by S. Hill
0:27.0,,,129-120,,S. Hill misses 2-pt shot from 1 ft
0:26.0,,,129-120,,Offensive rebound by S. Hill
0:26.0,,,129-122,2,S. Hill makes 2-pt shot from 1 ft
0:25.0,,,129-122,,Personal foul by M. Ellis (drawn by S. Curry)
0:25.0,Technical foul by D. Green,,129-122,,
0:25.0,,,129-123,1,P. George makes technical free throw
0:25.0,S. Curry misses free throw 1 of 2,,129-123,,
0:25.0,Offensive rebound by Team,,129-123,,
0:25.0,,,129-123,,J. Hill enters the game for C. Miles
0:25.0,S. Curry makes free throw 2 of 2,1,130-123,,
0:25.0,,,130-123,,Indiana full timeout
0:25.0,,,130-123,,C. Miles enters the game for J. Hill
0:21.0,,,130-123,,Turnover by M. Ellis (bad pass; steal by D. Green)
0:17.0,,,130-123,,Personal take foul by S. Hill (drawn by S. Curry)
0:17.0,S. Curry misses free throw 1 of 2,,130-123,,
0:17.0,Offensive rebound by Team,,130-123,,
0:17.0,S. Curry makes free throw 2 of 2,1,131-123,,
0:17.0,,,131-123,,Indiana full timeout
0:13.0,,,131-123,,P. George misses 3-pt shot from 27 ft
0:11.0,Defensive rebound by D. Green,,131-123,,
0:07.0,Golden State full timeout,,131-123,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
