time,Portland,pts.away,score,pts.home,Philadelphia
4:33.0,N. Vonleh makes free throw 1 of 2,1,75-100,,
4:33.0,Personal foul by M. Leonard (drawn by I. Canaan),,75-100,,
4:33.0,N. Vonleh makes free throw 2 of 2,1,76-100,,
4:13.0,,,76-102,2,R. Holmes makes 2-pt shot from 2 ft (assist by I. Canaan)
4:13.0,,,76-102,,Shooting foul by N. Vonleh (drawn by R. Holmes)
4:13.0,,,76-103,1,R. Holmes makes free throw 1 of 1
3:49.0,T. Frazier makes 2-pt shot from 6 ft (assist by G. Henderson),2,78-103,,
3:40.0,Personal foul by N. Vonleh (drawn by C. Landry),,78-103,,
3:40.0,,,78-104,1,C. Landry makes free throw 1 of 2
3:40.0,,,78-105,1,C. Landry makes free throw 2 of 2
3:26.0,M. Leonard misses 3-pt shot from 26 ft,,78-105,,
3:24.0,,,78-105,,Defensive rebound by I. Canaan
3:12.0,,,78-108,3,H. Thompson makes 3-pt shot from 23 ft (assist by R. Holmes)
2:53.0,M. Leonard makes 2-pt shot from 19 ft (assist by T. Frazier),2,80-108,,
2:40.0,,,80-110,2,K. Marshall makes 2-pt shot from 13 ft (assist by R. Holmes)
2:24.0,N. Vonleh makes 2-pt shot from 12 ft (assist by G. Henderson),2,82-110,,
2:10.0,,,82-110,,H. Thompson misses 3-pt shot from 23 ft
2:08.0,Defensive rebound by N. Vonleh,,82-110,,
2:08.0,T. Frazier misses 3-pt shot from 24 ft,,82-110,,
2:04.0,,,82-110,,Defensive rebound by H. Thompson
1:53.0,Personal foul by T. Frazier (drawn by C. Landry),,82-110,,
1:53.0,Portland full timeout,,82-110,,
1:53.0,,,82-110,,C. Landry misses free throw 1 of 2
1:53.0,,,82-110,,Offensive rebound by Team
1:53.0,,,82-111,1,C. Landry makes free throw 2 of 2
1:38.0,P. Connaughton misses 3-pt shot from 24 ft,,82-111,,
1:31.0,,,82-111,,Defensive rebound by K. Marshall
1:30.0,,,82-114,3,K. Marshall makes 3-pt shot from 28 ft (assist by I. Canaan)
1:10.0,G. Henderson makes 3-pt shot from 25 ft (assist by N. Vonleh),3,85-114,,
0:49.0,,,85-114,,R. Holmes misses 3-pt shot from 24 ft
0:47.0,Defensive rebound by G. Henderson,,85-114,,
0:40.0,M. Leonard makes 3-pt shot from 26 ft (assist by T. Frazier),3,88-114,,
0:17.0,,,88-114,,Turnover by R. Holmes (bad pass; steal by N. Vonleh)
0:10.0,P. Connaughton misses 3-pt shot from 24 ft,,88-114,,
0:08.0,Offensive rebound by M. Leonard,,88-114,,
0:04.0,Shooting foul by H. Thompson (drawn by N. Vonleh),,88-114,,
0:04.0,N. Vonleh makes free throw 1 of 2,1,89-114,,
0:04.0,N. Vonleh misses free throw 2 of 2,,89-114,,
0:02.0,,,89-114,,Defensive rebound by R. Holmes
0:00.0,End of 4th quarter,,,,End of 4th quarter
