time,Golden State,pts.away,score,pts.home,Minnesota
4:20.0,Personal foul by S. Curry,,99-99,,
4:05.0,,,99-99,,G. Dieng misses 3-pt shot from 29 ft
4:05.0,,,99-99,,Offensive rebound by Team
4:05.0,,,99-99,,Turnover by Team (shot clock)
3:42.0,K. Thompson misses 2-pt shot from 5 ft (block by R. Rubio),,99-99,,
3:41.0,Offensive rebound by D. Green,,99-99,,
3:40.0,D. Green makes 2-pt shot from 2 ft,2,101-99,,
3:29.0,Violation by S. Curry (kicked ball),,101-99,,
3:14.0,,,101-99,,A. Wiggins misses 2-pt shot from 11 ft (block by D. Green)
3:12.0,Defensive rebound by D. Green,,101-99,,
3:03.0,S. Curry misses 3-pt shot from 25 ft,,101-99,,
3:02.0,,,101-99,,Defensive rebound by A. Wiggins
2:40.0,,,101-101,2,K. Towns makes 2-pt shot from 2 ft
2:22.0,S. Curry misses 3-pt shot from 26 ft,,101-101,,
2:21.0,,,101-101,,Defensive rebound by K. Towns
2:07.0,,,101-101,,Minnesota full timeout
2:07.0,S. Livingston enters the game for B. Rush,,101-101,,
2:07.0,H. Barnes enters the game for A. Varejao,,101-101,,
2:02.0,,,101-101,,Z. LaVine misses 2-pt shot from 23 ft
2:01.0,Defensive rebound by S. Livingston,,101-101,,
1:47.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,103-101,,
1:47.0,,,103-101,,Minnesota full timeout
1:47.0,,,103-101,,T. Prince enters the game for G. Dieng
1:37.0,,,103-101,,Z. LaVine misses 3-pt shot from 25 ft
1:35.0,,,103-101,,Offensive rebound by K. Towns
1:34.0,Personal foul by D. Green,,103-101,,
1:28.0,,,103-101,,K. Towns misses 2-pt shot from 12 ft
1:27.0,Defensive rebound by S. Livingston,,103-101,,
1:11.0,H. Barnes misses 3-pt shot from 24 ft,,103-101,,
1:09.0,Offensive rebound by S. Curry,,103-101,,
1:08.0,D. Green makes 2-pt shot from 1 ft (assist by S. Livingston),2,105-101,,
0:56.0,,,105-103,2,R. Rubio makes 2-pt shot from 20 ft (assist by A. Wiggins)
0:38.0,Golden State full timeout,,105-103,,
0:35.0,D. Green misses 3-pt shot from 28 ft,,105-103,,
0:34.0,,,105-103,,Defensive rebound by A. Wiggins
0:16.0,,,105-103,,A. Wiggins misses 2-pt shot from 18 ft
0:15.0,Defensive rebound by K. Thompson,,105-103,,
0:13.0,,,105-103,,Personal take foul by A. Wiggins
0:13.0,S. Curry makes free throw 1 of 2,1,106-103,,
0:13.0,,,106-103,,G. Dieng enters the game for R. Rubio
0:13.0,S. Curry makes free throw 2 of 2,1,107-103,,
0:13.0,,,107-103,,Minnesota full timeout
0:13.0,,,107-103,,R. Rubio enters the game for G. Dieng
0:13.0,,,107-103,,S. Muhammad enters the game for T. Prince
0:07.0,,,107-103,,Shooting foul by S. Curry (drawn by A. Wiggins)
0:07.0,,,107-103,,A. Wiggins misses free throw 1 of 3
0:07.0,,,107-103,,Offensive rebound by Team
0:07.0,,,107-104,1,A. Wiggins makes free throw 2 of 3
0:07.0,,,107-104,,Minnesota full timeout
0:07.0,,,107-104,,G. Dieng enters the game for S. Muhammad
0:07.0,,,107-104,,A. Wiggins misses free throw 3 of 3
0:07.0,Defensive rebound by K. Thompson,,107-104,,
0:06.0,,,107-104,,Personal take foul by K. Towns
0:06.0,K. Thompson makes free throw 1 of 2,1,108-104,,
0:06.0,K. Thompson makes free throw 2 of 2,1,109-104,,
0:01.0,,,109-104,,Z. LaVine misses 3-pt shot from 25 ft
0:00.0,,,109-104,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
