time,Sacramento,pts.away,score,pts.home,Indiana
1:14.0,Defensive rebound by R. Rondo,,106-106,,
1:05.0,Shooting foul by I. Mahinmi (drawn by D. Cousins),,106-106,,
1:05.0,D. Cousins makes free throw 1 of 2,1,107-106,,
1:05.0,,,107-106,,J. Hill enters the game for I. Mahinmi
1:05.0,D. Cousins makes free throw 2 of 2,1,108-106,,
0:48.0,,,108-106,,P. George misses 3-pt shot from 26 ft
0:46.0,,,108-106,,Offensive rebound by C. Miles
0:36.0,,,108-106,,P. George misses 2-pt shot from 20 ft
0:35.0,Defensive rebound by O. Casspi,,108-106,,
0:10.0,D. Collison misses 3-pt shot from 26 ft,,108-106,,
0:09.0,,,108-106,,Defensive rebound by P. George
0:08.0,,,108-106,,Indiana full timeout
0:04.0,Personal take foul by R. Rondo (drawn by M. Ellis),,108-106,,
0:04.0,,,108-106,,Indiana full timeout
0:00.0,,,108-106,,P. George misses 2-pt shot from 16 ft
0:00.0,,,108-106,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
