time,Indiana,pts.away,score,pts.home,Memphis
1:54.0,Defensive rebound by J. Hill,,82-94,,
1:49.0,Turnover by J. Hill (traveling),,82-94,,
1:49.0,G. Robinson enters the game for P. George,,82-94,,
1:49.0,,,82-94,,M. Chalmers enters the game for C. Lee
1:27.0,,,82-94,,M. Chalmers misses 3-pt shot from 23 ft
1:25.0,,,82-94,,Offensive rebound by M. Gasol
1:06.0,,,82-94,,M. Gasol misses 2-pt shot from 20 ft
1:05.0,Defensive rebound by G. Robinson,,82-94,,
1:01.0,Turnover by C. Miles (lost ball),,82-94,,
1:01.0,S. Hill enters the game for J. Hill,,82-94,,
1:01.0,J. Young enters the game for C. Miles,,82-94,,
1:01.0,L. Allen enters the game for R. Stuckey,,82-94,,
1:01.0,C. Budinger enters the game for M. Ellis,,82-94,,
0:38.0,,,82-96,2,M. Conley makes 2-pt shot from 4 ft
0:25.0,G. Robinson makes 2-pt shot from 19 ft,2,84-96,,
0:01.0,,,84-96,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
