time,Dallas,pts.away,score,pts.home,Portland
3:44.0,,,86-101,2,D. Lillard makes 2-pt shot from 20 ft
3:35.0,Shooting foul by C. McCollum (drawn by D. Williams),,86-101,,
3:35.0,D. Williams makes free throw 1 of 2,1,87-101,,
3:35.0,D. Williams makes free throw 2 of 2,1,88-101,,
3:21.0,,,88-101,,C. McCollum misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by Team,,88-101,,
3:04.0,S. Mejri makes 2-pt shot from 5 ft (assist by W. Matthews),2,90-101,,
2:41.0,,,90-101,,M. Plumlee misses 2-pt shot from 1 ft
2:41.0,Defensive rebound by D. Nowitzki,,90-101,,
2:26.0,D. Williams makes 2-pt shot from 1 ft,2,92-101,,
1:59.0,,,92-101,,A. Aminu misses 3-pt shot from 24 ft
1:59.0,Defensive rebound by W. Matthews,,92-101,,
1:52.0,,,92-101,,Personal foul by A. Aminu
1:46.0,W. Matthews makes 3-pt shot from 25 ft (assist by J. Barea),3,95-101,,
1:27.0,,,95-101,,D. Lillard misses 2-pt shot from 6 ft (block by W. Matthews)
1:26.0,Defensive rebound by W. Matthews,,95-101,,
1:24.0,Turnover by D. Nowitzki (bad pass),,95-101,,
1:02.0,,,95-104,3,A. Crabbe makes 3-pt shot from 24 ft (assist by C. McCollum)
0:56.0,D. Nowitzki makes 3-pt shot from 24 ft,3,98-104,,
0:34.0,,,98-104,,Turnover by D. Lillard (bad pass)
0:34.0,Dallas full timeout,,98-104,,
0:34.0,D. Harris enters the game for S. Mejri,,98-104,,
0:34.0,,,98-104,,M. Harkless enters the game for M. Plumlee
0:30.0,D. Williams misses 3-pt shot from 25 ft,,98-104,,
0:29.0,,,98-104,,Defensive rebound by D. Lillard
0:26.0,Personal take foul by D. Williams,,98-104,,
0:26.0,,,98-105,1,D. Lillard makes free throw 1 of 2
0:26.0,,,98-106,1,D. Lillard makes free throw 2 of 2
0:19.0,Shooting foul by A. Crabbe (drawn by D. Nowitzki),,98-106,,
0:19.0,D. Nowitzki makes 2-pt shot from 2 ft,2,100-106,,
0:19.0,D. Nowitzki makes free throw 1 of 1,1,101-106,,
0:16.0,Personal take foul by D. Harris,,101-106,,
0:16.0,,,101-107,1,C. McCollum makes free throw 1 of 2
0:16.0,,,101-108,1,C. McCollum makes free throw 2 of 2
0:12.0,,,101-108,,Personal foul by D. Lillard
0:12.0,D. Williams makes free throw 1 of 3,1,102-108,,
0:12.0,D. Williams makes free throw 2 of 3,1,103-108,,
0:12.0,D. Williams misses free throw 3 of 3,,103-108,,
0:12.0,,,103-108,,Defensive rebound by A. Aminu
0:12.0,,,103-108,,Portland full timeout
0:12.0,,,103-108,,B. Roberts enters the game for M. Harkless
0:12.0,R. Felton enters the game for D. Nowitzki,,103-108,,
0:12.0,J. Anderson enters the game for D. Williams,,103-108,,
0:11.0,Personal take foul by R. Felton,,103-108,,
0:11.0,,,103-108,,C. McCollum misses free throw 1 of 2
0:11.0,,,103-108,,Offensive rebound by Team
0:11.0,D. Nowitzki enters the game for R. Felton,,103-108,,
0:11.0,D. Williams enters the game for J. Anderson,,103-108,,
0:11.0,,,103-108,,G. Henderson enters the game for B. Roberts
0:11.0,,,103-109,1,C. McCollum makes free throw 2 of 2
0:03.0,D. Nowitzki misses 3-pt shot from 25 ft,,103-109,,
0:02.0,Offensive rebound by D. Williams,,103-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
