time,Houston,pts.away,score,pts.home,New York
1:01.0,M. Thornton misses 3-pt shot from 25 ft,,98-101,,
1:00.0,,,98-101,,Defensive rebound by A. Afflalo
0:49.0,,,98-101,,Turnover by J. Calderon (lost ball)
0:36.0,J. Harden misses 3-pt shot from 25 ft,,98-101,,
0:35.0,Offensive rebound by D. Howard,,98-101,,
0:32.0,M. Thornton makes 3-pt shot from 23 ft (assist by D. Howard),3,101-101,,
0:32.0,,,101-101,,New York full timeout
0:32.0,,,101-101,,L. Galloway enters the game for K. Seraphin
0:19.0,,,101-101,,L. Thomas misses 2-pt shot from 22 ft
0:19.0,Defensive rebound by P. Beverley,,101-101,,
0:00.0,J. Harden misses 2-pt shot from 19 ft,,101-101,,
0:00.0,Offensive rebound by Team,,101-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:46.0,D. Howard makes 2-pt shot at rim (assist by M. Thornton),2,103-101,,
4:46.0,Shooting foul by K. Porzingis (drawn by D. Howard),,103-101,,
4:46.0,D. Howard misses free throw 1 of 1,,103-101,,
4:45.0,,,103-101,,Defensive rebound by K. Seraphin
4:28.0,,,103-103,2,K. Porzingis makes 2-pt shot from 2 ft (assist by K. Seraphin)
4:15.0,M. Thornton makes 2-pt shot from 18 ft,2,105-103,,
3:53.0,,,105-103,,Turnover by L. Galloway (bad pass; steal by T. Ariza)
3:47.0,J. Harden misses 3-pt shot from 25 ft,,105-103,,
3:46.0,,,105-103,,Defensive rebound by J. Calderon
3:43.0,,,105-103,,Turnover by J. Calderon (lost ball; steal by P. Beverley)
3:36.0,M. Thornton makes 3-pt shot from 23 ft (assist by T. Ariza),3,108-103,,
3:35.0,,,108-103,,New York full timeout
3:16.0,,,108-105,2,A. Afflalo makes 2-pt shot from 8 ft
2:58.0,M. Thornton misses 2-pt shot from 13 ft,,108-105,,
2:57.0,,,108-105,,Defensive rebound by K. Porzingis
2:39.0,,,108-107,2,A. Afflalo makes 2-pt shot from 11 ft
2:17.0,Shooting foul by K. Porzingis (drawn by D. Howard),,108-107,,
2:17.0,D. Howard misses free throw 1 of 2,,108-107,,
2:17.0,Offensive rebound by Team,,108-107,,
2:17.0,D. Howard makes free throw 2 of 2,1,109-107,,
1:59.0,,,109-109,2,A. Afflalo makes 2-pt shot from 18 ft (assist by K. Seraphin)
1:41.0,J. Harden makes 2-pt shot from 2 ft,2,111-109,,
1:31.0,,,111-111,2,L. Galloway makes 2-pt shot from 14 ft
1:12.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,114-111,,
1:12.0,,,114-111,,New York full timeout
1:12.0,C. Capela enters the game for M. Thornton,,114-111,,
0:56.0,Personal foul by P. Beverley (drawn by J. Calderon),,114-111,,
0:43.0,,,114-111,,L. Galloway misses 3-pt shot from 26 ft
0:42.0,Defensive rebound by D. Howard,,114-111,,
0:22.0,J. Harden misses 3-pt shot from 24 ft,,114-111,,
0:21.0,,,114-111,,Defensive rebound by K. Seraphin
0:11.0,,,114-111,,A. Afflalo misses 2-pt shot from 22 ft
0:11.0,,,114-111,,Offensive rebound by Team
0:11.0,,,114-111,,New York full timeout
0:08.0,,,114-111,,J. Calderon misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by J. Harden,,114-111,,
0:01.0,,,114-111,,Personal take foul by K. Seraphin (drawn by J. Harden)
0:01.0,Houston full timeout,,114-111,,
0:01.0,,,114-111,,C. Early enters the game for J. Calderon
0:01.0,,,114-111,,L. Thomas enters the game for K. Seraphin
0:01.0,J. Terry enters the game for C. Capela,,114-111,,
0:01.0,M. Thornton enters the game for P. Beverley,,114-111,,
0:01.0,,,114-111,,Personal foul by L. Galloway (drawn by M. Thornton)
0:01.0,M. Thornton makes free throw 1 of 2,1,115-111,,
0:01.0,M. Thornton makes free throw 2 of 2,1,116-111,,
0:00.0,,,116-111,,L. Galloway misses 3-pt shot from 73 ft
0:00.0,,,116-111,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
