time,Dallas,pts.away,score,pts.home,LA Lakers
0:33.0,,,90-90,,Offensive rebound by N. Young
0:14.0,,,90-90,,Offensive foul by L. Williams
0:14.0,,,90-90,,Turnover by L. Williams (offensive foul)
0:14.0,Dallas full timeout,,90-90,,
0:02.0,D. Nowitzki makes 2-pt shot from 13 ft,2,92-90,,
0:02.0,,,92-90,,LA Lakers full timeout
0:02.0,D. Powell enters the game for D. Nowitzki,,92-90,,
0:02.0,R. Felton enters the game for J. Barea,,92-90,,
0:00.0,,,92-90,,J. Randle misses 3-pt shot from 25 ft
0:00.0,,,92-90,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
