time,Boston,pts.away,score,pts.home,Portland
6:50.0,,,91-102,,Turnover by C. McCollum (lost ball; steal by A. Bradley)
6:46.0,A. Bradley makes 2-pt shot from 22 ft,2,93-102,,
6:35.0,,,93-102,,Portland full timeout
6:35.0,,,93-102,,D. Lillard enters the game for A. Crabbe
6:34.0,,,93-102,,Turnover by G. Henderson (lost ball; steal by E. Turner)
6:29.0,E. Turner makes 2-pt shot from 2 ft,2,95-102,,
6:11.0,,,95-102,,G. Henderson misses 2-pt shot from 2 ft (block by A. Johnson)
6:10.0,Defensive rebound by M. Smart,,95-102,,
6:04.0,Shooting foul by E. Davis (drawn by A. Johnson),,95-102,,
6:04.0,A. Johnson makes free throw 1 of 2,1,96-102,,
6:04.0,A. Johnson makes free throw 2 of 2,1,97-102,,
5:50.0,,,97-104,2,C. McCollum makes 2-pt shot from 9 ft
5:32.0,I. Thomas misses 2-pt shot from 13 ft,,97-104,,
5:32.0,,,97-104,,Defensive rebound by Team
5:32.0,Loose ball foul by A. Johnson,,97-104,,
5:12.0,,,97-104,,D. Lillard misses 3-pt shot from 26 ft
5:11.0,Defensive rebound by M. Smart,,97-104,,
5:10.0,Turnover by M. Smart (bad pass),,97-104,,
4:59.0,,,97-104,,Offensive foul by E. Davis
4:59.0,,,97-104,,Turnover by E. Davis (offensive foul)
4:45.0,A. Bradley misses 2-pt shot from 11 ft,,97-104,,
4:43.0,Offensive rebound by A. Johnson,,97-104,,
4:42.0,Shooting foul by E. Davis (drawn by A. Johnson),,97-104,,
4:42.0,A. Johnson makes free throw 1 of 2,1,98-104,,
4:42.0,,,98-104,,A. Crabbe enters the game for G. Henderson
4:42.0,A. Johnson misses free throw 2 of 2,,98-104,,
4:41.0,,,98-104,,Defensive rebound by A. Crabbe
4:22.0,,,98-104,,C. McCollum misses 2-pt shot from 2 ft (block by E. Turner)
4:22.0,,,98-104,,Offensive rebound by Team
4:22.0,J. Crowder enters the game for M. Smart,,98-104,,
4:17.0,,,98-104,,A. Aminu misses 3-pt shot from 23 ft
4:16.0,Defensive rebound by I. Thomas,,98-104,,
4:13.0,Turnover by A. Johnson (bad pass),,98-104,,
3:52.0,,,98-104,,C. McCollum misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by A. Johnson,,98-104,,
3:44.0,,,98-104,,Shooting block foul by E. Davis (drawn by I. Thomas)
3:44.0,,,98-104,,M. Plumlee enters the game for E. Davis
3:44.0,I. Thomas makes free throw 1 of 2,1,99-104,,
3:44.0,I. Thomas misses free throw 2 of 2,,99-104,,
3:43.0,Offensive rebound by J. Crowder,,99-104,,
3:39.0,I. Thomas makes 3-pt shot from 22 ft (assist by J. Crowder),3,102-104,,
3:20.0,,,102-104,,Shooting foul by E. Turner (drawn by M. Plumlee)
3:20.0,,,102-105,1,M. Plumlee makes free throw 1 of 2
3:20.0,,,102-105,,M. Plumlee misses free throw 2 of 2
3:17.0,Defensive rebound by J. Crowder,,102-105,,
3:06.0,I. Thomas misses 3-pt shot from 24 ft (block by A. Crabbe),,102-105,,
3:05.0,,,102-105,,Defensive rebound by C. McCollum
2:59.0,Personal block foul by J. Crowder,,102-105,,
2:59.0,Official timeout,,102-105,,
2:50.0,,,102-107,2,C. McCollum makes 2-pt shot from 2 ft (assist by A. Crabbe)
2:27.0,J. Crowder misses 3-pt shot from 24 ft,,102-107,,
2:25.0,Offensive rebound by A. Johnson,,102-107,,
2:18.0,Shooting foul by A. Aminu (drawn by I. Thomas),,102-107,,
2:18.0,I. Thomas makes free throw 1 of 2,1,103-107,,
2:18.0,I. Thomas makes free throw 2 of 2,1,104-107,,
2:15.0,Personal take foul by J. Crowder,,104-107,,
2:15.0,,,104-108,1,M. Plumlee makes free throw 1 of 2
2:15.0,,,104-108,,M. Plumlee misses free throw 2 of 2
2:14.0,Defensive rebound by J. Crowder,,104-108,,
1:55.0,A. Johnson misses 2-pt shot from 3 ft,,104-108,,
1:55.0,Offensive rebound by A. Johnson,,104-108,,
1:55.0,A. Johnson makes 2-pt shot from 3 ft,2,106-108,,
1:29.0,,,106-108,,C. McCollum misses 2-pt shot from 17 ft
1:28.0,,,106-108,,Offensive rebound by A. Aminu
1:25.0,,,106-108,,A. Aminu misses 2-pt shot at rim
1:25.0,Defensive rebound by A. Johnson,,106-108,,
1:23.0,Jump ball: A. Johnson vs. D. Lillard (J. Crowder gains possession),,,,Jump ball: A. Johnson vs. D. Lillard (J. Crowder gains possession)
1:10.0,I. Thomas misses 2-pt shot from 4 ft (block by A. Aminu),,106-108,,
1:09.0,Offensive rebound by J. Crowder,,106-108,,
1:08.0,J. Crowder makes 3-pt shot from 23 ft,3,109-108,,
1:08.0,,,109-108,,Portland full timeout
1:04.0,,,109-110,2,C. McCollum makes 2-pt shot from 12 ft
0:53.0,Turnover by I. Thomas (lost ball; steal by A. Crabbe),,109-110,,
0:49.0,,,109-112,2,A. Aminu makes 2-pt shot at rim (assist by C. McCollum)
0:49.0,Boston full timeout,,109-112,,
0:45.0,A. Bradley misses 3-pt shot from 25 ft,,109-112,,
0:44.0,,,109-112,,Defensive rebound by A. Aminu
0:29.0,Personal foul by A. Bradley,,109-112,,
0:29.0,,,109-113,1,D. Lillard makes free throw 1 of 2
0:29.0,K. Olynyk enters the game for A. Johnson,,109-113,,
0:29.0,,,109-113,,M. Harkless enters the game for M. Plumlee
0:29.0,M. Smart enters the game for E. Turner,,109-113,,
0:29.0,,,109-114,1,D. Lillard makes free throw 2 of 2
0:20.0,A. Bradley misses 3-pt shot from 23 ft,,109-114,,
0:20.0,,,109-114,,Defensive rebound by A. Crabbe
0:16.0,Personal take foul by M. Smart,,109-114,,
0:16.0,,,109-115,1,D. Lillard makes free throw 1 of 2
0:16.0,,,109-116,1,D. Lillard makes free throw 2 of 2
0:16.0,Boston full timeout,,109-116,,
0:12.0,K. Olynyk misses 2-pt shot from 3 ft (block by M. Harkless),,109-116,,
0:10.0,,,109-116,,Defensive rebound by A. Crabbe
0:00.0,End of 4th quarter,,,,End of 4th quarter
