time,Chicago,pts.away,score,pts.home,Brooklyn
4:58.0,,,48-41,,J. Johnson misses 2-pt shot from 13 ft
4:56.0,Defensive rebound by J. Butler,,48-41,,
4:44.0,P. Gasol makes 2-pt shot from 19 ft,2,50-41,,
4:42.0,,,50-41,,Brooklyn full timeout
4:42.0,N. Mirotic enters the game for T. Gibson,,50-41,,
4:42.0,,,50-41,,B. Lopez enters the game for T. Robinson
4:28.0,,,50-43,2,B. Lopez makes 2-pt shot from 18 ft (assist by J. Johnson)
4:11.0,N. Mirotic misses 3-pt shot from 28 ft,,50-43,,
4:10.0,,,50-43,,Defensive rebound by R. Hollis-Jefferson
4:02.0,,,50-45,2,J. Johnson makes 2-pt shot from 6 ft (assist by S. Larkin)
3:48.0,Turnover by P. Gasol (bad pass),,50-45,,
3:37.0,,,50-47,2,B. Lopez makes 2-pt shot from 18 ft (assist by S. Larkin)
3:23.0,Shooting foul by S. Larkin (drawn by D. Rose),,50-47,,
3:23.0,D. Rose makes free throw 1 of 2,1,51-47,,
3:23.0,,,51-47,,M. Brown enters the game for S. Larkin
3:23.0,D. Rose makes free throw 2 of 2,1,52-47,,
3:09.0,,,52-49,2,T. Young makes 2-pt shot from 20 ft (assist by J. Johnson)
2:52.0,Turnover by N. Mirotic (bad pass),,52-49,,
2:52.0,Official timeout,,52-49,,
2:37.0,,,52-49,,J. Johnson misses 2-pt shot from 7 ft
2:36.0,,,52-49,,Offensive rebound by T. Young
2:35.0,,,52-49,,T. Young misses 2-pt shot from 1 ft
2:34.0,Defensive rebound by Team,,52-49,,
2:18.0,P. Gasol makes 2-pt shot from 18 ft,2,54-49,,
2:04.0,,,54-51,2,B. Lopez makes 2-pt shot from 7 ft (assist by J. Johnson)
2:04.0,,,54-51,,Shooting foul by D. McDermott (drawn by B. Lopez)
2:04.0,E. Moore enters the game for D. McDermott,,54-51,,
2:04.0,,,54-51,,B. Lopez misses free throw 1 of 1
2:03.0,Defensive rebound by N. Mirotic,,54-51,,
1:44.0,P. Gasol misses 2-pt shot from 18 ft,,54-51,,
1:43.0,,,54-51,,Defensive rebound by B. Lopez
1:35.0,,,54-53,2,B. Lopez makes 2-pt shot from 19 ft (assist by M. Brown)
1:23.0,,,54-53,,Personal foul by J. Johnson (drawn by J. Butler)
1:23.0,J. Noah enters the game for P. Gasol,,54-53,,
1:23.0,,,54-53,,B. Bogdanovic enters the game for T. Young
1:08.0,N. Mirotic misses 2-pt shot from 19 ft,,54-53,,
1:07.0,Offensive rebound by J. Butler,,54-53,,
1:06.0,J. Butler makes 2-pt shot from 2 ft,2,56-53,,
0:49.0,Personal foul by J. Noah (drawn by B. Lopez),,56-53,,
0:49.0,,,56-54,1,B. Lopez makes free throw 1 of 2
0:49.0,,,56-55,1,B. Lopez makes free throw 2 of 2
0:37.0,,,56-55,,Personal foul by J. Johnson (drawn by J. Butler)
0:37.0,J. Butler makes free throw 1 of 2,1,57-55,,
0:37.0,,,57-55,,W. Ellington enters the game for R. Hollis-Jefferson
0:37.0,J. Butler makes free throw 2 of 2,1,58-55,,
0:29.0,,,58-55,,M. Brown misses 2-pt shot from 22 ft
0:28.0,Defensive rebound by J. Butler,,58-55,,
0:08.0,E. Moore misses 3-pt shot from 23 ft (block by W. Ellington),,58-55,,
0:07.0,,,58-55,,Defensive rebound by M. Brown
0:03.0,,,58-55,,Turnover by B. Bogdanovic (lost ball; steal by J. Butler)
0:01.0,N. Mirotic misses 3-pt shot from 34 ft,,58-55,,
0:00.0,Offensive rebound by Team,,58-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,J. Butler misses 2-pt shot from 16 ft,,58-55,,
11:40.0,,,58-55,,Defensive rebound by B. Lopez
11:25.0,,,58-55,,Turnover by B. Lopez (lost ball; steal by J. Butler)
11:21.0,J. Butler makes 2-pt shot at rim,2,60-55,,
11:03.0,,,60-55,,J. Johnson misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by P. Gasol,,60-55,,
10:48.0,P. Gasol misses 2-pt shot from 18 ft,,60-55,,
10:47.0,,,60-55,,Defensive rebound by W. Ellington
10:39.0,,,60-55,,W. Ellington misses 2-pt shot from 2 ft
10:37.0,Defensive rebound by P. Gasol,,60-55,,
10:27.0,T. Snell misses 3-pt shot from 26 ft,,60-55,,
10:26.0,,,60-55,,Defensive rebound by J. Johnson
10:22.0,Violation by J. Butler (kicked ball),,60-55,,
10:12.0,,,60-55,,J. Johnson misses 2-pt shot from 4 ft (block by N. Mirotic)
10:11.0,,,60-55,,Offensive rebound by J. Johnson
10:10.0,,,60-55,,J. Johnson misses 2-pt shot at rim
10:09.0,,,60-55,,Offensive rebound by Team
10:08.0,,,60-55,,Turnover by S. Larkin (lost ball)
9:57.0,D. Rose misses 2-pt shot from 2 ft,,60-55,,
9:55.0,,,60-55,,Defensive rebound by J. Johnson
9:47.0,,,60-55,,S. Larkin misses 3-pt shot from 24 ft
9:46.0,Defensive rebound by T. Snell,,60-55,,
9:34.0,T. Snell makes 2-pt shot from 4 ft (assist by N. Mirotic),2,62-55,,
9:15.0,,,62-57,2,S. Larkin makes 2-pt shot from 8 ft
8:57.0,,,62-57,,Personal foul by J. Johnson (drawn by N. Mirotic)
8:55.0,,,62-57,,Personal foul by B. Lopez (drawn by P. Gasol)
8:49.0,D. Rose makes 2-pt shot from 1 ft (assist by P. Gasol),2,64-57,,
8:49.0,Shooting foul by S. Larkin (drawn by D. Rose),,64-57,,
8:49.0,D. Rose makes free throw 1 of 1,1,65-57,,
8:39.0,,,65-57,,S. Larkin misses 2-pt shot from 18 ft
8:39.0,Defensive rebound by Team,,65-57,,
8:25.0,T. Snell makes 3-pt shot from 25 ft (assist by J. Butler),3,68-57,,
8:21.0,,,68-57,,Brooklyn full timeout
8:21.0,,,68-57,,D. Sloan enters the game for S. Larkin
8:03.0,,,68-59,2,T. Young makes 2-pt shot from 5 ft
7:44.0,D. Rose misses 2-pt shot from 7 ft,,68-59,,
7:43.0,,,68-59,,Defensive rebound by B. Lopez
7:40.0,Personal foul by D. Rose (drawn by D. Sloan),,68-59,,
7:40.0,Technical foul by D. Rose (drawn by D. Sloan),,68-59,,
7:40.0,,,68-60,1,J. Johnson makes technical free throw
