time,Minnesota,pts.away,score,pts.home,Philadelphia
3:57.0,,,92-101,2,N. Noel makes 2-pt shot at rim (assist by N. Stauskas)
3:49.0,R. Rubio misses 2-pt shot from 1 ft,,92-101,,
3:38.0,,,92-101,,Defensive rebound by N. Noel
3:31.0,,,92-103,2,C. Landry makes 2-pt shot at rim (assist by I. Smith)
3:30.0,Minnesota full timeout,,92-103,,
3:19.0,,,92-103,,Personal foul by J. Grant (drawn by R. Rubio)
3:12.0,,,92-103,,J. Sampson enters the game for J. Grant
3:12.0,Shooting foul by J. Grant (drawn by A. Wiggins),,92-103,,
3:12.0,A. Wiggins makes free throw 1 of 2,1,93-103,,
3:12.0,A. Wiggins makes free throw 2 of 2,1,94-103,,
2:49.0,,,94-105,2,I. Smith makes 2-pt shot from 18 ft
2:36.0,S. Muhammad makes 3-pt shot from 23 ft (assist by A. Wiggins),3,97-105,,
2:35.0,,,97-105,,Philadelphia full timeout
2:15.0,,,97-107,2,I. Smith makes 2-pt shot from 19 ft
2:00.0,Turnover by A. Wiggins (lost ball; steal by I. Smith),,97-107,,
1:56.0,,,97-107,,N. Stauskas misses 2-pt shot from 2 ft (block by A. Wiggins)
1:55.0,,,97-107,,Offensive rebound by J. Sampson
1:36.0,,,97-107,,I. Smith misses 2-pt shot from 8 ft
1:35.0,,,97-107,,Offensive rebound by N. Stauskas
1:07.0,,,97-109,2,I. Smith makes 2-pt shot from 6 ft
0:54.0,R. Rubio misses 2-pt shot from 14 ft,,97-109,,
0:49.0,,,97-109,,Defensive rebound by N. Stauskas
0:29.0,,,97-109,,J. Sampson misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by K. Garnett,,97-109,,
0:29.0,Shooting foul by J. Sampson (drawn by A. Wiggins),,97-109,,
0:29.0,A. Wiggins makes free throw 1 of 2,1,98-109,,
0:29.0,A. Wiggins makes free throw 2 of 2,1,99-109,,
0:29.0,,,99-109,,Philadelphia full timeout
0:29.0,N. Bjelica enters the game for K. Garnett,,99-109,,
0:29.0,,,99-109,,R. Holmes enters the game for N. Noel
0:29.0,,,99-109,,I. Canaan enters the game for J. Sampson
0:07.0,,,99-109,,I. Smith misses 2-pt shot from 18 ft
0:06.0,Defensive rebound by K. Towns,,99-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
