time,Milwaukee,pts.away,score,pts.home,Charlotte
2:43.0,J. O'Bryant enters the game for K. Middleton,,102-85,,
2:43.0,T. Ennis enters the game for M. Carter-Williams,,102-85,,
2:27.0,J. O'Bryant misses 2-pt shot from 16 ft,,102-85,,
2:25.0,,,102-85,,Defensive rebound by A. Harrison
2:13.0,,,102-88,3,T. Daniels makes 3-pt shot from 24 ft (assist by B. Roberts)
1:48.0,R. Vaughn misses 2-pt shot from 18 ft,,102-88,,
1:47.0,,,102-88,,Defensive rebound by T. Daniels
1:33.0,,,102-88,,Shooting foul by M. Plumlee (drawn by T. Hansbrough)
1:33.0,,,102-89,1,T. Hansbrough makes free throw 1 of 2
1:33.0,,,102-90,1,T. Hansbrough makes free throw 2 of 2
1:15.0,Turnover by J. O'Bryant (bad pass; steal by T. Hansbrough),,102-90,,
1:15.0,Personal foul by T. Ennis (drawn by B. Roberts),,102-90,,
1:15.0,,,102-91,1,B. Roberts makes free throw 1 of 2
1:15.0,,,102-92,1,B. Roberts makes free throw 2 of 2
0:55.0,Turnover by J. O'Bryant (traveling),,102-92,,
0:44.0,,,102-92,,Turnover by B. Roberts (bad pass; steal by R. Vaughn)
0:25.0,C. Copeland makes 3-pt shot from 25 ft (assist by T. Ennis),3,105-92,,
0:17.0,,,105-92,,T. Hansbrough misses 3-pt shot from 25 ft
0:16.0,Defensive rebound by C. Copeland,,105-92,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
