time,San Antonio,pts.away,score,pts.home,Oklahoma City
5:21.0,,,84-97,,Oklahoma City full timeout
5:21.0,,,84-97,,S. Adams enters the game for E. Kanter
5:01.0,,,84-97,,R. Westbrook misses 2-pt shot from 2 ft
5:01.0,,,84-97,,Offensive rebound by S. Adams
4:49.0,,,84-99,2,K. Durant makes 2-pt shot at rim
4:26.0,L. Aldridge misses 2-pt shot from 2 ft,,84-99,,
4:25.0,,,84-99,,Defensive rebound by A. Roberson
4:17.0,,,84-99,,Turnover by R. Westbrook (lost ball; steal by D. Green)
4:12.0,K. Leonard misses 2-pt shot from 2 ft (block by A. Roberson),,84-99,,
4:12.0,Offensive rebound by Team,,84-99,,
4:12.0,,,84-99,,D. Waiters enters the game for A. Roberson
4:09.0,D. Green makes 3-pt shot from 23 ft (assist by A. Miller),3,87-99,,
3:49.0,,,87-99,,Turnover by K. Durant (lost ball; steal by K. Leonard)
3:45.0,,,87-99,,Flagrant foul type 1 by R. Westbrook
3:45.0,D. Green misses flagrant free throw 1 of 2,,87-99,,
3:45.0,Offensive rebound by Team,,87-99,,
3:45.0,D. Green makes flagrant free throw 2 of 2,1,88-99,,
3:39.0,T. Duncan misses 2-pt shot from 14 ft,,88-99,,
3:38.0,,,88-99,,Defensive rebound by R. Westbrook
3:22.0,,,88-99,,Turnover by K. Durant (lost ball; steal by D. Green)
3:12.0,T. Duncan misses 2-pt shot from 2 ft (block by S. Ibaka),,88-99,,
