time,Charlotte,pts.away,score,pts.home,Philadelphia
2:00.0,,,96-80,2,N. Stauskas makes 2-pt shot at rim (assist by K. Marshall)
1:45.0,C. Zeller misses 2-pt shot from 2 ft,,96-80,,
1:43.0,,,96-80,,Defensive rebound by K. Marshall
1:40.0,,,96-80,,Turnover by K. Marshall (lost ball; steal by N. Batum)
1:24.0,C. Lee makes 2-pt shot at rim (assist by N. Batum),2,98-80,,
1:16.0,Personal foul by C. Lee,,98-80,,
1:16.0,J. Gutierrez enters the game for N. Batum,,98-80,,
1:16.0,T. Daniels enters the game for M. Williams,,98-80,,
1:16.0,F. Kaminsky enters the game for C. Zeller,,98-80,,
1:16.0,T. Hansbrough enters the game for K. Walker,,98-80,,
1:10.0,,,98-82,2,C. Wood makes 2-pt shot at rim (assist by R. Covington)
0:57.0,T. Daniels makes 2-pt shot from 12 ft (assist by J. Gutierrez),2,100-82,,
0:49.0,,,100-82,,T. McConnell misses 2-pt shot from 1 ft
0:48.0,Defensive rebound by T. Hansbrough,,100-82,,
0:36.0,T. Hansbrough misses 2-pt shot from 14 ft,,100-82,,
0:34.0,,,100-82,,Defensive rebound by C. Wood
0:27.0,,,100-85,3,R. Covington makes 3-pt shot from 26 ft (assist by T. McConnell)
0:03.0,Turnover by Team (shot clock),,100-85,,
0:01.0,,,100-85,,R. Covington misses 3-pt shot from 36 ft
0:00.0,,,100-85,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
