time,Milwaukee,pts.away,score,pts.home,San Antonio
4:17.0,,,59-88,,Defensive rebound by K. Anderson
4:07.0,,,59-88,,Turnover by K. Anderson (bad pass; steal by R. Vaughn)
4:00.0,T. Ennis makes 2-pt shot from 2 ft,2,61-88,,
3:41.0,,,61-90,2,B. Diaw makes 2-pt shot from 3 ft
3:26.0,R. Vaughn makes 3-pt shot from 23 ft (assist by C. Copeland),3,64-90,,
3:02.0,,,64-90,,R. Butler misses 3-pt shot from 25 ft
3:00.0,Defensive rebound by R. Vaughn,,64-90,,
2:50.0,J. O'Bryant makes 2-pt shot from 18 ft,2,66-90,,
2:33.0,,,66-90,,Turnover by M. Bonner (bad pass; steal by M. Plumlee)
2:25.0,T. Ennis misses 2-pt shot from 5 ft,,66-90,,
2:21.0,,,66-90,,Defensive rebound by K. Anderson
2:07.0,,,66-93,3,R. Butler makes 3-pt shot from 25 ft (assist by J. Simmons)
1:52.0,R. Vaughn misses 2-pt shot from 14 ft,,66-93,,
1:51.0,Offensive rebound by Team,,66-93,,
1:51.0,Milwaukee full timeout,,66-93,,
1:49.0,J. O'Bryant makes 2-pt shot from 2 ft (assist by C. Copeland),2,68-93,,
1:49.0,Shooting foul by K. Anderson (drawn by J. O'Bryant),,68-93,,
1:49.0,J. O'Bryant misses free throw 1 of 1,,68-93,,
1:43.0,,,68-93,,Defensive rebound by B. Diaw
1:33.0,,,68-93,,M. Bonner misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by Team,,68-93,,
1:16.0,J. O'Bryant misses 2-pt shot from 5 ft (block by R. Butler),,68-93,,
1:09.0,,,68-93,,Defensive rebound by R. Butler
1:03.0,,,68-95,2,J. Simmons makes 2-pt shot from 1 ft
0:47.0,T. Ennis makes 2-pt shot from 2 ft (assist by C. Copeland),2,70-95,,
0:22.0,,,70-95,,B. Diaw misses 2-pt shot from 21 ft
0:19.0,Defensive rebound by J. O'Bryant,,70-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
