time,LA Lakers,pts.away,score,pts.home,Memphis
1:13.0,J. Randle misses free throw 2 of 2,,92-110,,
1:12.0,,,92-110,,Defensive rebound by J. Green
0:46.0,,,92-112,2,J. Martin makes 2-pt shot from 21 ft
0:42.0,A. Brown misses 2-pt shot from 5 ft,,92-112,,
0:39.0,Offensive rebound by R. Kelly,,92-112,,
0:27.0,A. Brown misses 3-pt shot from 25 ft,,92-112,,
0:26.0,Offensive rebound by R. Kelly,,92-112,,
0:24.0,,,92-112,,Personal foul by J. Martin (drawn by R. Kelly)
0:24.0,R. Kelly makes free throw 1 of 2,1,93-112,,
0:24.0,R. Kelly makes free throw 2 of 2,1,94-112,,
0:16.0,,,94-112,,Turnover by Team (turnover)
0:13.0,Shooting foul by M. Chalmers (drawn by A. Brown),,94-112,,
0:13.0,A. Brown makes free throw 1 of 2,1,95-112,,
0:13.0,A. Brown makes free throw 2 of 2,1,96-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
