time,San Antonio,pts.away,score,pts.home,Milwaukee
6:01.0,,,109-87,1,M. Carter-Williams makes free throw 2 of 2
5:43.0,J. Simmons makes 2-pt shot at rim (assist by D. West),2,111-87,,
5:31.0,,,111-87,,K. Middleton misses 3-pt shot from 28 ft
5:30.0,Defensive rebound by T. Duncan,,111-87,,
5:09.0,P. Mills misses 2-pt shot from 18 ft,,111-87,,
5:08.0,,,111-87,,Defensive rebound by K. Middleton
5:06.0,Personal take foul by K. Anderson (drawn by K. Middleton),,111-87,,
5:06.0,R. McCallum enters the game for T. Duncan,,111-87,,
5:06.0,B. Marjanovic enters the game for P. Mills,,111-87,,
5:06.0,,,111-88,1,K. Middleton makes free throw 1 of 2
5:06.0,,,111-88,,T. Ennis enters the game for M. Carter-Williams
5:06.0,,,111-89,1,K. Middleton makes free throw 2 of 2
5:03.0,,,111-89,,Personal foul by T. Ennis (drawn by K. Anderson)
5:03.0,,,111-89,,C. Copeland enters the game for K. Middleton
4:47.0,D. West makes 2-pt shot from 2 ft (assist by B. Marjanovic),2,113-89,,
4:29.0,,,113-91,2,J. O'Bryant makes 2-pt shot from 17 ft (assist by R. Vaughn)
4:11.0,D. West makes 2-pt shot from 11 ft (assist by B. Marjanovic),2,115-91,,
3:48.0,,,115-93,2,J. O'Bryant makes 2-pt shot from 17 ft
3:35.0,B. Marjanovic makes 2-pt shot at rim (assist by D. West),2,117-93,,
3:22.0,,,117-93,,R. Vaughn misses 3-pt shot from 23 ft
3:21.0,Defensive rebound by B. Marjanovic,,117-93,,
3:12.0,Turnover by K. Anderson (bad pass; steal by J. O'Bryant),,117-93,,
2:57.0,,,117-93,,J. O'Bryant misses 2-pt shot from 19 ft
2:55.0,Defensive rebound by K. Anderson,,117-93,,
2:49.0,San Antonio full timeout,,117-93,,
2:49.0,M. Bonner enters the game for J. Simmons,,117-93,,
2:37.0,D. West makes 2-pt shot from 15 ft (assist by K. Anderson),2,119-93,,
2:24.0,,,119-96,3,C. Copeland makes 3-pt shot from 26 ft (assist by T. Ennis)
2:00.0,K. Anderson makes 2-pt shot from 13 ft,2,121-96,,
1:50.0,,,121-98,2,M. Plumlee makes 2-pt shot at rim (assist by T. Ennis)
1:37.0,,,121-98,,Personal foul by J. O'Bryant (drawn by B. Marjanovic)
1:27.0,M. Bonner misses 2-pt shot from 20 ft,,121-98,,
1:23.0,Offensive rebound by B. Marjanovic,,121-98,,
1:14.0,B. Marjanovic misses 2-pt shot from 17 ft,,121-98,,
1:10.0,,,121-98,,Defensive rebound by J. O'Bryant
1:02.0,,,121-98,,T. Ennis misses 2-pt shot from 1 ft
1:00.0,Defensive rebound by B. Marjanovic,,121-98,,
0:45.0,K. Anderson misses 3-pt shot from 24 ft,,121-98,,
0:42.0,,,121-98,,Defensive rebound by R. Vaughn
0:40.0,,,121-98,,Turnover by R. Vaughn (bad pass; steal by B. Marjanovic)
0:27.0,D. West makes 2-pt shot from 7 ft (assist by R. McCallum),2,123-98,,
0:05.0,,,123-98,,Turnover by M. Plumlee (lost ball; steal by M. Bonner)
0:00.0,End of 4th quarter,,,,End of 4th quarter
