time,Golden State,pts.away,score,pts.home,Milwaukee
6:38.0,S. Curry misses 3-pt shot from 24 ft,,79-91,,
6:37.0,,,79-91,,Defensive rebound by K. Middleton
6:37.0,Loose ball foul by F. Ezeli (drawn by K. Middleton),,79-91,,
6:37.0,A. Iguodala enters the game for F. Ezeli,,79-91,,
6:22.0,,,79-91,,Turnover by G. Monroe (lost ball; steal by S. Livingston)
6:20.0,,,79-91,,Personal foul by K. Middleton (drawn by K. Thompson)
6:20.0,K. Thompson misses free throw 1 of 2,,79-91,,
6:20.0,Offensive rebound by Team,,79-91,,
6:20.0,K. Thompson makes free throw 2 of 2,1,80-91,,
6:00.0,,,80-93,2,M. Carter-Williams makes 2-pt shot at rim (assist by G. Monroe)
5:50.0,S. Livingston makes 2-pt shot from 1 ft (assist by A. Iguodala),2,82-93,,
5:29.0,,,82-95,2,G. Monroe makes 2-pt shot at rim
5:17.0,Shooting foul by M. Carter-Williams (drawn by K. Thompson),,82-95,,
5:17.0,K. Thompson misses free throw 1 of 2,,82-95,,
5:17.0,Offensive rebound by Team,,82-95,,
5:17.0,K. Thompson makes free throw 2 of 2,1,83-95,,
4:57.0,,,83-95,,O. Mayo misses 3-pt shot from 26 ft
4:56.0,Defensive rebound by D. Green,,83-95,,
4:44.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,86-95,,
4:17.0,,,86-95,,G. Antetokounmpo misses 3-pt shot from 25 ft
4:17.0,,,86-95,,Offensive rebound by Team
4:17.0,,,86-95,,Turnover by Team (shot clock)
4:11.0,S. Curry makes 2-pt shot at rim,2,88-95,,
3:51.0,,,88-97,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by G. Monroe)
3:51.0,,,88-97,,Shooting foul by K. Thompson (drawn by G. Antetokounmpo)
3:51.0,,,88-97,,G. Antetokounmpo misses free throw 1 of 1
3:48.0,Defensive rebound by A. Iguodala,,88-97,,
3:39.0,S. Curry misses 3-pt shot from 26 ft,,88-97,,
3:38.0,,,88-97,,Defensive rebound by G. Antetokounmpo
3:26.0,,,88-99,2,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
3:10.0,K. Thompson misses 3-pt shot from 26 ft,,88-99,,
3:08.0,Offensive rebound by A. Iguodala,,88-99,,
3:05.0,D. Green makes 2-pt shot at rim (assist by A. Iguodala),2,90-99,,
2:51.0,,,90-101,2,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo)
2:51.0,,,90-101,,Shooting foul by D. Green (drawn by G. Monroe)
2:51.0,Golden State full timeout,,90-101,,
2:51.0,,,90-102,1,G. Monroe makes free throw 1 of 1
2:38.0,Turnover by S. Curry (bad pass; steal by M. Carter-Williams),,90-102,,
2:34.0,,,90-104,2,O. Mayo makes 2-pt shot from 1 ft
2:25.0,D. Green makes 3-pt shot from 27 ft (assist by S. Curry),3,93-104,,
2:02.0,,,93-104,,G. Monroe misses 2-pt shot from 3 ft
2:01.0,,,93-104,,Offensive rebound by M. Carter-Williams
1:37.0,,,93-104,,K. Middleton misses 2-pt shot from 19 ft
1:36.0,Defensive rebound by D. Green,,93-104,,
1:32.0,Turnover by D. Green (lost ball; steal by M. Carter-Williams),,93-104,,
1:26.0,,,93-104,,Turnover by O. Mayo (bad pass; steal by A. Iguodala)
1:20.0,A. Iguodala misses 3-pt shot from 26 ft,,93-104,,
1:18.0,,,93-104,,Defensive rebound by G. Monroe
1:02.0,,,93-104,,Shooting foul by A. Iguodala (drawn by M. Carter-Williams)
1:02.0,,,93-105,1,M. Carter-Williams makes free throw 1 of 2
1:02.0,B. Rush enters the game for D. Green,,93-105,,
1:02.0,F. Ezeli enters the game for K. Thompson,,93-105,,
1:02.0,L. Barbosa enters the game for S. Curry,,93-105,,
1:02.0,J. McAdoo enters the game for A. Iguodala,,93-105,,
1:02.0,I. Clark enters the game for S. Livingston,,93-105,,
1:02.0,,,93-106,1,M. Carter-Williams makes free throw 2 of 2
0:44.0,Turnover by B. Rush (bad pass; steal by M. Carter-Williams),,93-106,,
0:43.0,,,93-108,2,M. Carter-Williams makes 2-pt shot at rim
0:27.0,L. Barbosa makes 2-pt shot from 1 ft,2,95-108,,
0:03.0,,,95-108,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
