time,Miami,pts.away,score,pts.home,Golden State
2:34.0,,,97-103,,H. Barnes enters the game for A. Bogut
2:18.0,,,97-105,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
1:51.0,D. Wade misses 2-pt shot from 13 ft,,97-105,,
1:51.0,,,97-105,,Defensive rebound by S. Curry
1:42.0,,,97-107,2,S. Curry makes 2-pt shot from 18 ft
1:42.0,Miami full timeout,,97-107,,
1:35.0,T. Johnson makes 2-pt shot from 2 ft (assist by D. Wade),2,99-107,,
1:19.0,,,99-107,,K. Thompson misses 2-pt shot from 12 ft
1:18.0,,,99-107,,Offensive rebound by D. Green
1:01.0,,,99-107,,Turnover by K. Thompson (lost ball)
0:51.0,D. Wade misses 2-pt shot from 1 ft,,99-107,,
0:50.0,Offensive rebound by D. Wade,,99-107,,
0:48.0,D. Wade misses 2-pt shot from 4 ft,,99-107,,
0:47.0,Offensive rebound by D. Wade,,99-107,,
0:47.0,D. Wade misses 2-pt shot from 1 ft,,99-107,,
0:46.0,Offensive rebound by D. Wade,,99-107,,
0:46.0,D. Wade misses 2-pt shot from 1 ft,,99-107,,
0:46.0,Offensive rebound by D. Wade,,99-107,,
0:46.0,,,99-107,,Personal foul by S. Curry (drawn by D. Wade)
0:46.0,D. Wade makes free throw 1 of 2,1,100-107,,
0:46.0,D. Wade makes free throw 2 of 2,1,101-107,,
0:42.0,Personal foul by T. Johnson (drawn by S. Curry),,101-107,,
0:27.0,,,101-110,3,S. Curry makes 3-pt shot from 25 ft
0:27.0,Miami full timeout,,101-110,,
0:27.0,G. Green enters the game for T. Johnson,,101-110,,
0:20.0,C. Bosh misses 3-pt shot from 25 ft,,101-110,,
0:19.0,Offensive rebound by L. Deng,,101-110,,
0:15.0,D. Wade makes 2-pt shot at rim (assist by G. Dragic),2,103-110,,
0:14.0,Personal foul by G. Dragic (drawn by S. Curry),,103-110,,
0:14.0,,,103-111,1,S. Curry makes free throw 1 of 2
0:14.0,,,103-111,,S. Curry misses free throw 2 of 2
0:14.0,Defensive rebound by C. Bosh,,103-111,,
0:14.0,Miami full timeout,,103-111,,
0:08.0,G. Green misses 2-pt shot from 19 ft,,103-111,,
0:07.0,,,103-111,,Defensive rebound by K. Thompson
0:00.0,End of 4th quarter,,,,End of 4th quarter
